t,a,b,c
2024-11-14T07:00:00.000000,(-7906091+8504281j),(11715947+4858462j),(-3809855.5-13362743j)
2024-11-14T07:00:20.000000,(-8511762+8889119j),(12327721+5072850.5j),(-3815959-13961970j)
2024-11-14T07:00:30.000000,(-8782205+9012633j),(12711633+5288576.5j),(-3929427.5-14301210j)
2024-11-14T07:00:50.000000,(-9239976+9111997j),(12824072+5014176.5j),(-3584096-14126173j)
2024-11-14T07:01:00.000000,(-8487374+8397136j),(12309624+5209243j),(-3822250-13606380j)
2024-11-14T07:01:10.000000,(-8208431.5+8409864j),(11998265+4940131j),(-3789834.2-13349995j)
2024-11-14T07:01:20.000000,(-9041697+8870126j),(12756012+5218877.5j),(-3714315.2-14089004j)
2024-11-14T07:01:40.000000,(-8695324+8520420j),(12671809+5135206j),(-3976484.5-13655626j)
2024-11-14T07:01:50.000000,(-8100704.5+8389998j),(11956191+5028571j),(-3855486.5-13418569j)
2024-11-14T07:02:10.000000,(-8255853.5+8194586j),(12207721+4957247j),(-3951867.2-13151833j)
2024-11-14T07:02:20.000000,(-9500033+9488650j),(13528568+5857376.5j),(-4028534.5-15346027j)
2024-11-14T07:02:30.000000,(-9038771+9058786j),(12934380+5257099j),(-3895608.2-14315885j)
2024-11-14T07:02:50.000000,(-8342977+8753477j),(12027685+4817165j),(-3684707.8-13570642j)
2024-11-14T07:03:00.000000,(-9386318+9342984j),(13084185+5468251j),(-3697866.5-14811235j)
2024-11-14T07:03:10.000000,(-9128326+8819656j),(12969386+5183805.5j),(-3841059.8-14003462j)
2024-11-14T07:03:20.000000,(-8417465+8769468j),(12125650+4902511j),(-3708184.8-13671979j)
2024-11-14T07:03:30.000000,(-9134292+8999843j),(13030006+5406671.5j),(-3895713.2-14406514j)
2024-11-14T07:03:40.000000,(-9770796+9304883j),(13430695+5460702.5j),(-3659899.2-14765585j)
2024-11-14T07:03:50.000000,(-8117666.5+8149414.5j),(12056159+4882611j),(-3938492-13032026j)
2024-11-14T07:04:00.000000,(-8943404+8763627j),(12518260+4941512j),(-3574855.8-13705139j)
2024-11-14T07:04:10.000000,(-9123691+8796429j),(12912748+5167221.5j),(-3789057-13963651j)
2024-11-14T07:04:20.000000,(-7556834+8302855.5j),(11235806+4297362j),(-3678972.2-12600217j)
2024-11-14T07:04:30.000000,(-7789651+8124362j),(11565133+4432098.5j),(-3775482-12556460j)
2024-11-14T07:04:50.000000,(-11646763+10412510j),(15438754+6653849.5j),(-3791991.5-17066360j)
2024-11-14T07:05:00.000000,(-9470468+9099111j),(13208932+5558852.5j),(-3738463.8-14657963j)
