t,a,b,c
2024-11-14T07:00:00.000000,(1209.2384-675.272j),(-1185.5658-709.81537j),(-23.672548+1385.0874j)
2024-11-14T07:00:20.000000,(1207.6771-677.9615j),(-1187.1665-707.013j),(-20.510553+1384.9745j)
2024-11-14T07:00:30.000000,(1205.3396-680.7439j),(-1187.877-705.21185j),(-17.4627+1385.9558j)
2024-11-14T07:00:50.000000,(1208.4246-676.2424j),(-1186.7628-708.987j),(-21.66166+1385.2294j)
2024-11-14T07:01:00.000000,(1204.8052-680.2144j),(-1187.8198-704.941j),(-16.985306+1385.1554j)
2024-11-14T07:01:10.000000,(1205.066-680.9384j),(-1187.7031-704.9663j),(-17.362974+1385.9047j)
2024-11-14T07:01:20.000000,(1208.2394-676.8925j),(-1186.6349-708.15497j),(-21.604502+1385.0475j)
2024-11-14T07:01:40.000000,(1203.0209-684.61096j),(-1190.1697-701.3116j),(-12.851273+1385.9226j)
2024-11-14T07:01:50.000000,(1205.6802-679.8841j),(-1187.056-705.90216j),(-18.62416+1385.7863j)
2024-11-14T07:02:10.000000,(1205.6322-681.25366j),(-1189.0891-705.3397j),(-16.543169+1386.5934j)
2024-11-14T07:02:20.000000,(1211.3745-670.4j),(-1181.5792-715.15063j),(-29.795326+1385.5507j)
2024-11-14T07:02:30.000000,(1210.7405-673.2573j),(-1184.0773-713.6811j),(-26.663147+1386.9384j)
2024-11-14T07:02:50.000000,(1207.0128-679.3008j),(-1187.55-706.44763j),(-19.462776+1385.7484j)
2024-11-14T07:03:00.000000,(1208.7574-677.0158j),(-1186.6095-709.08856j),(-22.147905+1386.1044j)
2024-11-14T07:03:10.000000,(1207.5841-678.00476j),(-1187.4521-707.9895j),(-20.131887+1385.9943j)
2024-11-14T07:03:20.000000,(1205.3922-681.9719j),(-1189.3206-703.5843j),(-16.071608+1385.5562j)
2024-11-14T07:03:30.000000,(1206.3081-678.75793j),(-1186.9585-707.3015j),(-19.349672+1386.0594j)
2024-11-14T07:03:40.000000,(1208.638-676.09393j),(-1186.1407-709.7487j),(-22.497206+1385.8427j)
2024-11-14T07:03:50.000000,(1206.7528-679.8743j),(-1187.8228-706.84015j),(-18.929958+1386.7145j)
2024-11-14T07:04:00.000000,(1207.6902-678.19196j),(-1187.7104-707.6536j),(-19.979713+1385.8456j)
2024-11-14T07:04:10.000000,(1207.0494-679.9343j),(-1188.9218-706.2615j),(-18.127657+1386.1958j)
2024-11-14T07:04:20.000000,(1205.034-684.7773j),(-1191.0814-701.577j),(-13.952695+1386.3542j)
2024-11-14T07:04:30.000000,(1204.8823-685.4591j),(-1192.6456-701.25336j),(-12.236776+1386.7125j)
2024-11-14T07:04:50.000000,(1210.6338-675.1746j),(-1186.3367-711.1759j),(-24.29707+1386.3506j)
2024-11-14T07:05:00.000000,(1210.146-676.2714j),(-1186.115-710.35583j),(-24.030952+1386.6272j)
