t,a,b,c
2024-11-14T07:00:00.000000,(1131.5356-693.61554j),(-1169.1562-630.5394j),(37.620583+1324.155j)
2024-11-14T07:00:20.000000,(1130.6743-694.4219j),(-1169.9766-630.0756j),(39.302197+1324.4974j)
2024-11-14T07:00:30.000000,(1128.5378-697.1244j),(-1170.5543-627.3076j),(42.01643+1324.432j)
2024-11-14T07:00:50.000000,(1134.5448-689.3638j),(-1167.0153-634.60895j),(32.470535+1323.9728j)
2024-11-14T07:01:00.000000,(1129.8705-697.49896j),(-1170.6873-627.27234j),(40.816833+1324.7714j)
2024-11-14T07:01:10.000000,(1129.6293-697.4367j),(-1171.4713-627.33734j),(41.842003+1324.774j)
2024-11-14T07:01:20.000000,(1130.7727-697.4032j),(-1171.3959-627.29816j),(40.623184+1324.7013j)
2024-11-14T07:01:40.000000,(1126.7552-704.0461j),(-1174.8247-620.3222j),(48.069458+1324.3683j)
2024-11-14T07:01:50.000000,(1127.8724-700.0158j),(-1171.5717-625.07495j),(43.69925+1325.0908j)
2024-11-14T07:02:10.000000,(1130.1598-697.6521j),(-1171.6914-627.84796j),(41.531624+1325.5j)
2024-11-14T07:02:20.000000,(1132.7238-691.29614j),(-1166.4595-633.9695j),(33.735775+1325.2656j)
2024-11-14T07:02:30.000000,(1129.7411-697.64307j),(-1171.7062-628.06274j),(41.96503+1325.7058j)
2024-11-14T07:02:50.000000,(1128.1442-698.40936j),(-1171.5858-625.8842j),(43.44159+1324.2936j)
2024-11-14T07:03:00.000000,(1131.1111-696.9292j),(-1170.2013-629.34863j),(39.090195+1326.2778j)
2024-11-14T07:03:10.000000,(1130.0518-699.0668j),(-1171.8589-626.3062j),(41.807087+1325.373j)
2024-11-14T07:03:20.000000,(1128.9966-700.1706j),(-1172.1517-625.4237j),(43.15517+1325.5942j)
2024-11-14T07:03:30.000000,(1129.44-698.43805j),(-1171.8047-626.7587j),(42.364727+1325.1968j)
2024-11-14T07:03:40.000000,(1130.7954-696.8364j),(-1171.1998-628.4866j),(40.404476+1325.323j)
2024-11-14T07:03:50.000000,(1135.2999-690.2374j),(-1168.0466-635.6853j),(32.746662+1325.9227j)
2024-11-14T07:04:00.000000,(1130.2557-697.516j),(-1171.2737-627.8797j),(41.017952+1325.3956j)
2024-11-14T07:04:10.000000,(1130.4241-699.5432j),(-1172.8229-625.86566j),(42.398815+1325.4089j)
2024-11-14T07:04:20.000000,(1127.6713-703.7454j),(-1175.0498-621.84393j),(47.378506+1325.5894j)
2024-11-14T07:04:30.000000,(1132.1696-698.40814j),(-1172.7703-627.9755j),(40.60069+1326.3837j)
2024-11-14T07:04:50.000000,(1128.1921-702.54694j),(-1174.8457-623.79144j),(46.653652+1326.3384j)
2024-11-14T07:05:00.000000,(1131.8572-696.64905j),(-1171.4045-629.6495j),(39.547367+1326.2985j)
