t,a,b,c
2024-11-14T07:00:00.000000,(131835.45-2432798.8j),(-2222955.2+1113693.4j),(2091119.9+1319105.4j)
2024-11-14T07:00:20.000000,(61574.86-2387439.2j),(-2133567+1120613.2j),(2071992+1266826j)
2024-11-14T07:00:30.000000,(84424.77-2413524.2j),(-2196959.5+1099303.8j),(2112534.8+1314220.6j)
2024-11-14T07:00:50.000000,(-118979.44-2255313.5j),(-2002001+1190996.2j),(2120980.5+1064317.2j)
2024-11-14T07:01:00.000000,(54097.06-2315416.8j),(-2133471.5+1127414.9j),(2079374.5+1188002j)
2024-11-14T07:01:10.000000,(98197.086-2368350.2j),(-2192005.8+1053631.8j),(2093808.8+1314718.5j)
2024-11-14T07:01:20.000000,(98212.94-2365330j),(-2197636.5+1074134.9j),(2099423.8+1291195.2j)
2024-11-14T07:01:40.000000,(281445.34-2452415.8j),(-2386771.5+987403j),(2105326.2+1465012.8j)
2024-11-14T07:01:50.000000,(206788-2451284j),(-2281554.2+1036015j),(2074766.2+1415269j)
2024-11-14T07:02:10.000000,(166172.19-2426024.8j),(-2257373.2+1038998.6j),(2091201+1387026.2j)
2024-11-14T07:02:20.000000,(191948.22-2452706.2j),(-2222038.5+1082771.6j),(2030090.4+1369934.8j)
2024-11-14T07:02:30.000000,(134107.89-2450321.5j),(-2221816.2+1059452.5j),(2087708.2+1390868.9j)
2024-11-14T07:02:50.000000,(66701.59-2392086.8j),(-2181422+1092907.9j),(2114720.5+1299178.9j)
2024-11-14T07:03:00.000000,(83976.56-2358192.8j),(-2150184.8+1133909.2j),(2066208.2+1224283.5j)
2024-11-14T07:03:10.000000,(88157.51-2357349.5j),(-2182220+1099567.1j),(2094062.5+1257782.4j)
2024-11-14T07:03:20.000000,(26844.814-2339121.8j),(-2085287.2+1139763.8j),(2058442.4+1199358j)
2024-11-14T07:03:30.000000,(238172.4-2442593.2j),(-2282411+1014753.2j),(2044238.5+1427840.1j)
2024-11-14T07:03:40.000000,(142850.55-2399492.8j),(-2207649.8+1026557.9j),(2064799.2+1372935j)
2024-11-14T07:03:50.000000,(-115473.49-2246088.5j),(-1928154.5+1226910.4j),(2043628+1019178.25j)
2024-11-14T07:04:00.000000,(68170.77-2373110j),(-2140678.8+1097992.5j),(2072507.9+1275117.4j)
2024-11-14T07:04:10.000000,(140919.12-2370024.2j),(-2234209.8+1061301.2j),(2093290.6+1308723.1j)
2024-11-14T07:04:20.000000,(143986.83-2388831.5j),(-2228087.8+1037839.9j),(2084100.9+1350991.6j)
2024-11-14T07:04:30.000000,(96883.21-2350609.2j),(-2146597.8+1101024.8j),(2049714.5+1249584.6j)
2024-11-14T07:04:50.000000,(-9484.805-2289094.5j),(-2028466.8+1164572.9j),(2037951.5+1124521.8j)
2024-11-14T07:05:00.000000,(274308.34-2455195.8j),(-2333638.8+958431.7j),(2059330.5+1496764j)
