t,a,b,c
2024-11-14T07:00:00.000000,(1218.6951-713.5397j),(-1228.2334-696.862j),(9.538304+1410.4016j)
2024-11-14T07:00:20.000000,(1214.9722-719.21375j),(-1232.3864-691.62885j),(17.414185+1410.8427j)
2024-11-14T07:00:30.000000,(1213.863-722.86096j),(-1233.5225-688.2627j),(19.659416+1411.1237j)
2024-11-14T07:00:50.000000,(1216.0981-719.11334j),(-1232.5562-691.52856j),(16.458017+1410.6418j)
2024-11-14T07:01:00.000000,(1214.0314-721.10095j),(-1232.3024-690.51447j),(18.271013+1411.6155j)
2024-11-14T07:01:10.000000,(1215.4543-719.3225j),(-1231.7009-692.56085j),(16.246475+1411.8833j)
2024-11-14T07:01:20.000000,(1215.2228-721.1602j),(-1233.1168-689.9469j),(17.894054+1411.1072j)
2024-11-14T07:01:40.000000,(1211.864-726.6889j),(-1235.2927-684.92804j),(23.42873+1411.617j)
2024-11-14T07:01:50.000000,(1213.6077-723.1893j),(-1233.6482-687.3642j),(20.040611+1410.5535j)
2024-11-14T07:02:10.000000,(1214.908-720.5561j),(-1232.0743-691.94244j),(17.166466+1412.4985j)
2024-11-14T07:02:20.000000,(1219.146-710.61017j),(-1226.9004-700.24255j),(7.7544518+1410.8527j)
2024-11-14T07:02:30.000000,(1215.8026-720.5852j),(-1232.8955-691.1508j),(17.092876+1411.736j)
2024-11-14T07:02:50.000000,(1216.6-716.58j),(-1230.5663-694.08405j),(13.966322+1410.6641j)
2024-11-14T07:03:00.000000,(1216.6019-717.47565j),(-1230.8726-694.25684j),(14.270673+1411.7324j)
2024-11-14T07:03:10.000000,(1214.5223-720.8403j),(-1231.96-691.0471j),(17.437616+1411.8875j)
2024-11-14T07:03:20.000000,(1212.6313-723.6982j),(-1233.0573-687.395j),(20.425926+1411.0933j)
2024-11-14T07:03:30.000000,(1213.5488-721.0628j),(-1232.2646-689.63745j),(18.715801+1410.7002j)
2024-11-14T07:03:40.000000,(1214.597-719.72437j),(-1231.677-690.8346j),(17.080008+1410.559j)
2024-11-14T07:03:50.000000,(1215.0815-721.1104j),(-1231.9902-690.67505j),(16.908693+1411.7854j)
2024-11-14T07:04:00.000000,(1215.8741-719.90875j),(-1231.4092-692.2853j),(15.535032+1412.194j)
2024-11-14T07:04:10.000000,(1213.8851-723.6292j),(-1233.7509-688.6635j),(19.865797+1412.2927j)
2024-11-14T07:04:20.000000,(1212.9321-725.2495j),(-1236.0587-685.9509j),(23.126633+1411.2004j)
2024-11-14T07:04:30.000000,(1214.6849-723.1408j),(-1235.4973-688.74347j),(20.812475+1411.8843j)
2024-11-14T07:04:50.000000,(1214.1041-722.35565j),(-1233.676-689.56244j),(19.571926+1411.9181j)
2024-11-14T07:05:00.000000,(1217.506-716.81396j),(-1230.0079-694.8744j),(12.501977+1411.6884j)
