t,a,b,c
2024-11-14T07:00:00.000000,(51.251961299119465+177.85501850383326j),(119.27992513782492-127.52190517238841j),(-175.75847541583084-52.98159960989105j)
2024-11-14T07:00:20.000000,(52.186812501578295+174.3390599716267j),(115.33439665360115-126.44987000669077j),(-172.38196958767082-50.635726860256554j)
2024-11-14T07:00:30.000000,(52.476712379113586+173.2375679216015j),(114.47681102301264-126.72676135880043j),(-172.02403514892046-49.075140490975095j)
2024-11-14T07:00:50.000000,(52.80083303900384+174.8279101524689j),(114.88954478387971-126.48990586879245j),(-172.56254320517866-50.9289902767237j)
2024-11-14T07:01:00.000000,(51.68118131065969+172.76643327480542j),(115.23145106196418-127.85895122772912j),(-171.93488531238256-47.815897259353044j)
2024-11-14T07:01:10.000000,(51.64910917301387+172.89825051486736j),(115.34996980480047-127.67120202712333j),(-171.8774469432656-48.123313973075284j)
2024-11-14T07:01:20.000000,(51.619271419940645+172.4108638334153j),(115.79019318303894-127.89739919935043j),(-172.31839950468188-47.0363856078153j)
2024-11-14T07:01:40.000000,(52.18876508835224+171.41612464298035j),(115.43728925935055-128.1052259923624j),(-172.82667475709403-45.87926437089433j)
2024-11-14T07:01:50.000000,(51.539034307635866+172.6359619298056j),(118.06037399449495-127.08862930938513j),(-174.54181042057306-48.18445969592144j)
2024-11-14T07:02:10.000000,(49.63150666777031+176.38449209151153j),(117.77377134875368-131.95273284461442j),(-172.52129323734803-47.23348678661023j)
2024-11-14T07:02:20.000000,(49.402454032365135+175.78103031006992j),(117.69506739485388-130.07427487941138j),(-172.00491749288722-48.54704765695942j)
2024-11-14T07:02:30.000000,(51.23060229836773+175.49684580104463j),(116.570494045769-130.75524662413582j),(-172.8727021666353-47.39468698684161j)
2024-11-14T07:02:50.000000,(52.36523402482513+179.64425698260288j),(119.37063180593758-131.87827727548046j),(-176.56176467164954-50.43934073137331j)
2024-11-14T07:03:00.000000,(52.42542363563728+178.2801789327339j),(119.23728995286866-131.25777655777418j),(-176.59108602388827-49.87446213694654j)
2024-11-14T07:03:10.000000,(52.170090380176866+177.3605560786197j),(119.40994888821763-131.14982963524182j),(-176.6176796413678-49.13527794100649j)
2024-11-14T07:03:20.000000,(53.34622268898046+179.54238630546155j),(120.84402406231816-133.49987882969265j),(-179.40693672070105-48.9794547538932j)
2024-11-14T07:03:30.000000,(53.62114113447727+178.34565580869662j),(121.02300891038217-132.4005580391132j),(-179.57514932442697-48.79906605859975j)
2024-11-14T07:03:40.000000,(53.25733146203308+178.54150699239128j),(122.065438385-132.70433129241977j),(-180.22161042554063-48.6101798990811j)
2024-11-14T07:03:50.000000,(53.578476705607294+178.3523094811596j),(121.42428573676168-132.7732339598715j),(-180.21689817982468-48.30677681196717j)
2024-11-14T07:04:00.000000,(50.485231523903614+176.08677215177326j),(119.9352502047331-130.521325943513j),(-175.6669713319923-48.357148105280515j)
2024-11-14T07:04:10.000000,(52.08775236877513+175.72588478617786j),(118.56189072754253-130.18121081841386j),(-175.8587927385653-48.35763258258681j)
2024-11-14T07:04:20.000000,(53.57885273734761+175.64574639479656j),(117.59125542076598-129.7597384497195j),(-176.1485298457264-48.54644284215784j)
2024-11-14T07:04:30.000000,(53.29209425522426+177.78398067132952j),(118.73206848605135-129.5725167832228j),(-176.94611519510096-51.02652068632718j)
2024-11-14T07:04:50.000000,(52.36655786934471+175.73138599110757j),(120.02385444535655-130.71637674749235j),(-177.34615417064123-48.02387758165331j)
2024-11-14T07:05:00.000000,(51.23070179091708+177.014003237959j),(124.96125433131951-128.4863055940305j),(-181.16164115566704-51.50787399237616j)
