t,a,b,c
2024-11-14T07:00:00.000000,(138.83871938989685-248.19005017212802j),(-284.4706550418679+4.109455620109172j),(145.95055802983094+244.25923744586203j)
2024-11-14T07:00:20.000000,(137.4837974996776-249.02883480082j),(-284.45405244880465+5.159280315559153j),(147.28296620835044+243.47489259114928j)
2024-11-14T07:00:30.000000,(137.08838422205648-249.27071266944006j),(-284.4460282886925+6.166990417145758j),(147.66418354844527+243.28571758535097j)
2024-11-14T07:00:50.000000,(137.8054508817298-248.88258058606155j),(-284.50470165439407+5.279608177007342j),(147.28672166976833+243.56472670189547j)
2024-11-14T07:01:00.000000,(137.17262158585706-249.2061895587064j),(-284.44608207032417+5.632926606165991j),(147.25262514566288+243.49157489009733j)
2024-11-14T07:01:10.000000,(137.61889804273824-249.10564105660907j),(-284.49529501254085+5.116454002679632j),(146.99607945302952+243.6922932470602j)
2024-11-14T07:01:20.000000,(137.55458257389282-249.11631285335937j),(-284.48724703366594+5.738012214215283j),(147.50939767441005+243.38631929141783j)
2024-11-14T07:01:40.000000,(136.41618306129592-249.72417576961064j),(-284.44668637492276+7.0321478742907715j),(148.30634383177696+242.9189723440309j)
2024-11-14T07:01:50.000000,(137.13244040524353-249.33616566775643j),(-284.389317406954+6.211248607469398j),(147.86679175020146+242.99770092130643j)
2024-11-14T07:02:10.000000,(137.45737532588205-249.29494391681538j),(-284.5420135166544+5.484777447692073j),(147.1302086157681+243.75965577047256j)
2024-11-14T07:02:20.000000,(139.14809097654876-248.05437154705643j),(-284.321909323868+3.238349113319361j),(145.5480033495067+244.44199578412056j)
2024-11-14T07:02:30.000000,(137.68045256557673-249.15247929042914j),(-284.58185505966566+5.602339686114007j),(147.36051003613417+243.6257769386827j)
2024-11-14T07:02:50.000000,(138.13554469760223-248.73746129945178j),(-284.4309047405968+4.718336728925323j),(146.81343974887392+243.79009757352998j)
2024-11-14T07:03:00.000000,(137.9928124386069-248.98305193210243j),(-284.57106267450035+4.7497087139676895j),(146.77763941295996+243.88225623003675j)
2024-11-14T07:03:10.000000,(137.34852237891045-249.3103742887559j),(-284.50217264883133+5.570691142452157j),(147.2265741837057+243.58077933099645j)
2024-11-14T07:03:20.000000,(136.79135957335777-249.50404096910302j),(-284.40857182402925+6.443053787620983j),(147.77110410189175+243.14598132866996j)
2024-11-14T07:03:30.000000,(137.14305332526934-249.28155973632113j),(-284.3731067829278+5.714093583350375j),(147.53782525926545+243.20923825780193j)
2024-11-14T07:03:40.000000,(137.50240057956182-249.10380017823243j),(-284.40046439545785+5.4365878956024085j),(147.33525802582218+243.33818186231863j)
2024-11-14T07:03:50.000000,(137.47483625443311-249.26643809207047j),(-284.5797056692745+5.752061142051122j),(147.2536570918443+243.59213531928094j)
2024-11-14T07:04:00.000000,(137.7748460744826-249.13537047462506j),(-284.581193808667+5.391098537317182j),(146.94961687501427+243.8275879596229j)
2024-11-14T07:04:10.000000,(136.99743658025895-249.59194358750656j),(-284.6196425697744+6.2115749801569775j),(147.7025249791239+243.39915388114775j)
2024-11-14T07:04:20.000000,(136.64855444640432-249.73772148333103j),(-284.5971170478724+6.618679139783582j),(148.51309903914148+242.87684715871993j)
2024-11-14T07:04:30.000000,(137.08547846818902-249.63179009881682j),(-284.7913225334585+6.026855158541731j),(148.15694320571868+243.29712256604108j)
2024-11-14T07:04:50.000000,(137.0993942243813-249.51890771881685j),(-284.6134215502675+5.852511725925726j),(147.73230653854336+243.3369173609503j)
2024-11-14T07:05:00.000000,(138.33280958588043-248.87222918070094j),(-284.66029726934397+4.563582116393502j),(146.5615657165455+243.9839468388393j)
