t,a,b,c
2024-11-14T07:00:00.000000,(-23.478746+462.56653j),(404.80984-199.80147j),(-382.68906-252.37474j)
2024-11-14T07:00:20.000000,(-25.107176+464.32303j),(408.94205-203.81444j),(-385.48752-250.59761j)
2024-11-14T07:00:30.000000,(-21.97538+464.8435j),(406.62735-204.3276j),(-385.56818-250.79193j)
2024-11-14T07:00:50.000000,(-23.303465+462.42773j),(405.38177-203.66466j),(-383.60898-249.50172j)
2024-11-14T07:01:00.000000,(-24.089535+460.72156j),(403.2099-201.24478j),(-380.3321-249.38176j)
2024-11-14T07:01:10.000000,(-24.301476+461.03644j),(403.48703-201.54985j),(-380.36395-250.35161j)
2024-11-14T07:01:20.000000,(-22.86597+461.93222j),(405.23883-202.80598j),(-384.29297-249.39877j)
2024-11-14T07:01:40.000000,(-20.895761+461.7526j),(402.25516-205.03091j),(-383.4725-247.24908j)
2024-11-14T07:01:50.000000,(-23.320618+463.3866j),(405.21283-202.40454j),(-383.0593-251.09369j)
2024-11-14T07:02:10.000000,(-22.51337+461.00696j),(403.064-202.32147j),(-382.5003-248.5484j)
2024-11-14T07:02:20.000000,(-22.53739+467.82614j),(408.01196-203.80078j),(-386.9226-253.88774j)
2024-11-14T07:02:30.000000,(-22.792202+464.38574j),(407.47983-203.53986j),(-386.38214-251.64487j)
2024-11-14T07:02:50.000000,(-22.79123+464.54202j),(407.1116-204.99687j),(-385.6359-249.88959j)
2024-11-14T07:03:00.000000,(-23.120924+468.13135j),(409.70166-206.38115j),(-387.72574-251.94234j)
2024-11-14T07:03:10.000000,(-22.602407+465.14587j),(407.98035-205.06845j),(-387.1774-250.4722j)
2024-11-14T07:03:20.000000,(-22.021383+465.49374j),(407.07336-206.20074j),(-386.2746-249.40347j)
2024-11-14T07:03:30.000000,(-22.277683+466.72482j),(407.57614-206.45203j),(-386.45737-250.62793j)
2024-11-14T07:03:40.000000,(-22.492416+464.60757j),(407.037-205.57516j),(-386.24347-249.54245j)
2024-11-14T07:03:50.000000,(-23.518072+466.019j),(408.2319-205.43895j),(-386.76843-250.71947j)
2024-11-14T07:04:00.000000,(-22.485142+462.82654j),(406.52386-205.0422j),(-385.80945-248.29457j)
2024-11-14T07:04:10.000000,(-23.451912+462.7221j),(406.51883-204.30435j),(-384.8549-248.67143j)
2024-11-14T07:04:20.000000,(-22.749352+461.3815j),(405.502-203.72258j),(-384.40738-248.44398j)
2024-11-14T07:04:30.000000,(-22.720015+463.29233j),(407.30576-204.86903j),(-386.12482-248.53221j)
2024-11-14T07:04:50.000000,(-20.791534+461.095j),(405.3022-203.8535j),(-386.51733-247.18677j)
2024-11-14T07:05:00.000000,(-24.131676+461.15106j),(406.467-202.1384j),(-383.99606-249.52052j)
