t,a,b,c
2024-11-14T07:00:00.000000,(130.65253-238.44989j),(-272.63202+5.726754j),(141.99176+232.6293j)
2024-11-14T07:00:20.000000,(129.68329-239.03218j),(-272.5994+6.953622j),(142.93105+231.98904j)
2024-11-14T07:00:30.000000,(128.84001-239.53955j),(-272.43524+7.7552567j),(143.60352+231.69647j)
2024-11-14T07:00:50.000000,(129.63576-239.30783j),(-272.4772+7.12552j),(142.85526+232.09868j)
2024-11-14T07:01:00.000000,(129.2921-239.25255j),(-272.5564+7.3857303j),(143.27525+231.77563j)
2024-11-14T07:01:10.000000,(129.48941-239.32579j),(-272.44766+7.2142444j),(142.96889+232.02904j)
2024-11-14T07:01:20.000000,(129.82646-239.14107j),(-272.6295+7.049853j),(142.82036+232.00336j)
2024-11-14T07:01:40.000000,(128.55829-239.8589j),(-272.52072+8.528767j),(143.98152+231.24458j)
2024-11-14T07:01:50.000000,(129.7169-239.10405j),(-272.521+6.873866j),(142.81462+232.14087j)
2024-11-14T07:02:10.000000,(129.61748-239.38869j),(-272.77628+7.3297915j),(143.1764+231.96733j)
2024-11-14T07:02:20.000000,(130.29453-238.57927j),(-272.456+6.0753984j),(142.17455+232.41231j)
2024-11-14T07:02:30.000000,(130.57864-238.86026j),(-272.58273+6.02846j),(142.0194+232.7487j)
2024-11-14T07:02:50.000000,(129.7436-239.24152j),(-272.50378+6.9192057j),(142.77208+232.2351j)
2024-11-14T07:03:00.000000,(129.41516-239.48967j),(-272.6383+7.301685j),(143.23347+232.09941j)
2024-11-14T07:03:10.000000,(129.64236-239.38205j),(-272.68283+7.3346615j),(143.05672+231.96063j)
2024-11-14T07:03:20.000000,(129.06824-239.5469j),(-272.54013+7.6575985j),(143.48294+231.79999j)
2024-11-14T07:03:30.000000,(129.14319-239.4808j),(-272.48926+7.5602202j),(143.35654+231.83348j)
2024-11-14T07:03:40.000000,(129.48804-239.5094j),(-272.55063+7.418166j),(143.07796+232.00552j)
2024-11-14T07:03:50.000000,(130.00598-239.28586j),(-272.77963+7.0108485j),(142.79222+232.18594j)
2024-11-14T07:04:00.000000,(129.78336-239.4145j),(-272.63504+7.144167j),(142.86766+232.18463j)
2024-11-14T07:04:10.000000,(129.37212-239.63481j),(-272.77448+7.7360497j),(143.4185+231.81073j)
2024-11-14T07:04:20.000000,(129.49928-239.54984j),(-272.62152+7.3866353j),(143.13718+232.07999j)
2024-11-14T07:04:30.000000,(129.27505-239.79164j),(-272.92804+7.863597j),(143.66689+231.8387j)
2024-11-14T07:04:50.000000,(128.50652-240.13878j),(-272.82928+8.740604j),(144.34091+231.30737j)
2024-11-14T07:05:00.000000,(129.99304-239.42117j),(-272.84814+7.116607j),(142.87012+232.21884j)
