t,a,b,c
2024-11-14T07:00:00.000000,(-1019356.6496453906-4459210.980163048j),(-3393161.718986139+3022484.5725809564j),(4412512.123329254+1436726.5539595515j)
2024-11-14T07:00:20.000000,(-1268397.4656189724-4312808.572891857j),(-3149154.5999396313+3192987.5797228008j),(4417558.310861583+1119818.4560181068j)
2024-11-14T07:00:30.000000,(-1316729.8704222178-4365369.020257317j),(-3118552.600080133+3221553.585756408j),(4435282.470502753+1143813.287681865j)
2024-11-14T07:00:50.000000,(-1522041.0626521937-4172395.454871498j),(-2912092.29506737+3353179.5948753916j),(4434127.112416353+819219.275390371j)
2024-11-14T07:01:00.000000,(-1207521.3857288028-4305801.329744044j),(-3235561.4746750267+3152330.653259964j),(4443082.86041129+1153472.9208837792j)
2024-11-14T07:01:10.000000,(-1119718.6741970736-4390943.546816303j),(-3336932.1087506977+3081446.4728746586j),(4456647.660293419+1309500.5869342815j)
2024-11-14T07:01:20.000000,(-1215452.9241033318-4320596.456396144j),(-3205203.054373458+3157745.332957179j),(4420662.223779271+1162851.318602913j)
2024-11-14T07:01:40.000000,(-1158448.936765769-4354296.069243295j),(-3305330.8313698005+3093643.5355846416j),(4463779.768135463+1260651.557828867j)
2024-11-14T07:01:50.000000,(-1185597.256268813-4386346.983470787j),(-3186810.6260818453+3175937.891683239j),(4372404.759702567+1210406.359459742j)
2024-11-14T07:02:10.000000,(-1171810.7466709397-4335847.484080322j),(-3279169.3032572377+3089290.5740845045j),(4450983.172574921+1246553.0066760788j)
2024-11-14T07:02:20.000000,(-988142.6186601842-4421495.611455818j),(-3390629.27174173+3092257.0980700115j),(4378768.767745822+1329238.5133787154j)
2024-11-14T07:02:30.000000,(-1173762.4047221448-4403040.69616515j),(-3227679.9027488753+3130547.044029459j),(4401439.184816207+1272491.7004840204j)
2024-11-14T07:02:50.000000,(-929646.0064995567-4525536.06667139j),(-3489205.079805682+3017538.2888647644j),(4418851.0863055615+1507993.97207845j)
2024-11-14T07:03:00.000000,(-1051195.2136036728-4373843.918633787j),(-3320800.5043577203+3104041.980434146j),(4371992.595305898+1269798.9619212034j)
2024-11-14T07:03:10.000000,(-1113973.0017360488-4321645.661458124j),(-3312241.29787028+3074870.165638601j),(4426214.299614648+1246773.6417475964j)
2024-11-14T07:03:20.000000,(-1203714.8809794749-4278884.060016281j),(-3170544.736225768+3116026.704205608j),(4374265.862507607+1162857.1606422265j)
2024-11-14T07:03:30.000000,(-1157524.615674495-4303140.827030894j),(-3216969.2035332513+3093231.3540706467j),(4374490.6965527+1209909.4729631597j)
2024-11-14T07:03:40.000000,(-1170989.4863628412-4287421.411379135j),(-3189817.7591284057+3094111.9448327064j),(4360807.245490532+1193309.7592878668j)
2024-11-14T07:03:50.000000,(-1579516.5886657205-4081751.126186237j),(-2813357.1826057336+3271459.8113366975j),(4392870.648616422+810289.0704469415j)
2024-11-14T07:04:00.000000,(-1145655.419574924-4380370.250465958j),(-3295085.4599809963+3076631.3439779244j),(4440740.879547908+1303739.3944027429j)
2024-11-14T07:04:10.000000,(-1232284.0216063175-4269997.001664256j),(-3212831.6814925186+3117175.8462631335j),(4445112.580450947+1152817.9351609154j)
2024-11-14T07:04:20.000000,(-1100189.631151472-4362077.724131463j),(-3279809.405832551+3121316.478751667j),(4379999.036983957+1240757.1468991889j)
2024-11-14T07:04:30.000000,(-1265368.5137237147-4221614.650949117j),(-3108978.5454660472+3209219.124572586j),(4374347.059189251+1012389.573817333j)
2024-11-14T07:04:50.000000,(-1013451.7397338707-4395390.180168866j),(-3364942.2661072775+3009856.5677523143j),(4378394.0058403965+1385536.7350603833j)
2024-11-14T07:05:00.000000,(-1031675.5213605122-4381925.345744935j),(-3337003.9434192195+2998246.5563086383j),(4368682.587426866+1383677.7648149342j)
