t,a,b,c
2024-11-14T07:00:00.000000,(-1019341.2073521143-4459206.091889431j),(-3393165.2404313157+3022468.7560706283j),(4412500.202480448+1436737.4821899072j)
2024-11-14T07:00:20.000000,(-1268382.012607518-4312803.730315578j),(-3149158.166100109+3192971.7635281594j),(4417546.424009909+1119829.4296299655j)
2024-11-14T07:00:30.000000,(-1316714.4020237068-4365364.216940387j),(-3118556.2001145068+3221537.7860201653j),(4435270.6021378+1143824.2840937024j)
2024-11-14T07:00:50.000000,(-1522025.6128905856-4172390.569949135j),(-2912095.8306599036+3353163.773666743j),(4434115.198248405+819230.2116878903j)
2024-11-14T07:01:00.000000,(-1207505.9175844153-4305796.514345382j),(-3235565.060640185+3152314.849653943j),(4443070.978217136+1153483.9091030133j)
2024-11-14T07:01:10.000000,(-1119703.2095618066-4390938.718980514j),(-3336935.686077717+3081430.6601735777j),(4456635.772991236+1309511.5717797766j)
2024-11-14T07:01:20.000000,(-1215437.4479085086-4320591.631588597j),(-3205206.6487023644+3157729.5247297282j),(4420650.34191366+1162862.3020263368j)
2024-11-14T07:01:40.000000,(-1158433.435602984-4354291.324802699j),(-3305334.5007695872+3093627.7495646942j),(4463767.936372678+1260662.599410712j)
2024-11-14T07:01:50.000000,(-1185581.77722823-4386342.196843992j),(-3186814.244460547+3175922.099168305j),(4372392.899034213+1210417.3653636752j)
2024-11-14T07:02:10.000000,(-1171795.2756826275-4335842.661984779j),(-3279172.883387231+3089274.7591885114j),(4450971.281725766+1246563.9994877097j)
2024-11-14T07:02:20.000000,(-988127.1931753358-4421490.6953439j),(-3390632.7472369177+3092241.2727083853j),(4378756.817765684+1329249.4226426j)
2024-11-14T07:02:30.000000,(-1173746.9317797143-4403035.872048395j),(-3227683.4887099117+3130531.2276869644j),(4401427.297841777+1272502.6926989541j)
2024-11-14T07:02:50.000000,(-929630.5510322695-4525531.233396385j),(-3489208.652825819+3017522.4804094033j),(4418839.203857762+1508004.9472525604j)
2024-11-14T07:03:00.000000,(-1051179.749083298-4373839.069921421j),(-3320804.0570466383+3104026.1624972485j),(4371980.683482773+1269809.9311485295j)
2024-11-14T07:03:10.000000,(-1113957.525170285-4321640.848212737j),(-3312244.8890053537+3074854.360055568j),(4426202.414167319+1246784.6340806552j)
2024-11-14T07:03:20.000000,(-1203699.3984189292-4278879.275340014j),(-3170548.3528791675+3116010.9102475736j),(4374253.996601005+1162868.169929468j)
2024-11-14T07:03:30.000000,(-1157509.1471136294-4303136.019211593j),(-3216972.799879748+3093215.55113058j),(4374478.824345776+1209920.4680781038j)
2024-11-14T07:03:40.000000,(-1170974.0213971247-4287416.581387416j),(-3189821.33785366+3094096.13571222j),(4360795.359251518+1193320.738430873j)
2024-11-14T07:03:50.000000,(-1579501.127218369-4081746.2536801617j),(-2813360.7190341786+3271443.9871884794j),(4392858.723604944+810300.0220830156j)
2024-11-14T07:04:00.000000,(-1145639.947889-4380365.420601116j),(-3295089.034205565+3076615.5324036516j),(4440728.982102574+1303750.3761112876j)
2024-11-14T07:04:10.000000,(-1232268.5316203174-4269992.202386412j),(-3212835.2959261164+3117160.039560556j),(4445100.704891686+1152828.9425977129j)
2024-11-14T07:04:20.000000,(-1100174.1299140186-4362072.964086572j),(-3279813.067852561+3121300.6783690304j),(4379987.197766657+1240768.1872384402j)
2024-11-14T07:04:30.000000,(-1265353.0209446414-4221609.83403993j),(-3108982.1568427677+3209203.3017868293j),(4374335.177787924+1012400.5797041426j)
2024-11-14T07:04:50.000000,(-1013436.2499765944-4395385.396583402j),(-3364945.8933773064+3009840.7570342147j),(4378382.143354649+1385547.7622079975j)
2024-11-14T07:05:00.000000,(-1031660.0545409812-4381920.486035484j),(-3337007.49336985+2998230.733272571j),(4368670.670566325+1383688.7281443523j)
