t,a,b,c
2024-11-14T07:00:00.000000,(32.342471650207585-19.67017572914068j),(-34.52281418488114-20.636078155792234j),(2.180342534673553+40.30625388493263j)
2024-11-14T07:00:20.000000,(32.59297616221272-19.75250562289932j),(-34.58662031094505-20.572992346771912j),(1.9936441487321037+40.32549796967112j)
2024-11-14T07:00:30.000000,(32.532271381730425-19.83948983732637j),(-34.64635148262946-20.616626420538523j),(2.114080100898809+40.456116257865006j)
2024-11-14T07:00:50.000000,(32.419197150120795-19.82056992268599j),(-34.57292440231045-20.66155640190061j),(2.1537272521897677+40.4821263245866j)
2024-11-14T07:01:00.000000,(32.42318319247249-19.635211384692752j),(-34.500240187545046-20.553802753439072j),(2.0770569950725495+40.18901413813194j)
2024-11-14T07:01:10.000000,(32.56229853170976-19.69008938780007j),(-34.52240035452595-20.541261086247687j),(1.9601018228161902+40.23135047404787j)
2024-11-14T07:01:20.000000,(32.37278516470997-19.680967406598256j),(-34.467085780919874-20.52930715096727j),(2.094300616209681+40.21027455756587j)
2024-11-14T07:01:40.000000,(32.24483322198637-19.634510990435217j),(-34.462984343064726-20.3810428791586j),(2.218151121078016+40.0155538695941j)
2024-11-14T07:01:50.000000,(32.633551728531074-19.753650922529232j),(-34.65429704187194-20.4958755657467j),(2.0207453133408677+40.24952648827593j)
2024-11-14T07:02:10.000000,(32.46035882460649-19.788212111679172j),(-34.57022579997814-20.420516297490167j),(2.1098669753714265+40.20872840916945j)
2024-11-14T07:02:20.000000,(32.53919273502356-19.921863728171218j),(-34.68483167528008-20.476069157279312j),(2.1456389402565144+40.39793288545047j)
2024-11-14T07:02:30.000000,(32.42368215132012-19.870150125945543j),(-34.60361174471916-20.41667210886635j),(2.1799295933988105+40.286822234812234j)
2024-11-14T07:02:50.000000,(32.92507712838335-20.16840044611422j),(-35.04371316450341-20.52286871894512j),(2.118636036120174+40.691269165059225j)
2024-11-14T07:03:00.000000,(32.77789448404042-19.880287640967424j),(-34.86164883760381-20.562089603538993j),(2.083754353563169+40.44237724450613j)
2024-11-14T07:03:10.000000,(32.66940624979054-19.81815677145306j),(-34.736680245579336-20.456116625599634j),(2.067273995788568+40.27427339705264j)
2024-11-14T07:03:20.000000,(32.657454014691666-19.8664130512081j),(-34.82574606460156-20.427354451772885j),(2.168292049909443+40.29376750298104j)
2024-11-14T07:03:30.000000,(32.74917748981102-19.874424023291567j),(-34.895412994708884-20.48769091543079j),(2.146235504897982+40.362114938722584j)
2024-11-14T07:03:40.000000,(32.837499447408845-19.848991332037997j),(-34.998475221351754-20.616108016734188j),(2.160975773943136+40.46509934877213j)
2024-11-14T07:03:50.000000,(32.66863688840601-19.90247323365179j),(-34.96383853700687-20.603625019310584j),(2.2952016486009725+40.50609825296226j)
2024-11-14T07:04:00.000000,(32.664773254328225-19.759309579519424j),(-34.83233489425196-20.599944558318043j),(2.167561639923731+40.35925413783741j)
2024-11-14T07:04:10.000000,(32.561536448220636-19.673221015163676j),(-34.70013493301773-20.53637037167107j),(2.138598484797095+40.209591386834745j)
2024-11-14T07:04:20.000000,(32.57568847354446-19.751013162945185j),(-34.73965349271865-20.483124792655303j),(2.163965019174194+40.234137955600545j)
2024-11-14T07:04:30.000000,(32.63267160936721-19.752480932400033j),(-34.84070490803649-20.590286135016527j),(2.2080332986690596+40.3427670674165j)
2024-11-14T07:04:50.000000,(32.61760081314685-19.90124769119484j),(-34.78089285484123-20.384979391659954j),(2.163292041694149+40.28622708285479j)
2024-11-14T07:05:00.000000,(32.97814314875268-19.92726054860509j),(-35.074065766578414-20.47166589997505j),(2.095922617825739+40.39892644858003j)
