t,a,b,c
2024-11-14T07:00:00.000000,(-75.70798710686904+392.6398781525895j),(363.5509443542869-102.67289134263297j),(-289.46922025188724-286.5272588340267j)
2024-11-14T07:00:20.000000,(-73.37280867917252+387.98313832469285j),(361.899163621496-100.10523633823186j),(-289.82898064792425-283.4208942923651j)
2024-11-14T07:00:30.000000,(-72.4907017438145+392.9882709730882j),(364.86612377691927-104.51416073491134j),(-293.83380900553857-284.68990468277116j)
2024-11-14T07:00:50.000000,(-74.26942174409123+392.43936379469596j),(364.45114734713934-100.11872505817121j),(-292.3750749975097-288.1648416033386j)
2024-11-14T07:01:00.000000,(-72.63253336472371+384.4356933984018j),(362.09395659493384-96.37156669760918j),(-291.04153474821214-284.5444268522115j)
2024-11-14T07:01:10.000000,(-74.36178792624742+386.0472976410347j),(364.01620911725695-98.04616790252282j),(-291.84661679831333-283.8749705130431j)
2024-11-14T07:01:20.000000,(-74.37308614498215+387.61890973390473j),(362.3363180760207-98.49410573829073j),(-290.588097723994-285.3530737638939j)
2024-11-14T07:01:40.000000,(-71.22399754476464+384.6194801575148j),(362.3552087988319-101.41039586370266j),(-293.89510840001276-278.94627340137595j)
2024-11-14T07:01:50.000000,(-74.96680036940234+386.6929930530787j),(364.1747729846211-103.10079486125437j),(-291.7613036041457-279.8728931642654j)
2024-11-14T07:02:10.000000,(-73.623434296509+385.3174366181338j),(364.52364137839686-99.72585367744512j),(-292.9418334645834-281.14546411293486j)
2024-11-14T07:02:20.000000,(-78.83586976403421+386.5588863740886j),(367.6454525015797-100.15063836769434j),(-291.41425725517183-282.5130986042168j)
2024-11-14T07:02:30.000000,(-74.66505121534647+386.7053251016805j),(362.9945540960325-102.13023333946035j),(-290.4824697244876-280.21572330669005j)
2024-11-14T07:02:50.000000,(-73.32597882331174+393.10316527705436j),(369.3074564065864-107.80277411871748j),(-298.21405574123855-280.83516273070927j)
2024-11-14T07:03:00.000000,(-76.09744604600928+383.437118687325j),(367.0359881641052-98.28939803615287j),(-293.4041852827322-281.0445650572401j)
2024-11-14T07:03:10.000000,(-76.34011846671092+383.148606604449j),(365.48143318072107-100.12608355496616j),(-292.20692720274747-278.70613316572417j)
2024-11-14T07:03:20.000000,(-72.33420806934191+379.0596338295145j),(361.6726477932971-97.44865730122035j),(-291.79658327203833-277.3775150967849j)
2024-11-14T07:03:30.000000,(-73.29561812685824+381.6333819537758j),(361.3093813900632-98.05527560463042j),(-290.21576606138296-279.12672336746255j)
2024-11-14T07:03:40.000000,(-72.3789028104693+384.0598314827621j),(361.5075986918564-96.98305051973603j),(-291.3076229363305-282.8689912958689j)
2024-11-14T07:03:50.000000,(-75.50996555169331+383.8592226558867j),(361.82601167950634-95.68677380817178j),(-288.42516905947195-284.00727719384304j)
2024-11-14T07:04:00.000000,(-73.30065127211674+386.484847754622j),(363.4795014897245-97.40592874569552j),(-292.24528302427825-285.21676070840476j)
2024-11-14T07:04:10.000000,(-72.40328318339016+383.79816278438375j),(360.5866002550356-98.43393831656033j),(-290.68530453187304-281.4097631943587j)
2024-11-14T07:04:20.000000,(-71.1413377894678+385.0958169787955j),(358.2231364069885-101.21389952958282j),(-289.44994676698843-280.2927740358391j)
2024-11-14T07:04:30.000000,(-71.98898996237403+382.44172366759085j),(358.59895997400236-97.30184137178935j),(-289.12118776915304-281.1899640592892j)
2024-11-14T07:04:50.000000,(-73.78065454125681+380.7198321488213j),(360.73244081886514-100.67475361881031j),(-289.2420537936614-275.56239907156487j)
2024-11-14T07:05:00.000000,(-74.41822813148974+381.8494091066641j),(363.21980214625-100.41036202000237j),(-291.15299225038325-276.6662622687363j)
