t,ab
2024-11-14T07:00:00.000000,(-4822.95529661539-8425.08224096165j)
2024-11-14T07:00:20.000000,(-4842.347655784428-8412.222922965888j)
2024-11-14T07:00:30.000000,(-4851.971803690379-8408.669395096042j)
2024-11-14T07:00:50.000000,(-4836.388631044513-8418.46033925545j)
2024-11-14T07:01:00.000000,(-4855.16736026761-8400.46348793353j)
2024-11-14T07:01:10.000000,(-4851.4575914565185-8405.900499573803j)
2024-11-14T07:01:20.000000,(-4835.8651516550035-8415.652793868838j)
2024-11-14T07:01:40.000000,(-4878.394995487897-8390.064598729921j)
2024-11-14T07:01:50.000000,(-4844.696478452089-8409.145094763695j)
2024-11-14T07:02:10.000000,(-4862.228101753407-8407.506568187864j)
2024-11-14T07:02:20.000000,(-4778.869048571811-8447.171422424435j)
2024-11-14T07:02:30.000000,(-4800.510505144313-8444.544429521191j)
2024-11-14T07:02:50.000000,(-4849.266501282597-8413.879829213853j)
2024-11-14T07:03:00.000000,(-4835.969679389014-8424.439289803444j)
2024-11-14T07:03:10.000000,(-4845.051642304598-8416.37405070151j)
2024-11-14T07:03:20.000000,(-4871.065476259708-8399.591066205909j)
2024-11-14T07:03:30.000000,(-4843.466103398381-8413.57769404987j)
2024-11-14T07:03:40.000000,(-4832.430450878399-8423.303320338899j)
2024-11-14T07:03:50.000000,(-4848.29352817095-8416.752332534077j)
2024-11-14T07:04:00.000000,(-4848.581228508848-8416.0664376407j)
2024-11-14T07:04:10.000000,(-4859.51383634083-8410.9415711124j)
2024-11-14T07:04:20.000000,(-4884.72209741864-8396.724976157482j)
2024-11-14T07:04:30.000000,(-4898.626206625828-8394.09865419855j)
2024-11-14T07:04:50.000000,(-4825.481827234724-8432.431191164273j)
2024-11-14T07:05:00.000000,(-4826.47621549736-8432.832577647252j)
