t,a,b,c,n
2024-11-14T07:00:00.000000,(-213.7100221244818-715.9398496756277j),(-2650.1271840087657-713.4278816376008j),(-1434.1316936573717+1403.418213615675j),(-1432.6562999302066-8.649839232517966j)
2024-11-14T07:00:20.000000,(-319.01469652082386-870.1879967407506j),(-2756.4835340578647-866.4382487642457j),(-1534.376659997579+1250.6037017464419j),(-1536.6249635254226-162.00751458618475j)
2024-11-14T07:00:30.000000,(-244.35853052356666-593.8068427915612j),(-2683.636585053949-586.7775398804758j),(-1459.4104934920667+1527.6549745237123j),(-1462.4685363565275+115.69019728389151j)
2024-11-14T07:00:50.000000,(-262.55693895994534-859.5455966163967j),(-2698.1982319827093-855.9249998324038j),(-1480.4465054550444+1259.2477815430352j),(-1480.400558799233-152.07427163525517j)
2024-11-14T07:01:00.000000,(-1139.1654292721164-790.7490820616548j),(-3578.1123486140964-788.0027022258107j),(-2359.645270169601+1329.036110126897j),(-2358.974349351938-83.23855805352284j)
2024-11-14T07:01:10.000000,(-597.5838943619261-1021.0994932037345j),(-3037.200341777405-1018.4230126450145j),(-1814.974833888899+1093.3703702072671j),(-1816.586356676077-315.3840452138276j)
2024-11-14T07:01:20.000000,(-675.3674498536496-612.7056756379015j),(-3118.327714011145-609.7741260056426j),(-1892.8937345103839+1498.7486147748518j),(-1895.5296327917263+92.0896043771023j)
2024-11-14T07:01:40.000000,(-468.16039782096084-822.8166756665682j),(-2905.3281496837503-804.5249643579323j),(-1670.4590244802737+1297.9957055861323j),(-1681.315857328328-109.78197814612285j)
2024-11-14T07:01:50.000000,(-173.3829853601292-930.8020430704091j),(-2612.5834822883785-923.4163529121003j),(-1385.360666852103+1184.5740786812844j),(-1390.44237816687-223.2147724337417j)
2024-11-14T07:02:20.000000,(82.73993699966282-876.2696465283005j),(-2355.686876625487-877.9863193959916j),(-1138.4242556201104+1237.6083377442844j),(-1137.123731748645-172.21587606000267j)
2024-11-14T07:02:30.000000,(4.30182728584234-823.5316090745767j),(-2438.3032924213417-823.1734328669147j),(-1215.386427452564+1295.0938500094915j),(-1216.4626308626875-117.20373064400012j)
2024-11-14T07:02:50.000000,(-669.1763095300062-1028.1182400188145j),(-3107.3463726393015-1023.7957453003281j),(-1883.4600024805095+1095.3266257743485j),(-1886.6608948832725-318.8624531815984j)
2024-11-14T07:03:00.000000,(-621.3691864743536-1015.0027743651104j),(-3062.9344607972184-1010.7443261292042j),(-1837.94006422811+1104.2938994178353j),(-1840.7479038332272-307.15106702549326j)
2024-11-14T07:03:10.000000,(-558.3862775956337-860.8521108903064j),(-2998.018160149577-856.4651760976536j),(-1772.778810149491+1263.4947368632452j),(-1776.3944159649002-151.27418337490508j)
2024-11-14T07:03:20.000000,(-174.44833396603636-597.2421279596128j),(-2610.8914345561825-584.683377341284j),(-1384.765043517266+1527.2195750381059j),(-1390.0349373464949+115.09802324573623j)
2024-11-14T07:03:30.000000,(-1071.7050747912062-674.043311729736j),(-3514.588664511819-665.1470138574979j),(-2285.3362384441016+1440.0525003900439j),(-2290.5433259157085+33.6207249342698j)
2024-11-14T07:03:40.000000,(40.92279060460998-798.025493801621j),(-2400.6889736646704-791.1023912040243j),(-1174.8214259916203+1316.6567298355264j),(-1178.1958696838938-90.82371839003973j)
2024-11-14T07:03:50.000000,(-57.983318841901465-803.0644898865247j),(-2502.601029174549-795.1540381397443j),(-1274.2406200915218+1312.9808190752233j),(-1278.2749893693237-95.07923631701526j)
2024-11-14T07:04:00.000000,(-876.2818147943834-777.7849156188137j),(-3316.116399875059-767.7735948693049j),(-2088.6036951348856+1341.918118326894j),(-2093.667303268109-67.88013072040836j)
2024-11-14T07:04:10.000000,(-258.9379530895418-689.7760940063795j),(-2696.9124775232035-677.6592582929086j),(-1468.7035885799637+1433.6352577322314j),(-1474.851339730903+22.0666351443142j)
2024-11-14T07:04:20.000000,(-125.89649315325524-614.5431850115854j),(-2568.40713908424-598.6794258639294j),(-1335.4924222869195+1505.6505086339487j),(-1343.265351508138+97.47596591947797j)
2024-11-14T07:04:30.000000,(-954.9378404717648-676.8708769572968j),(-3397.8322009688145-669.4724231058997j),(-2170.7302598850483+1445.26377580809j),(-2174.5001004418764+32.97349191496426j)
2024-11-14T07:05:00.000000,(-358.442774666166-525.86398010988j),(-2795.9571631747826-524.6175103422758j),(-1581.0560526237032+1599.6279248532135j),(-1578.4853301548842+183.0488114670192j)
