t,a,b,c
2024-11-14T07:00:00.000000,(140.4468844544287-241.79019865822372j),(-280.0371694160071-0.23010218545424993j),(139.4724594472891+242.31222604815704j)
2024-11-14T07:00:20.000000,(139.7029104188467-242.18431066748002j),(-279.98745720696655+0.8083579345631167j),(140.49378785414373+241.71151941780403j)
2024-11-14T07:00:30.000000,(138.69670403337835-242.8298328740552j),(-280.0602149337902+1.6922790621526105j),(141.170859649988+241.45186702678149j)
2024-11-14T07:00:50.000000,(139.9085306328963-242.0692962980058j),(-279.8428728426241+0.2951226402180732j),(140.24451123844202+241.79119914690892j)
2024-11-14T07:01:00.000000,(139.14649139513202-242.44160679290246j),(-279.8781784012199+0.7735596224961916j),(140.77704984317404+241.44696197149307j)
2024-11-14T07:01:10.000000,(139.8086994995482-241.98795216286808j),(-279.86971007260473-0.010124896667818803j),(140.01426138983962+241.8207344061888j)
2024-11-14T07:01:20.000000,(139.7104327833505-242.29820991311783j),(-280.0709886067253+0.8719881946258001j),(140.51911031759013+241.76161052961174j)
2024-11-14T07:01:40.000000,(137.5619290139056-243.11673507720906j),(-279.7285538256988+2.8511526184321605j),(141.93501393272163+240.44739765234075j)
2024-11-14T07:01:50.000000,(139.00536267696498-242.4294973267373j),(-279.85309266831655+1.5318968038556862j),(141.1098870956507+241.1193573237584j)
2024-11-14T07:02:10.000000,(139.45331140625873-242.5003252296852j),(-280.1657973381848+1.1911988666172408j),(140.79512615421308+241.64699409672397j)
2024-11-14T07:02:20.000000,(139.95235403327297-241.90260872620487j),(-279.95575376843766+0.17782744727835748j),(139.80880125237383+242.01744464181206j)
2024-11-14T07:02:30.000000,(138.67807746174773-243.07073573162248j),(-280.25626021306516+1.577661459132418j),(141.4927363989981+241.36683684346883j)
2024-11-14T07:02:50.000000,(139.1204314799296-242.64190341378304j),(-280.12739978836674+1.0236749017140025j),(140.8861896398876+241.54353957278644j)
2024-11-14T07:03:00.000000,(139.16851528803733-242.79552402846318j),(-280.23093914183823+1.0430134367220345j),(140.98707620446507+241.57048767504438j)
2024-11-14T07:03:10.000000,(140.1904533257758-242.0736358800719j),(-280.2208311182372+0.197938852026627j),(140.2924321934604+241.89680730191793j)
2024-11-14T07:03:20.000000,(138.76400397594233-242.67527037114323j),(-280.0236985339023+1.3857757251797618j),(141.2861393012412+241.10806027014928j)
2024-11-14T07:03:30.000000,(139.11696665819724-242.53090800787194j),(-280.05241147974044+1.0757013130558482j),(140.73469971221485+241.4648418706935j)
2024-11-14T07:03:40.000000,(139.47880094554012-242.34940592245434j),(-280.1193024257211+0.7203373910152302j),(140.82790405596577+241.53143784256562j)
2024-11-14T07:03:50.000000,(138.89416178870493-242.9492376176015j),(-280.34827475973617+1.417378969403213j),(141.32826139960324+241.44310107693784j)
2024-11-14T07:04:00.000000,(138.80493465017707-242.72827796978177j),(-280.085970307583+1.8802714702754941j),(141.5560899832571+241.0129075544664j)
2024-11-14T07:04:10.000000,(139.04886035598065-242.50789403089837j),(-280.0399877825867+1.562224851886607j),(141.26506168554528+241.0977733523864j)
2024-11-14T07:04:20.000000,(138.1790936409037-242.95743113865493j),(-279.97766866252863+2.6442638224209114j),(141.93224002312263+240.6772543063443j)
2024-11-14T07:04:30.000000,(139.24645114245646-242.88089742615108j),(-280.4640375057964+1.1149683152679202j),(141.01900707765796+241.7512264632039j)
2024-11-14T07:04:50.000000,(138.07084921058288-243.54419914098227j),(-280.41918433983557+2.554048725484252j),(142.57308991486133+240.83390291531742j)
2024-11-14T07:05:00.000000,(139.76630143932908-242.6125924674945j),(-280.43813240488925+0.7785369503572399j),(140.54643412851422+242.01268853047156j)
