t,a,b,c
2024-11-14T07:00:00.000000,(-24.88219994261912+317.56290524917455j),(290.031512054351-138.69705506126218j),(-265.7151816640023-178.8161667660056j)
2024-11-14T07:00:20.000000,(-23.588684727264408+317.79040161002786j),(289.4417471803564-140.24515310818953j),(-266.34936358249644-178.1367705242674j)
2024-11-14T07:00:30.000000,(-24.17798387230582+317.8168971326471j),(289.86676964521763-139.3355253147257j),(-266.41665207822433-178.35848844657977j)
2024-11-14T07:00:50.000000,(-21.896123111329487+318.120883455487j),(289.06806573348507-141.4592463362523j),(-267.46474490456603-176.75335274701933j)
2024-11-14T07:01:00.000000,(-21.91790962414966+317.8841533830122j),(288.7247039741506-141.72923947937903j),(-267.2511660992172-176.72897481749834j)
2024-11-14T07:01:10.000000,(-23.730855970590948+317.686301866391j),(289.4818511942698-139.83299920263946j),(-266.09894577767056-178.26371198342295j)
2024-11-14T07:01:20.000000,(-23.20608553497771+317.9538733953562j),(289.59636969711784-140.2911028152254j),(-266.8222596562069-177.84216479716554j)
2024-11-14T07:01:40.000000,(-21.81752256775658+317.9296360858009j),(288.74491841516317-141.67347023005655j),(-267.61353670462927-176.10950857089517j)
2024-11-14T07:01:50.000000,(-22.478534319543108+317.7466414789613j),(289.09279773591635-140.92008479722574j),(-267.2397596946793-176.81487699950893j)
2024-11-14T07:02:10.000000,(-24.096320486375618+317.4966359663211j),(289.34132206355014-139.85083968648829j),(-266.1724017677883-177.8950892150181j)
2024-11-14T07:02:20.000000,(-24.77900606089654+317.5244691789089j),(289.9361937055117-138.77761420281945j),(-265.7624338791203-178.68029308509423j)
2024-11-14T07:02:30.000000,(-24.321039665296702+317.3396823578856j),(289.3511051633382-139.62188159526457j),(-265.9632211464696-177.9976415823153j)
2024-11-14T07:02:50.000000,(-24.02035590787609+317.5458754705169j),(289.4849386811304-139.6267125753125j),(-266.19984110420586-177.91512824447184j)
2024-11-14T07:03:00.000000,(-23.397207362948826+317.8919383668736j),(289.5043318677634-140.20493148867845j),(-266.61321207929177-177.59891603947602j)
2024-11-14T07:03:10.000000,(-23.73302349026451+317.35017097481955j),(289.1424272811999-140.0050179327043j),(-266.00216945580235-177.9147540434777j)
2024-11-14T07:03:20.000000,(-23.770172682574177+317.48322866450616j),(289.2925978013864-140.10760684755715j),(-266.2488539956836-177.96059681426195j)
2024-11-14T07:03:30.000000,(-23.72825025659813+317.72192719590595j),(289.53442392605325-140.21023257927703j),(-266.6102164623287-177.66274738344325j)
2024-11-14T07:03:40.000000,(-24.601502428249898+317.4951753825394j),(289.8720696147378-138.97852507386997j),(-265.62864821026875-178.85665930981224j)
2024-11-14T07:03:50.000000,(-25.049678780743978+317.0576394423373j),(289.7448933072337-138.34838097919027j),(-265.25132879043326-178.6988894860578j)
2024-11-14T07:04:00.000000,(-23.26323643813677+317.7302958953772j),(289.2865858452447-140.3718211375381j),(-266.4535233010801-177.78719703335383j)
2024-11-14T07:04:10.000000,(-23.399878824460163+317.4661130534178j),(288.9370325785239-140.43494043916348j),(-266.34891612906597-177.49554265395474j)
2024-11-14T07:04:20.000000,(-23.09684370164431+317.64253602850005j),(288.9849060298033-140.9078776440742j),(-266.88730180482645-177.0924384749925j)
2024-11-14T07:04:30.000000,(-22.53754580463917+317.5972026124074j),(288.9080724371485-140.97132967058675j),(-266.76872391718035-177.04208415735724j)
2024-11-14T07:04:50.000000,(-23.74041740718445+317.58281007372557j),(289.31561636553556-140.25135834289554j),(-266.3459191828293-177.79933087797457j)
2024-11-14T07:05:00.000000,(-23.614893072391308+317.40021594076774j),(288.98631234317486-140.0046293012026j),(-265.97729221509894-177.98022249848418j)
