t,a,b,c
2024-11-14T07:00:00.000000,(-24.88219994261911+317.56290524917443j),(290.0315120543511-138.69705506126218j),(-265.71518166400233-178.81616676600564j)
2024-11-14T07:00:20.000000,(-23.588684727264422+317.7904016100279j),(289.4417471803565-140.24515310818956j),(-266.34936358249644-178.13677052426743j)
2024-11-14T07:00:30.000000,(-24.177983872305827+317.8168971326471j),(289.8667696452176-139.3355253147257j),(-266.41665207822433-178.3584884465798j)
2024-11-14T07:00:50.000000,(-21.896123111329487+318.12088345548705j),(289.06806573348507-141.45924633625233j),(-267.46474490456603-176.7533527470194j)
2024-11-14T07:01:00.000000,(-21.91790962414983+317.88415338301445j),(288.72470397415265-141.72923947938003j),(-267.2511660992191-176.7289748174996j)
2024-11-14T07:01:10.000000,(-23.73085597059095+317.686301866391j),(289.4818511942698-139.83299920263943j),(-266.0989457776705-178.26371198342295j)
2024-11-14T07:01:20.000000,(-23.20608553497771+317.95387339535625j),(289.59636969711784-140.2911028152254j),(-266.8222596562068-177.84216479716554j)
2024-11-14T07:01:40.000000,(-21.81752256775362+317.9296360857596j),(288.74491841512577-141.67347023003805j),(-267.61353670459476-176.10950857087246j)
2024-11-14T07:01:50.000000,(-22.478534319543105+317.7466414789613j),(289.09279773591624-140.92008479722574j),(-267.2397596946794-176.81487699950887j)
2024-11-14T07:02:20.000000,(-24.77900606089612+317.5244691789038j),(289.9361937055071-138.7776142028172j),(-265.76243387911603-178.6802930850914j)
2024-11-14T07:02:30.000000,(-24.321039665296702+317.3396823578856j),(289.35110516333833-139.62188159526463j),(-265.96322114646955-177.99764158231537j)
2024-11-14T07:02:50.000000,(-24.020355907876095+317.54587547051693j),(289.48493868113036-139.62671257531258j),(-266.1998411042059-177.91512824447187j)
2024-11-14T07:03:00.000000,(-23.397207362948823+317.89193836687355j),(289.50433186776354-140.20493148867845j),(-266.6132120792917-177.598916039476j)
2024-11-14T07:03:10.000000,(-23.73302349026451+317.35017097481966j),(289.1424272811999-140.00501793270433j),(-266.0021694558024-177.91475404347773j)
2024-11-14T07:03:20.000000,(-23.770172682574174+317.48322866450604j),(289.2925978013865-140.10760684755715j),(-266.24885399568353-177.96059681426195j)
2024-11-14T07:03:30.000000,(-23.728250256598127+317.72192719590595j),(289.53442392605336-140.21023257927698j),(-266.6102164623287-177.66274738344327j)
2024-11-14T07:03:40.000000,(-24.6015024282499+317.49517538253957j),(289.8720696147378-138.97852507387003j),(-265.6286482102689-178.85665930981227j)
2024-11-14T07:03:50.000000,(-25.049678780743974+317.0576394423374j),(289.7448933072338-138.3483809791903j),(-265.2513287904333-178.69888948605777j)
2024-11-14T07:04:00.000000,(-23.263236438136772+317.7302958953771j),(289.2865858452447-140.37182113753803j),(-266.45352330108005-177.7871970333538j)
2024-11-14T07:04:10.000000,(-23.399878824460167+317.46611305341776j),(288.9370325785239-140.43494043916346j),(-266.34891612906597-177.49554265395474j)
2024-11-14T07:04:20.000000,(-23.096843701644314+317.6425360285001j),(288.98490602980337-140.9078776440742j),(-266.8873018048264-177.09243847499246j)
2024-11-14T07:04:30.000000,(-22.537545804639173+317.59720261240744j),(288.9080724371486-140.97132967058684j),(-266.7687239171804-177.04208415735727j)
2024-11-14T07:05:00.000000,(-23.614893072391308+317.4002159407678j),(288.986312343175-140.0046293012026j),(-265.977292215099-177.98022249848418j)
