t,a,b,c
2024-11-14T07:00:00.000000,(21.228218508532528-6.086341321599136j),(-12.843099377807514-14.322798334665853j),(-8.385119130725018+20.409139656265026j)
2024-11-14T07:00:20.000000,(21.503224778404253-7.484966842515869j),(-12.554718773117644-14.936703634443592j),(-8.948506005286548+22.42167047695944j)
2024-11-14T07:00:30.000000,(15.95445419550546-2.8615942908988545j),(-5.398733361829715-11.605280160140923j),(-10.555720833675652+14.466874451039763j)
2024-11-14T07:00:50.000000,(13.693755579886068-5.379117231074989j),(-6.5185732874101605-5.889185339399531j),(-7.1751822924759505+11.268302570474525j)
2024-11-14T07:01:00.000000,(14.856370176435707-0.38679290279659245j),(-3.4463918034382783-11.43397442124692j),(-11.40997837299743+11.820767324043516j)
2024-11-14T07:01:10.000000,(15.991931037508648-1.0656242615449352j),(-5.966713167248954-11.487348868452814j),(-10.025217870259663+12.552973129997799j)
2024-11-14T07:01:20.000000,(15.226411786759229+0.2446796342840053j),(-4.588204051892413-11.750754219012705j),(-10.638207734866814+11.506074584728681j)
2024-11-14T07:01:40.000000,(18.756944775118317-8.266050032785857j),(-14.398056236777544-10.412791813679554j),(-4.3588885383408105+18.678841846465428j)
2024-11-14T07:01:50.000000,(13.973284668384837-1.9912315089120012j),(-7.185790565729122-10.122184017939356j),(-6.7874941026557085+12.113415526851378j)
2024-11-14T07:02:20.000000,(12.313546383091163+0.2365900950055701j),(-4.603055887068554-12.376599818158233j),(-7.710490496022556+12.140009723152657j)
2024-11-14T07:02:30.000000,(13.48979954852054+2.6810893598267502j),(-4.647559193816862-13.205171878739623j),(-8.842240354703632+10.524082518912888j)
2024-11-14T07:02:50.000000,(14.00844391667628+0.5854753719919081j),(-5.738326919250038-13.451780231029547j),(-8.270116997426214+12.866304859037678j)
2024-11-14T07:03:00.000000,(13.744762153149944+2.427819713244556j),(-2.987373962337424-12.361700277405104j),(-10.757388190812621+9.933880564160592j)
2024-11-14T07:03:10.000000,(13.607843455816154+2.983058607426667j),(-4.314712488841819-13.810154355704373j),(-9.293130966974308+10.82709574827773j)
2024-11-14T07:03:20.000000,(18.99708330048643-5.21332398230351j),(-12.851829914851868-13.938255454416774j),(-6.145253385634518+19.151579436720304j)
2024-11-14T07:03:30.000000,(13.908154687202707+0.5175443762568288j),(-5.729057445076891-13.013138795710057j),(-8.179097242125673+12.49559441945325j)
2024-11-14T07:03:40.000000,(11.563378088402935-0.43167222060684973j),(-4.835029362035439-10.868497913041729j),(-6.728348726367503+11.300170133648628j)
2024-11-14T07:03:50.000000,(14.445636722900387+1.7024183266819182j),(-5.609401086672873-14.326230612927288j),(-8.836235636227464+12.623812286245414j)
2024-11-14T07:04:00.000000,(19.45981784488921-5.776574931911651j),(-14.799049348774263-14.365784305539297j),(-4.660768496114858+20.142359237450968j)
2024-11-14T07:04:10.000000,(17.173351275084073-9.722065787495714j),(-16.723986043183686-11.710752195730823j),(-0.4493652319003939+21.432817983226567j)
2024-11-14T07:04:20.000000,(15.429253337948818-10.914558643099946j),(-17.12905024709702-8.710148865328764j),(1.6997969091481546+19.62470750842871j)
2024-11-14T07:04:30.000000,(12.258667253442361+3.074107250323772j),(-3.8942821828391074-13.418165495226893j),(-8.364385070603138+10.344058244903128j)
2024-11-14T07:05:00.000000,(12.79396873848146+5.987315651596206j),(-1.0098973303915544-14.182282240527883j),(-11.784071408089886+8.194966588931672j)
