t,a,b,c,n
2024-11-14T07:00:00.000000,(62.273419013969786-82.1399623612629j),(-75.87106560378244-36.668473254736604j),(49.93644008384033+90.15473525826894j),(-0.008631536925295844+0.06969197604765384j)
2024-11-14T07:00:20.000000,(60.54107929720233-80.40792700104937j),(-75.66388632455804-36.24734911004172j),(49.734160900901124+86.73225624902855j),(-0.009397718531851217+0.07097243009092627j)
2024-11-14T07:00:30.000000,(60.98922025575535-83.14494534623411j),(-75.64215237372112-36.285630840942844j),(51.89925792705546+88.23715829629936j),(-0.00946835569934942+0.07102074544241484j)
2024-11-14T07:00:50.000000,(61.03505051872263-81.3623039983235j),(-75.75453912088179-36.47663976405125j),(49.7636204653227+88.48506424171784j),(-0.008040367052139872+0.06959639387213018j)
2024-11-14T07:01:00.000000,(61.597869208418146-81.76322302497297j),(-75.6012833528281-36.92883875572475j),(49.39811939497206+88.57893229013645j),(-0.008797754654923655+0.06957563020053513j)
2024-11-14T07:01:10.000000,(61.353486279417105-80.28231596107776j),(-75.45764436039896-36.53295301035313j),(48.78028937059888+87.98984265066758j),(-0.009497208358170847+0.07089368775776185j)
2024-11-14T07:01:20.000000,(61.64433477474663-81.33591699282748j),(-75.66516114178707-36.60528141507467j),(50.23573518768051+88.64984599243972j),(-0.009568623842919883+0.07100256400113178j)
2024-11-14T07:01:40.000000,(60.23895742864647-79.57177137110031j),(-75.80698511771507-36.0978308432475j),(49.523345557408604+85.98126784431275j),(-0.008932030322054921+0.07098904103173817j)
2024-11-14T07:01:50.000000,(60.74538400202861-81.55653164704309j),(-75.71770023296706-36.42522177351868j),(51.043075365902226+87.85502507048263j),(-0.00813546403550598+0.0696417741293561j)
2024-11-14T07:02:10.000000,(61.24003559028662-81.09089586481618j),(-75.69115155471619-36.37541152085137j),(50.03276564480067+87.50010819947025j),(-0.009768615875775684+0.07089913501882536j)
2024-11-14T07:02:20.000000,(61.72063296623037-82.3068972059441j),(-75.4444889502193-36.6732456559318j),(50.9950519491677+89.51907388954662j),(-0.010195936884253142+0.07094784204539613j)
2024-11-14T07:02:30.000000,(61.297867900271925-80.52783704919057j),(-75.79029261719087-36.706142018637614j),(49.69155605275885+87.58989856043576j),(-0.009987452609320135+0.07066332722672451j)
2024-11-14T07:02:50.000000,(58.615739762847355-80.96518074446112j),(-75.92535778120488-36.41750874376774j),(50.81938070736304+85.62623363104248j),(-0.008665636321303386+0.06962332139065128j)
2024-11-14T07:03:00.000000,(60.50241115189105-81.05700278894639j),(-75.62931802060739-36.521216202900234j),(50.303827927238835+86.933483802068j),(-0.009739328304708708+0.0709106099017234j)
2024-11-14T07:03:10.000000,(62.58558470162853-79.49278687892249j),(-75.81245802604673-36.332238135897484j),(48.31521264532382+88.41852730795503j),(-0.009782520798510396+0.07099057406875743j)
2024-11-14T07:03:20.000000,(61.16640416336431-81.26632279094186j),(-75.90665563788184-36.28289775304623j),(50.13931945265661+88.34897497615894j),(-0.01048466777293605+0.07125661034843529j)
2024-11-14T07:03:30.000000,(60.562247980240265-80.26762985219395j),(-75.5894836169253-36.36971982312787j),(49.6798927807439+86.67899756001714j),(-0.009652147965030194+0.06977592025029364j)
2024-11-14T07:03:40.000000,(59.89761081177342-81.80182573418428j),(-75.64608853536413-36.5422734148898j),(51.44412581381553+86.15125486985987j),(-0.01105491662508852+0.07125485094392917j)
2024-11-14T07:03:50.000000,(60.69155829429347-79.78185234779168j),(-75.71657809669895-36.38019380316282j),(49.40655650758308+86.21330375969846j),(-0.01092772549146573+0.07097499040087478j)
2024-11-14T07:04:00.000000,(60.555601834538244-78.16694014963637j),(-75.75415804635105-36.195739713507535j),(48.696165952373505+85.30281847489948j),(-0.010746109316868306+0.07099869726884069j)
2024-11-14T07:04:10.000000,(59.431163288232256-80.9675624961369j),(-75.73440217975957-36.08610556457968j),(50.91445342821306+86.10555780736212j),(-0.010637614902379314+0.07102921144473229j)
2024-11-14T07:04:20.000000,(60.26734120230639-80.48674825632749j),(-75.80379811439244-36.33035930594239j),(49.8829093696716+86.58880751549458j),(-0.009459983774695674+0.0699162813825485j)
2024-11-14T07:04:30.000000,(58.68219834229998-82.12249705024043j),(-75.74098737786909-36.362981511688766j),(51.856756678775454+86.16906310164487j),(-0.00964868714627143+0.06994258731032234j)
2024-11-14T07:04:50.000000,(60.95178113113394-80.41006375010176j),(-76.20708586645715-36.025496225686624j),(49.25822331338282+87.7235366810692j),(-0.010525014573911648+0.07075114639838563j)
2024-11-14T07:05:00.000000,(61.11533234871472-80.67400222272424j),(-75.77900435415245-36.30202582207327j),(50.16007823300266+88.37784841355683j),(-0.010983922586519061+0.07083702199151438j)
