t,a,b,c
2024-11-14T07:00:00.000000,(-96.53510627547037+159.36318901092j),(187.3581649829258+4.194521943602298j),(-90.82305870745547-163.55771095452238j)
2024-11-14T07:00:20.000000,(-89.0671371681325+155.11962041749132j),(179.71717875304148-0.3840910644920379j),(-90.65004158490896-154.73552935299927j)
2024-11-14T07:00:30.000000,(-95.34046504202168+160.6937459970984j),(188.05947810135166+2.361324849106672j),(-92.7190130593301-163.05507084620507j)
2024-11-14T07:00:50.000000,(-97.59835370714227+158.05911862703476j),(186.95462546130275+5.4502063205500795j),(-89.3562717541604-163.50932494758487j)
2024-11-14T07:01:00.000000,(-95.96035916891873+162.87168718456013j),(189.8913410966487+2.1331405600552023j),(-93.93098192772996-165.00482774461523j)
2024-11-14T07:01:10.000000,(-94.71170736542342+161.14233968778254j),(187.71172901921315+1.740901420351393j),(-93.00002165378976-162.88324110813394j)
2024-11-14T07:01:20.000000,(-95.79631486310917+162.61348234146715j),(189.67100387864772+2.0897312776275196j),(-93.87468901553862-164.70321361909464j)
2024-11-14T07:01:40.000000,(-91.03942513524098+153.30008221560388j),(179.45384468097194+2.2842857197120607j),(-88.4144195457311-155.58436793531604j)
2024-11-14T07:01:50.000000,(-97.07519040470011+159.25473469859975j),(187.80379813459993+4.52648773372208j),(-90.72860772989986-163.7812224323219j)
2024-11-14T07:02:20.000000,(-98.42168964482877+160.4213796843033j),(188.98116232968894+5.152696993858238j),(-90.55947268486008-165.5740766781616j)
2024-11-14T07:02:30.000000,(-97.44396469302923+162.99030046903155j),(190.16938036111787+3.1572840007834406j),(-92.72541566808852-166.1475844698151j)
2024-11-14T07:02:50.000000,(-95.59593992828805+160.68775725100767j),(187.875856648972+2.519594504763314j),(-92.27991672068393-163.207351755771j)
2024-11-14T07:03:00.000000,(-95.86635193888858+162.21934879254326j),(189.53161697064044+2.2049449742044467j),(-93.66526503175177-164.42429376674767j)
2024-11-14T07:03:10.000000,(-95.55506911929177+161.2998241472851j),(188.16898218408468+2.418779793236037j),(-92.61391306479277-163.71860394052112j)
2024-11-14T07:03:20.000000,(-90.1784080964082+154.78801903691834j),(180.03501111694789+0.7900151377475767j),(-89.85660302053974-155.5780341746659j)
2024-11-14T07:03:30.000000,(-95.22476383460484+160.13204253441697j),(187.2496483071533+2.445311888448523j),(-92.02488447254834-162.57735442286545j)
2024-11-14T07:03:40.000000,(-97.49453890491105+159.94249747647538j),(188.56718903622243+4.48020502311826j),(-91.0726501313114-164.4227024995937j)
2024-11-14T07:03:50.000000,(-95.0514926490443+161.718581760669j),(188.30885129871444+1.449867811359184j),(-93.25735864967018-163.16844957202827j)
2024-11-14T07:04:00.000000,(-90.21645044669997+154.97110552832953j),(179.70958420426552+0.7954704411633045j),(-89.49313375756557-155.76657596949278j)
2024-11-14T07:04:10.000000,(-91.0619608947245+151.22901644023997j),(177.15059597510196+3.198646832925446j),(-86.08863508037736-154.42766327316545j)
2024-11-14T07:04:20.000000,(-93.69192538497293+151.0356150006921j),(178.1148607112123+5.8530189260098355j),(-84.42293532623931-156.888633926702j)
2024-11-14T07:04:30.000000,(-95.48986007685475+161.02515334019753j),(187.69834559126545+2.2360893436600575j),(-92.2084855144106-163.26124268385752j)
2024-11-14T07:05:00.000000,(-96.45393937617489+163.397262086487j),(190.3672302445998+2.2439439929773473j),(-93.9132908684249-165.64120607946438j)
