t,a,b,c
2024-11-14T07:00:00.000000,(62.08459951201632-122.8260166549358j),(-135.58444912698673+5.949103593743146j),(74.04429088867441+116.39033639881066j)
2024-11-14T07:00:20.000000,(61.67165829392593-122.79216310141932j),(-135.60335185829072+6.419115438061939j),(74.6552293522958+115.93023870996102j)
2024-11-14T07:00:30.000000,(61.17087847552233-123.19118638888231j),(-135.58849687184787+6.902386133572615j),(74.89117017617487+115.80361830518427j)
2024-11-14T07:00:50.000000,(64.0715708924903-119.87623250228995j),(-133.22457425509953+9.577908640522152j),(69.90653271455506+109.6656569691324j)
2024-11-14T07:01:00.000000,(61.52188782834689-123.16120185841595j),(-135.6828732464304+6.411763684806365j),(74.7795297339325+116.01611493059386j)
2024-11-14T07:01:10.000000,(61.79203615849526-122.7527497250847j),(-135.6742809474143+5.971186759666222j),(74.43692170861006+116.07025723585693j)
2024-11-14T07:01:20.000000,(61.726061899461314-122.82452996254597j),(-135.6557792067803+6.4750128670940965j),(74.57580707952705+115.88685197117206j)
2024-11-14T07:01:40.000000,(60.80269263703081-123.50905483983769j),(-135.55293266006845+7.44231670859134j),(75.23476750534027+115.5810109979749j)
2024-11-14T07:01:50.000000,(61.50717706787263-123.09153854099817j),(-135.7140303446273+6.797097307856145j),(74.93725458950347+115.75817605343929j)
2024-11-14T07:02:10.000000,(61.539660060987316-123.04548149570856j),(-135.57033150736035+6.656090048902043j),(74.62034251502578+115.92463162151346j)
2024-11-14T07:02:20.000000,(61.9133261239087-122.75632771825393j),(-135.7214428059031+6.111713341142696j),(74.27249609825874+116.14789521695337j)
2024-11-14T07:02:30.000000,(61.11684774014193-123.00110201111177j),(-135.62231795072873+6.85653727105427j),(74.99855604697233+115.45443439587883j)
2024-11-14T07:02:50.000000,(60.47720505683884-122.8279442303301j),(-136.05931522028519+5.29340805722203j),(76.08477114922705+116.86821756077596j)
2024-11-14T07:03:00.000000,(60.482342010779035-119.80628523898982j),(-134.59348725187112+5.8997900103353915j),(74.6280654748982+113.23149235881716j)
2024-11-14T07:03:10.000000,(59.17324113030406-122.03691096474344j),(-136.54606531682006+2.469255622298008j),(78.09337235248715+118.9493502070377j)
2024-11-14T07:03:20.000000,(58.565762830524406-122.72777941739228j),(-136.58179864820818+3.084480134734773j),(78.56550037081797+118.94390642424916j)
2024-11-14T07:03:30.000000,(58.68529799877519-122.30402887471962j),(-136.55954034384607+2.881150868660882j),(78.3324271882874+118.8342714899313j)
2024-11-14T07:03:40.000000,(58.83752161632634-122.28997264080422j),(-136.64463424697425+2.6838945125247697j),(78.42654390397362+118.9575149979351j)
2024-11-14T07:03:50.000000,(58.57073640975491-122.55035476202623j),(-136.64221241527636+3.1219463979750337j),(78.59861970273029+118.77618819610714j)
2024-11-14T07:04:00.000000,(58.57532753793724-122.42147083079014j),(-136.616606168128+3.323694524370662j),(78.75274826457886+118.6000989653443j)
2024-11-14T07:04:10.000000,(58.75571763044002-122.63054626079301j),(-136.57061622265425+3.2126628668204225j),(78.52647856299056+118.86659981516888j)
2024-11-14T07:04:20.000000,(58.30568532080893-122.70405663661595j),(-136.61228540940823+3.683317486050192j),(78.97042588356764+118.57148223244269j)
2024-11-14T07:04:30.000000,(58.64943559492024-122.37852203177285j),(-136.60993219954125+2.952804323449396j),(78.4299849993369+118.79367228213674j)
2024-11-14T07:04:50.000000,(58.159964144669985-122.77068391711322j),(-136.67502771592652+3.7347048228431996j),(79.12931858022182+118.34651886525833j)
2024-11-14T07:05:00.000000,(58.91258011729449-122.29704612803813j),(-136.58119377377315+2.81261412824372j),(78.1517430650265+118.99156723686158j)
