t,a,b,c,n
2024-11-14T07:00:00.000000,(3.777636847380294+9.31372808332961j),(4.194386488192791-11.815183601831032j),(-8.15897073664553+3.160372766161666j),(6.551242177951555e-13+5.059645832784971e-13j)
2024-11-14T07:00:20.000000,(4.652727251570578+5.810506263058328j),(0.7207946542558706-10.775910624644542j),(-5.881969725956733+4.650757347100318j),(3.9349332118362637e-13-7.292295104618028e-13j)
2024-11-14T07:00:50.000000,(3.830728406950635+14.617070813838154j),(8.078848975633779-13.749000294518902j),(-12.112932075666727+0.5741362834349113j),(1.9702526719782475e-13-1.329387609401682e-13j)
2024-11-14T07:01:10.000000,(3.8416257594717154+3.3363574745907734j),(0.7207972694579613-8.568713397586073j),(-4.416200503175064+5.445687253491387j),(-1.3935757811784026e-13+6.031329614745118e-13j)
2024-11-14T07:01:20.000000,(3.327189586426014+4.206105651074365j),(1.3476154650846435-9.74168255872956j),(-4.534036530503196+5.942426512581098j),(4.620032210797037e-14+5.054372803152583e-13j)
2024-11-14T07:01:40.000000,(4.249393210578036+10.09782207651361j),(4.26114806699754-12.079988161853075j),(-8.468096929749862+2.364392996075416j),(5.063301155876774e-13-3.0802880648578854e-14j)
2024-11-14T07:01:50.000000,(3.4993806225278563+10.201877647608915j),(3.8939106743452787-11.967682199583978j),(-7.797353054320018+3.3658496872686863j),(1.7220735860934554e-13+6.594535415373806e-13j)
2024-11-14T07:02:10.000000,(4.711362756141048+8.021984036173313j),(4.470458671171421-11.724448380177167j),(-10.519256549644346+4.912087656744082j),(2.036057739801577e-13+1.7198706404493274e-14j)
2024-11-14T07:02:20.000000,(3.642026756451573+11.243305679354654j),(5.531985309661262-12.566382634541139j),(-9.026442310680766+1.9893183215425085j),(-6.859804199540534e-13-1.9946263693457946e-13j)
2024-11-14T07:02:30.000000,(4.333430643269803+5.919469587451489j),(4.050540881237846-10.030485641398615j),(-9.386966170851435+4.531275243140591j),(2.465827232551349e-13-2.2862991144257303e-13j)
2024-11-14T07:02:50.000000,(4.245687762628688+7.270623297280708j),(2.625290232387154-10.433178524206467j),(-7.686174189794502+4.781720020513326j),(-7.375175243834624e-13-1.1773423699073005e-13j)
2024-11-14T07:03:00.000000,(4.012631431335498+5.135398473222021j),(1.0032268779242064-10.209305269115216j),(-5.191705916312344+5.85494678532618j),(-3.907767998751578e-14+4.4791115462153453e-13j)
2024-11-14T07:03:20.000000,(4.090508467756548+5.404416295696009j),(0.5551793716069459-9.971912475491509j),(-5.613565504986678+5.192067004212988j),(1.5802533814581858e-13+3.584907404634029e-14j)
2024-11-14T07:03:30.000000,(4.244181587953895+6.813075711733355j),(1.5935526139306795-10.308754598385347j),(-7.1487588658690235+5.151941290811403j),(3.0631881643801865e-13-6.894056673319771e-13j)
2024-11-14T07:03:40.000000,(2.516819340526022+11.853590871230852j),(5.6361226441343515-12.753613883372399j),(-8.938851923160312+1.9920991496924854j),(1.088769111845126e-12+9.40639464101163e-13j)
2024-11-14T07:04:00.000000,(4.38568758606864+5.018165632323717j),(2.5396367569654394-9.993646843107607j),(-7.696313770772639+4.368391655928085j),(4.1660245661710296e-13+7.430004119472545e-13j)
2024-11-14T07:04:10.000000,(4.264359972436871+7.933804010538405j),(3.1794558921455227-10.721021735820884j),(-8.95543582099897+3.2672277846348647j),(1.0244332391815016e-13-9.742387610459726e-14j)
2024-11-14T07:04:20.000000,(4.375388974901532+12.34422142508296j),(8.1668691300943-13.907155583671994j),(-14.029734307691532+1.5598462568000004j),(9.047697161746045e-13+6.548050323572284e-13j)
2024-11-14T07:04:30.000000,(5.191348793107485+5.578210223285143j),(1.7450032012849945-10.38971622032287j),(-8.261387399473426+5.092809167243062j),(-2.7935838289557496e-13+1.113936852267632e-13j)
2024-11-14T07:04:50.000000,(4.060518234891799+4.364529447498766j),(2.183836071343925-9.507294772217977j),(-7.549725375454594+5.382287739810618j),(-5.622287700973092e-13+1.070708958393219e-13j)
2024-11-14T07:05:00.000000,(3.7529687622549033+3.802091722755301j),(1.9532854354278204-8.950575738864025j),(-5.870718442429177+5.591454548712218j),(2.408852611549845e-13-8.636217196415848e-13j)
