t,a,b,c
2024-11-14T07:00:00.000000,(20.1475433622866-8.559183299942882j),(-18.722970457770863-11.335738168251048j),(-1.4245729045156719+19.894921468194003j)
2024-11-14T07:00:20.000000,(19.308341975933182-7.846607671664316j),(-17.644682211665444-12.160880503874239j),(-1.6636597642677549+20.00748817553856j)
2024-11-14T07:00:30.000000,(20.07673166694402-9.011058945088282j),(-19.026312933413266-10.780071018268353j),(-1.0504187335307615+19.79112996335657j)
2024-11-14T07:00:50.000000,(19.841571440234837-8.572347603867996j),(-18.540022017727303-11.040016865775891j),(-1.301549422507521+19.61236446964388j)
2024-11-14T07:01:00.000000,(19.929420028083264-8.654192211903888j),(-18.520714652035075-11.015226419313542j),(-1.4087053760483064+19.66941863121743j)
2024-11-14T07:01:10.000000,(19.801629572313345-8.380195540403877j),(-18.349796427947634-11.050215851774471j),(-1.4518331443657946+19.43041139217835j)
2024-11-14T07:01:20.000000,(20.036836022751814-8.547267791306494j),(-18.719468396921332-11.081044621141015j),(-1.3173676258303697+19.628312412447514j)
2024-11-14T07:01:40.000000,(19.630018223611444-8.448000296518357j),(-18.3926664543248-10.66846103032008j),(-1.2373517692867593+19.11646132683839j)
2024-11-14T07:01:50.000000,(19.922356778774336-8.689804782472837j),(-18.801927531368783-10.872385679605017j),(-1.1204292474055857+19.562190462077936j)
2024-11-14T07:02:20.000000,(19.838808187203227-8.235310275764258j),(-18.44509214052801-11.975470525377697j),(-1.3937160466752188+20.210780801141947j)
2024-11-14T07:02:30.000000,(19.893970101859143-8.48298327110777j),(-18.553747872879935-10.929687807127092j),(-1.3402222289791086+19.412671078234922j)
2024-11-14T07:02:50.000000,(19.158812351968525-8.24620888120187j),(-18.012546994645948-11.554736936606648j),(-1.1462653573225559+19.800945817808525j)
2024-11-14T07:03:00.000000,(19.78093709605076-8.680923070418467j),(-18.60323944610463-10.717115174494884j),(-1.1776976499461216+19.398038244913362j)
2024-11-14T07:03:10.000000,(19.878836681662857-7.8049107517634955j),(-18.077428452938964-11.927260265790544j),(-1.8014082287239241+19.732171017554037j)
2024-11-14T07:03:20.000000,(19.91534427667377-8.565961727614233j),(-18.642033283698016-11.019551688109203j),(-1.2733109929756306+19.585513415723433j)
2024-11-14T07:03:30.000000,(19.722789899638574-8.528183090402957j),(-18.46620273145828-10.749155925915407j),(-1.256587168180182+19.277339016318386j)
2024-11-14T07:03:40.000000,(19.772994787995405-8.943394924141256j),(-18.79685773890531-10.450188939661425j),(-0.9761370490901631+19.393583863802675j)
2024-11-14T07:03:50.000000,(19.721078030895328-8.469746877412106j),(-18.417990355876196-10.697747128497952j),(-1.3030876750190727+19.167494005910136j)
2024-11-14T07:04:00.000000,(19.607649562453616-8.20193766170796j),(-18.238231380831436-10.67394307065789j),(-1.3694181816221325+18.875880732366006j)
2024-11-14T07:04:10.000000,(19.292138023043446-8.159230176399042j),(-17.996753255498422-11.729501651101979j),(-1.2953847675448857+19.888731827501047j)
2024-11-14T07:04:20.000000,(19.67806513109213-8.589140554434854j),(-18.478968361409372-10.70312624006196j),(-1.1990967696828545+19.29226679449678j)
2024-11-14T07:04:30.000000,(19.41637244750849-8.69642131079578j),(-18.504637166122343-11.05522338928651j),(-0.9117352813860483+19.751644700082366j)
2024-11-14T07:05:00.000000,(19.9058674130015-8.425673694151108j),(-18.640794534131857-11.094924424491547j),(-1.2650728788695746+19.52059811864265j)
