t,a,b,c
2024-11-14T07:00:00.000000,(9720.108-201.45462j),(-5126.8936-8338.157j),(-4714.6855+8585.297j)
2024-11-14T07:00:20.000000,(9721.232-226.4688j),(-5145.119-8324.082j),(-4692.3745+8599.379j)
2024-11-14T07:00:30.000000,(9717.8955-250.00876j),(-5144.7456-8319.084j),(-4667.906+8607.62j)
2024-11-14T07:00:50.000000,(9719.82-230.50885j),(-5131.5264-8324.513j),(-4688.559+8598.32j)
2024-11-14T07:01:00.000000,(9718.259-255.85863j),(-5155.6626-8312.127j),(-4658.0537+8616.423j)
2024-11-14T07:01:10.000000,(9720.25-246.12099j),(-5142.1426-8323.51j),(-4674.699+8608.891j)
2024-11-14T07:01:20.000000,(9720.776-244.77101j),(-5148.0874-8317.754j),(-4681.396+8604.687j)
2024-11-14T07:01:40.000000,(9714.781-258.21384j),(-5154.704-8309.548j),(-4655.398+8612.061j)
2024-11-14T07:01:50.000000,(9718.849-244.67017j),(-5140.536-8321.535j),(-4677.961+8603.691j)
2024-11-14T07:02:10.000000,(9722.369-230.35942j),(-5133.217-8331.006j),(-4687.112+8602.904j)
2024-11-14T07:02:20.000000,(9717.416-180.22937j),(-5095.9414-8349.016j),(-4736.9966+8565.984j)
2024-11-14T07:02:30.000000,(9726.725-236.88713j),(-5142.694-8329.745j),(-4689.04+8604.67j)
2024-11-14T07:02:50.000000,(9724.878-258.9011j),(-5164.1274-8317.683j),(-4667.2876+8619.091j)
2024-11-14T07:03:00.000000,(9724.745-239.61774j),(-5149.917-8327.03j),(-4682.8394+8613.909j)
2024-11-14T07:03:10.000000,(9724.298-255.824j),(-5158.5444-8315.982j),(-4666.678+8617.417j)
2024-11-14T07:03:20.000000,(9720.88-284.58774j),(-5183.311-8301.467j),(-4653.6206+8621.603j)
2024-11-14T07:03:30.000000,(9718.929-232.26045j),(-5137.571-8324.336j),(-4690.5527+8593.966j)
2024-11-14T07:03:40.000000,(9721.686-236.80379j),(-5141.6367-8323.022j),(-4690.1865+8600.208j)
2024-11-14T07:03:50.000000,(9724.229-238.03204j),(-5151.0527-8325.504j),(-4683.7646+8605.743j)
2024-11-14T07:04:00.000000,(9724.904-251.227j),(-5157.283-8319.782j),(-4677.433+8610.89j)
2024-11-14T07:04:10.000000,(9724.762-248.60854j),(-5156.0483-8319.437j),(-4671.2207+8616.441j)
2024-11-14T07:04:20.000000,(9723.779-287.32452j),(-5187.7705-8301.976j),(-4650.2793+8627.377j)
2024-11-14T07:04:30.000000,(9731.173-254.93866j),(-5167.016-8321.909j),(-4681.948+8611.835j)
2024-11-14T07:04:50.000000,(9729.359-307.48233j),(-5213.1-8287.81j),(-4618.8936+8651.028j)
2024-11-14T07:05:00.000000,(9727.629-205.73383j),(-5115.1055-8347.539j),(-4720.0444+8592.198j)
