t,a,b,c
2024-11-14T07:00:00.000000,(2.6037903e-08+4.1386556e-09j),(6.3209455e-08+6.783544e-08j),(6.7128866e-08+1.5434694e-09j)
2024-11-14T07:00:20.000000,(-6.1078254e-11+5.8001433e-08j),(1.8959014e-08+4.406879e-08j),(5.239002e-09-1.0543886e-09j)
2024-11-14T07:00:30.000000,(6.649284e-08-2.964586e-08j),(-4.4324707e-08-1.09557554e-07j),(3.8093333e-08-5.013021e-10j)
2024-11-14T07:00:50.000000,(2.936639e-08-9.671879e-09j),(9.1486044e-08-1.7407146e-07j),(1.0211181e-08+7.7028517e-10j)
2024-11-14T07:01:00.000000,(7.0780025e-08-1.4133519e-08j),(2.2414014e-08-3.0617286e-11j),(-1.8076597e-07-2.0150992e-11j)
2024-11-14T07:01:10.000000,(1.19015645e-07+6.634343e-08j),(2.0459623e-08-1.0528474e-08j),(-8.2689496e-08+1.0335555e-09j)
2024-11-14T07:01:20.000000,(-1.7047626e-09-4.744851e-08j),(-3.367927e-08+4.7822198e-08j),(-3.1994887e-09+9.900987e-10j)
2024-11-14T07:01:40.000000,(2.3082762e-09+1.5492759e-08j),(-7.88238e-08+5.1654588e-08j),(4.645463e-08-7.503331e-11j)
2024-11-14T07:01:50.000000,(7.331247e-08-2.1288855e-08j),(7.6546655e-08+9.907652e-09j),(-8.940131e-08+1.12976295e-10j)
2024-11-14T07:02:10.000000,(-1.627955e-08+1.2234972e-07j),(-2.174309e-08-6.427703e-08j),(-2.0306118e-08+7.5689854e-10j)
2024-11-14T07:02:20.000000,(-2.310447e-08-5.991194e-08j),(1.2815036e-08-5.753425e-08j),(-1.14953906e-07-1.6668196e-09j)
2024-11-14T07:02:30.000000,(1.9451882e-08-5.4227485e-09j),(5.164975e-08-9.0176854e-08j),(-1.0681873e-08+2.2710935e-09j)
2024-11-14T07:02:50.000000,(-3.4704655e-08+1.405048e-07j),(-1.1049224e-08-5.224821e-08j),(-1.4912521e-07+1.1742145e-09j)
2024-11-14T07:03:00.000000,(4.100027e-08+5.1336514e-08j),(5.4517244e-08-2.0120375e-07j),(-1.5126034e-09-3.860805e-10j)
2024-11-14T07:03:10.000000,(4.925937e-09-1.0134386e-08j),(-2.2251669e-08-1.0915208e-07j),(1.0516641e-07+1.4658212e-09j)
2024-11-14T07:03:20.000000,(1.7063378e-08+1.4253087e-07j),(1.0427755e-08-3.2824445e-08j),(2.741902e-08-7.9432994e-10j)
2024-11-14T07:03:30.000000,(8.3288576e-08+5.161155e-08j),(2.9498466e-08-9.946927e-08j),(-1.0153323e-07+8.999166e-10j)
2024-11-14T07:03:40.000000,(6.8772664e-08-2.1563721e-08j),(3.9087098e-08-1.5129835e-08j),(-5.078624e-08+1.4878481e-09j)
2024-11-14T07:03:50.000000,(-2.4782537e-08+1.8573104e-08j),(-2.2925803e-09-2.5253527e-08j),(1.3068544e-07-1.3470469e-09j)
2024-11-14T07:04:00.000000,(1.372257e-08-1.3013545e-07j),(6.71389e-09-1.2817178e-07j),(6.360014e-08+1.967578e-09j)
2024-11-14T07:04:10.000000,(1.17237846e-07+1.7965931e-08j),(6.181793e-08-5.7258667e-08j),(-1.3938714e-07-6.849632e-11j)
2024-11-14T07:04:20.000000,(-3.5667746e-08-5.0601443e-08j),(5.4183857e-08-5.0464273e-08j),(-1.0102855e-07+2.2494646e-09j)
2024-11-14T07:04:30.000000,(7.462525e-08-1.4124936e-08j),(7.2969726e-08-4.6021498e-09j),(4.0463988e-10+8.2943075e-10j)
2024-11-14T07:04:50.000000,(1.6579605e-08+7.87322e-08j),(3.9177394e-08-1.7891047e-08j),(-3.427843e-08+2.4328983e-09j)
2024-11-14T07:05:00.000000,(4.1679897e-08+3.5747547e-08j),(3.8839232e-08-5.264686e-08j),(9.013283e-08+8.8533625e-11j)
2024-11-14T07:05:10.000000,(6.5137584e-10+7.7082404e-08j),(-1.1577555e-08+2.2497076e-08j),(-4.3497295e-08-1.2391865e-11j)
2024-11-14T07:05:20.000000,(1.5202127e-07-2.9892135e-08j),(9.9034e-08+4.6638156e-08j),(-1.00203835e-07+1.0890346e-09j)
2024-11-14T07:05:30.000000,(5.448122e-08-1.4954168e-08j),(1.8254724e-08-5.489806e-08j),(4.8435396e-08+2.403425e-09j)
2024-11-14T07:05:40.000000,(7.233015e-08+8.93028e-08j),(5.8661016e-08+8.006218e-08j),(-1.1047399e-07+6.6606276e-10j)
2024-11-14T07:05:50.000000,(7.299093e-09+5.855412e-09j),(7.156052e-08-1.34380755e-08j),(-1.6102669e-07-3.6777692e-11j)
2024-11-14T07:06:10.000000,(-1.8609647e-08+8.426272e-08j),(-9.08301e-10+6.931852e-08j),(-5.9587506e-08+1.6050308e-09j)
2024-11-14T07:06:20.000000,(-3.5715004e-09+4.3850918e-08j),(4.9441724e-08-5.261507e-08j),(-4.3985125e-08-2.0196467e-10j)
2024-11-14T07:06:30.000000,(8.119194e-09+5.8328112e-08j),(-2.0811768e-08-3.762129e-08j),(-1.2222662e-07-3.9611336e-10j)
2024-11-14T07:06:50.000000,(3.4319854e-09-1.0311993e-08j),(4.5096414e-08-1.1333858e-07j),(1.4158388e-08-1.5245121e-09j)
2024-11-14T07:07:00.000000,(7.00232e-08+1.1588881e-07j),(9.391613e-09-1.0351004e-07j),(-1.6919898e-07+1.5598118e-09j)
2024-11-14T07:07:10.000000,(4.876737e-08-4.5950515e-09j),(-4.68998e-09-2.0824046e-08j),(-3.61388e-08+2.046363e-12j)
2024-11-14T07:07:30.000000,(8.123832e-08-6.539187e-08j),(1.6076854e-08+1.4447664e-08j),(5.815346e-08+1.5878356e-09j)
2024-11-14T07:07:40.000000,(3.62583e-08+7.77421e-08j),(-7.377224e-09-7.019159e-08j),(-1.48644e-07+1.5380692e-09j)
2024-11-14T07:07:50.000000,(9.9664135e-09+3.9435776e-08j),(2.9440912e-09-5.962864e-08j),(-9.738568e-08+5.648815e-10j)
