t,a,b,c
2024-11-14T07:00:00.000000,(1206.6217-711.54144j),(-1221.5256-690.0988j),(14.903982+1401.6403j)
2024-11-14T07:00:20.000000,(1204.7489-714.77637j),(-1223.032-686.92975j),(18.283123+1401.706j)
2024-11-14T07:00:30.000000,(1202.4823-717.32214j),(-1222.7087-684.6059j),(20.226496+1401.9281j)
2024-11-14T07:00:50.000000,(1204.38-714.92633j),(-1221.8734-686.5842j),(17.493458+1401.5106j)
2024-11-14T07:01:00.000000,(1201.7108-718.7883j),(-1223.8114-683.44165j),(22.100653+1402.23j)
2024-11-14T07:01:10.000000,(1203.158-717.2817j),(-1222.7462-685.2426j),(19.58829+1402.5243j)
2024-11-14T07:01:20.000000,(1203.9016-716.84j),(-1223.3926-684.888j),(19.490973+1401.728j)
2024-11-14T07:01:40.000000,(1201.4344-718.6259j),(-1223.5204-683.22577j),(22.085878+1401.8517j)
2024-11-14T07:01:50.000000,(1203.3112-716.68396j),(-1222.3988-685.26117j),(19.087704+1401.9451j)
2024-11-14T07:02:10.000000,(1204.4886-715.41656j),(-1222.1761-687.3115j),(17.687475+1402.728j)
2024-11-14T07:02:20.000000,(1208.0764-707.9822j),(-1218.512-692.92993j),(10.435578+1400.9121j)
2024-11-14T07:02:30.000000,(1205.0538-716.0374j),(-1223.3595-686.6785j),(18.305742+1402.716j)
2024-11-14T07:02:50.000000,(1202.8385-718.78815j),(-1224.5798-683.9086j),(21.741364+1402.6968j)
2024-11-14T07:03:00.000000,(1204.1757-716.98865j),(-1223.5177-686.1551j),(19.342117+1403.1437j)
2024-11-14T07:03:10.000000,(1202.8655-718.75336j),(-1224.3203-683.9221j),(21.454887+1402.6755j)
2024-11-14T07:03:20.000000,(1201.5662-721.48975j),(-1226.1163-680.3653j),(24.550106+1401.8551j)
2024-11-14T07:03:30.000000,(1204.3859-714.69116j),(-1221.9752-686.60236j),(17.589327+1401.2935j)
2024-11-14T07:03:40.000000,(1204.5739-715.57263j),(-1222.4623-686.04443j),(17.888437+1401.6171j)
2024-11-14T07:03:50.000000,(1204.3049-716.1767j),(-1223.6025-686.09735j),(19.297602+1402.274j)
2024-11-14T07:04:00.000000,(1203.8477-717.77966j),(-1224.2504-684.5217j),(20.402718+1402.3014j)
2024-11-14T07:04:10.000000,(1203.385-718.11664j),(-1224.2174-684.7483j),(20.832445+1402.8649j)
2024-11-14T07:04:20.000000,(1201.5658-722.2432j),(-1226.8287-680.10944j),(25.262957+1402.3527j)
2024-11-14T07:04:30.000000,(1204.8167-718.17267j),(-1225.6096-684.4205j),(20.793026+1402.5931j)
2024-11-14T07:04:50.000000,(1199.4781-725.8532j),(-1229.4016-677.3937j),(29.92346+1403.2468j)
2024-11-14T07:05:00.000000,(1207.4225-712.2849j),(-1220.6313-690.7695j),(13.208863+1403.0543j)
