t,a,b,c
2024-11-14T07:00:00.000000,(-1187812.1-6881469j),(-5571377+4497059.5j),(6759189.5+2384409.2j)
2024-11-14T07:00:20.000000,(-1626902.8-6611166.5j),(-5109069.5+4703820.5j),(6735972.5+1907346.2j)
2024-11-14T07:00:30.000000,(-1593964.6-6795657.5j),(-5206915.5+4680389.5j),(6800880.5+2115267.8j)
2024-11-14T07:00:50.000000,(-2295162.8-6212864.5j),(-4554200.5+5037076.5j),(6849363.5+1175788.2j)
2024-11-14T07:01:00.000000,(-1584217.4-6555241j),(-5179168+4653994j),(6763385.5+1901246.6j)
2024-11-14T07:01:10.000000,(-1402430.6-6747763j),(-5363835.5+4494491j),(6766266.5+2253272j)
2024-11-14T07:01:20.000000,(-1474741.8-6631565.5j),(-5302056+4612723.5j),(6776797.5+2018842.5j)
2024-11-14T07:01:40.000000,(-1156373.2-6831040.5j),(-5636584+4433749j),(6792957+2397291.5j)
2024-11-14T07:01:50.000000,(-1312181.5-6830464j),(-5344734.5+4615945j),(6656916+2214519j)
2024-11-14T07:02:10.000000,(-1381758.2-6733772.5j),(-5362254+4512617.5j),(6744012.5+2221155j)
2024-11-14T07:02:20.000000,(-1407125.2-6705965j),(-5203400.5+4742897j),(6610526+1963067.8j)
2024-11-14T07:02:30.000000,(-1581927.9-6746219j),(-5138710.5+4645073.5j),(6720638.5+2101145.2j)
2024-11-14T07:02:50.000000,(-1222438.2-6927573j),(-5569942+4460350.5j),(6792380.5+2467222.8j)
2024-11-14T07:03:00.000000,(-1384033.9-6686449.5j),(-5274067.5+4656153.5j),(6658101.5+2030296.2j)
2024-11-14T07:03:10.000000,(-1451464.8-6585743j),(-5318807.5+4576872j),(6770272+2008870.9j)
2024-11-14T07:03:20.000000,(-1573819.8-6541054.5j),(-5103236.5+4634544j),(6677056+1906510.6j)
2024-11-14T07:03:30.000000,(-1343255.2-6704388.5j),(-5281589.5+4514021.5j),(6624845+2190366.5j)
2024-11-14T07:03:40.000000,(-1542838.1-6577032.5j),(-5104018+4580696.5j),(6646856+1996336j)
2024-11-14T07:03:50.000000,(-2406032.5-6088732.5j),(-4264835+5041112.5j),(6670867.5+1047620.25j)
2024-11-14T07:04:00.000000,(-1493838.4-6715192.5j),(-5252747+4588362.5j),(6746585+2126830j)
2024-11-14T07:04:10.000000,(-1553900.4-6535288.5j),(-5216327+4617377j),(6770227.5+1917911.5j)
2024-11-14T07:04:20.000000,(-1317021.4-6685127.5j),(-5411833.5+4501769.5j),(6728855+2183358.2j)
2024-11-14T07:04:30.000000,(-1641616.9-6458720j),(-5007291+4725671j),(6648908+1733049j)
2024-11-14T07:04:50.000000,(-1738111.4-6432992.5j),(-4906886+4719701j),(6644997.5+1713291.2j)
2024-11-14T07:05:00.000000,(-1236308.6-6721010j),(-5438112.5+4375341.5j),(6674421+2345668.5j)
2024-11-14T08:00:00.000000,(-989308.06-6789497j),(-5598645.5+4339584j),(6587954+2449913.2j)
2024-11-14T08:00:10.000000,(139223.12-7451286.5j),(-6609987.5+3850650.8j),(6470764+3600636j)
2024-11-14T08:00:20.000000,(-1029365.75-6728818j),(-5475381+4545677.5j),(6504746.5+2183140.8j)
2024-11-14T08:00:30.000000,(-579224.7-7033158j),(-6013630.5+4302433j),(6592855.5+2730724.8j)
2024-11-14T08:00:50.000000,(-1230565.2-6682187j),(-5300392+4735232j),(6530957+1946955.1j)
2024-11-14T08:01:00.000000,(-1045813.4-6333137j),(-4929451+4258523.5j),(5975264.5+2074613.4j)
2024-11-14T08:01:20.000000,(-1291705.4-6599496j),(-5180693+4616098.5j),(6472398+1983397.5j)
2024-11-14T08:01:30.000000,(-1027694.06-6761103j),(-5459634.5+4592064.5j),(6487328.5+2169038.8j)
2024-11-14T08:01:50.000000,(-973014.9-6827006.5j),(-5482639.5+4506550j),(6455654+2320456.2j)
2024-11-14T08:02:00.000000,(-1267644.5-6694976.5j),(-5285316.5+4446380j),(6552961+2248596.2j)
2024-11-14T08:02:10.000000,(-836342.56-6754519.5j),(-5754754+4290255j),(6591096.5+2464264.8j)
2024-11-14T08:02:30.000000,(-1471455.5-6408267.5j),(-5076080.5+4721272.5j),(6547536+1686994.9j)
2024-11-14T08:02:40.000000,(-1319155.2-6544584.5j),(-5147443.5+4636664j),(6466599+1907920.9j)
2024-11-14T08:02:50.000000,(-1277879.4-6531659j),(-5252713.5+4635053.5j),(6530593+1896605.1j)
2024-11-14T08:03:00.000000,(-1097500.2-6755137.5j),(-5424380+4490507j),(6521880.5+2264630.5j)
2024-11-14T08:03:30.000000,(-734398.56-6981071.5j),(-5922380.5+4299874j),(6656779+2681197.5j)
2024-11-14T08:03:40.000000,(-1572101.8-6553501j),(-5002162+4825198.5j),(6574263.5+1728302.4j)
2024-11-14T08:03:50.000000,(-1388297.6-6602034j),(-5120400+4740383.5j),(6508697.5+1861650.6j)
2024-11-14T08:04:00.000000,(-1311775.1-6680782j),(-5285337.5+4552862j),(6597112.5+2127919.8j)
2024-11-14T08:04:10.000000,(-1139844-6757783j),(-5323553+4545594.5j),(6463397+2212188.5j)
2024-11-14T08:04:20.000000,(-1076320.2-6759740j),(-5428510+4464354.5j),(6504830.5+2295385.5j)
2024-11-14T08:04:40.000000,(-1162746-6730151j),(-5346802.5+4603116j),(6509548.5+2127034.8j)
2024-11-14T08:04:50.000000,(-1647798.4-6498803.5j),(-4833218+4749375j),(6481016.5+1749428.4j)
2024-11-14T08:05:00.000000,(-1334073-6690642.5j),(-5159326+4565344j),(6493399+2125298.5j)
2024-11-14T09:00:00.000000,(-1465141-6745548j),(-5292882+4631356j),(6758023+2114192.5j)
2024-11-14T09:00:10.000000,(-1656967.2-6640808.5j),(-5175691.5+4684734.5j),(6832659+1956073.6j)
2024-11-14T09:00:20.000000,(-1467209-6759826j),(-5423331+4702967j),(6890540+2056859.1j)
2024-11-14T09:00:40.000000,(-1536729.4-6697206.5j),(-5257738+4643185j),(6794467+2054021.5j)
2024-11-14T09:00:50.000000,(-1493060-6771139.5j),(-5250933+4659505.5j),(6743993+2111633.8j)
2024-11-14T09:01:00.000000,(-1460396.6-6727232.5j),(-5286053.5+4717527j),(6746450+2009705.2j)
2024-11-14T09:01:10.000000,(-1077114.1-6923538j),(-5684603.5+4559503j),(6761717.5+2364035.2j)
2024-11-14T09:01:20.000000,(-1455802.5-6825269.5j),(-5381776.5+4600369.5j),(6837579+2224899.8j)
2024-11-14T09:01:30.000000,(-1542348.1-6739761j),(-5294602.5+4695591.5j),(6836950.5+2044169.6j)
2024-11-14T09:01:40.000000,(-1592186.6-6696993.5j),(-5216904+4762935j),(6809090.5+1934058.5j)
2024-11-14T09:01:50.000000,(-1446829.8-6736081.5j),(-5379454+4610777j),(6826284+2125304.2j)
2024-11-14T09:02:00.000000,(-1553891.8-6725831j),(-5291030.5+4670758.5j),(6844922+2055072.6j)
2024-11-14T09:02:10.000000,(-1227540.2-6843651j),(-5598267+4470488j),(6825807.5+2373163.2j)
2024-11-14T09:02:20.000000,(-1740380.9-6677608j),(-5007917.5+4808582.5j),(6748298.5+1869025.4j)
2024-11-14T09:02:30.000000,(-1785922.5-6539788.5j),(-4902335.5+4924807j),(6688258+1614981.5j)
2024-11-14T09:02:40.000000,(-1031404.2-7077607.5j),(-5696612+4443778.5j),(6728016.5+2633829j)
2024-11-14T09:02:50.000000,(-1234443.1-6864551.5j),(-5510749.5+4507462.5j),(6745192.5+2357089j)
2024-11-14T09:03:10.000000,(-1994191.5-6455449.5j),(-4768059.5+4901780.5j),(6762251+1553669.1j)
2024-11-14T09:03:20.000000,(-1258734.9-6900357.5j),(-5489582.5+4568419j),(6748317+2331938.8j)
2024-11-14T09:03:30.000000,(-1525262.9-6681706j),(-5134056+4710237j),(6659319+1971469.2j)
2024-11-14T09:03:40.000000,(-1774217-6489539.5j),(-4886179+4774896.5j),(6660396+1714642.9j)
2024-11-14T09:03:50.000000,(-1444392.8-6677332j),(-5227135.5+4590500.5j),(6671528.5+2086831.6j)
2024-11-14T09:04:00.000000,(-1499246.4-6665933.5j),(-5245181+4581930j),(6744427+2084003.5j)
2024-11-14T09:04:10.000000,(-1544355.5-6673968j),(-5192763.5+4702846.5j),(6737119+1971121.4j)
2024-11-14T09:04:20.000000,(-1539347.4-6694557j),(-5295821.5+4625272.5j),(6835168.5+2069284j)
2024-11-14T09:04:30.000000,(-1595811.1-6701684.5j),(-5254303.5+4752272.5j),(6850114.5+1949411.6j)
2024-11-14T09:04:40.000000,(-1522233-6706373j),(-5318004.5+4705361.5j),(6840237.5+2001011.9j)
2024-11-14T09:04:50.000000,(-1425798.6-6752979.5j),(-5305323.5+4647405.5j),(6731122+2105574.2j)
2024-11-14T09:05:00.000000,(-1237578.6-6811932.5j),(-5563926+4484224j),(6801504.5+2327708.5j)
2024-11-14T10:00:00.000000,(-1288280.1-6818805.5j),(-5309751+4600214j),(6598031+2218591.8j)
