t,a,b,c
2024-11-14T07:00:00.000000,(-1.0205122e-08-1.5988356e-08j),(-1.0991215e-08+1.5641458e-08j),(2.4981226e-08-3.6822456e-10j)
2024-11-14T07:00:20.000000,(-7.438274e-09-2.3363356e-08j),(-1.0119692e-08+2.2935394e-08j),(3.662902e-08-2.7024072e-10j)
2024-11-14T07:00:30.000000,(-1.3972592e-08-2.143301e-08j),(-1.5157916e-08+4.981745e-09j),(3.1627174e-08-1.0527401e-10j)
2024-11-14T07:00:50.000000,(-6.9268395e-09-8.1359275e-10j),(-1.0368865e-08+2.850389e-08j),(2.4569072e-08-2.5195845e-10j)
2024-11-14T07:01:00.000000,(-8.747509e-09-2.2482205e-08j),(-6.201738e-09+2.3593149e-08j),(2.647689e-08-3.513705e-10j)
2024-11-14T07:01:10.000000,(-8.317073e-09-3.2675793e-08j),(-2.9175382e-09+2.7384043e-08j),(2.9772188e-08-4.1599435e-10j)
2024-11-14T07:01:20.000000,(-4.821054e-09-1.7582664e-08j),(-7.3631057e-09+2.2665677e-08j),(1.6619559e-08-6.895107e-11j)
2024-11-14T07:01:40.000000,(-1.1420195e-08-1.949838e-08j),(-1.7038658e-08+2.5858153e-08j),(2.9983383e-08-2.1623237e-10j)
2024-11-14T07:01:50.000000,(-8.056912e-09-2.0521227e-08j),(-1.09802585e-08+2.6814115e-08j),(2.6295478e-08-5.9456085e-10j)
2024-11-14T07:02:10.000000,(-1.434195e-08-1.9427823e-08j),(-1.6976188e-08+9.124673e-09j),(2.9654135e-08-4.6954085e-10j)
2024-11-14T07:02:20.000000,(-1.3278292e-08-2.5848777e-08j),(-1.2466835e-08+3.0514173e-08j),(3.2547035e-08-1.8769697e-10j)
2024-11-14T07:02:30.000000,(-1.2719569e-08-2.4456526e-08j),(-1.3112476e-08+6.137432e-09j),(1.869343e-08-3.282139e-10j)
2024-11-14T07:02:50.000000,(-1.1984916e-08-1.5647053e-08j),(-1.4067062e-08+2.854269e-08j),(3.390731e-08-3.7580605e-10j)
2024-11-14T07:03:00.000000,(-1.4708654e-08-1.6839572e-08j),(-7.3823045e-09+8.958425e-09j),(1.8921511e-08-4.9819704e-10j)
2024-11-14T07:03:10.000000,(-1.2199148e-08-2.2090667e-08j),(-6.6718826e-09-3.3840752e-10j),(2.3226388e-08-2.3796076e-10j)
2024-11-14T07:03:20.000000,(-6.296979e-09-2.506971e-08j),(-6.254112e-09+5.017224e-09j),(2.4455765e-08-4.977423e-10j)
2024-11-14T07:03:30.000000,(-1.2512359e-08-1.8210109e-08j),(-1.7072296e-08+1.05394795e-08j),(3.2847385e-08-3.2923708e-10j)
2024-11-14T07:03:40.000000,(-1.5883309e-08-3.204297e-08j),(-1.7398875e-08+9.430207e-09j),(3.411328e-08-2.5667646e-10j)
2024-11-14T07:03:50.000000,(-1.4587876e-08-1.2079028e-08j),(-1.0239745e-08+2.983449e-08j),(2.0827954e-08-8.998313e-11j)
2024-11-14T07:04:00.000000,(-1.2908654e-08-2.6810667e-08j),(-9.084886e-09+1.3517027e-08j),(9.2992636e-10-2.8875746e-10j)
2024-11-14T07:04:10.000000,(-9.314235e-09-2.431645e-08j),(-1.25221575e-08+8.960482e-09j),(2.8232567e-08-2.1446311e-10j)
2024-11-14T07:04:20.000000,(-5.4344973e-09-1.7685899e-08j),(-1.4464376e-08+2.1506036e-08j),(2.3104487e-08-2.8455815e-10j)
2024-11-14T07:04:30.000000,(-1.0487192e-08-2.2516183e-08j),(-1.2814667e-08-4.3235016e-10j),(7.312714e-09-3.5288394e-10j)
2024-11-14T07:04:50.000000,(-2.0381226e-08-3.2795377e-08j),(-1.1263268e-08+1.857812e-08j),(1.2594793e-08-9.02169e-10j)
2024-11-14T07:05:00.000000,(-5.81743e-09-3.830356e-08j),(-1.3769629e-08+2.2823977e-08j),(3.6584627e-08-7.806733e-11j)
2024-11-14T08:00:00.000000,(265385.38-2423800.8j),(-2303670.5+1036750.94j),(2038285.1+1387049.9j)
2024-11-14T08:00:10.000000,(336533.1-2464584.8j),(-2315749.2+1031848j),(1979216.1+1432736.9j)
2024-11-14T08:00:20.000000,(207831.75-2389605j),(-2216815.2+1061945.2j),(2008983.4+1327659.6j)
2024-11-14T08:00:30.000000,(181973.23-2397970.2j),(-2193315.8+1095962.2j),(2011342.5+1302007.9j)
2024-11-14T08:00:50.000000,(170168.4-2377531.8j),(-2208081.2+1108406.2j),(2037912.9+1269125.5j)
2024-11-14T08:01:00.000000,(246434.02-2481724.5j),(-2271022.2+1053326.9j),(2024588.2+1428397.5j)
2024-11-14T08:01:20.000000,(277366.12-2461888j),(-2268956+1057196.8j),(1991589.9+1404691.2j)
2024-11-14T08:01:30.000000,(195374-2417357.2j),(-2202742+1110454.6j),(2007368+1306902.8j)
2024-11-14T08:01:50.000000,(265100.5-2461358.5j),(-2280457+1062953.4j),(2015356.5+1398405j)
2024-11-14T08:02:00.000000,(113641.58-2358215.2j),(-2151126+1100947.5j),(2037484.4+1257267.8j)
2024-11-14T08:02:10.000000,(309864.88-2434603.5j),(-2345787.8+1009699.9j),(2035922.9+1424903.6j)
2024-11-14T08:02:30.000000,(77538.84-2307566j),(-2109104.8+1165066.1j),(2031565.9+1142500j)
2024-11-14T08:02:40.000000,(165330.08-2376326j),(-2165949.8+1115759.8j),(2000619.8+1260566.2j)
2024-11-14T08:02:50.000000,(112194.766-2323713.5j),(-2136552.5+1136680.8j),(2024357.8+1187032.6j)
2024-11-14T08:03:00.000000,(205107.6-2413602.8j),(-2227044.2+1076976.1j),(2021936.8+1336626.5j)
2024-11-14T08:03:30.000000,(287069.12-2473996j),(-2348883.5+1036959.3j),(2061814.4+1437036.8j)
2024-11-14T08:03:40.000000,(103239.92-2381954.2j),(-2133236.8+1155149j),(2029996.9+1226805.2j)
2024-11-14T08:03:50.000000,(183178.17-2412701.5j),(-2190678+1130523.4j),(2007499.8+1282178.2j)
2024-11-14T08:04:00.000000,(103398.22-2380733.5j),(-2140578.8+1127574.9j),(2037180.6+1253158.8j)
2024-11-14T08:04:10.000000,(104066.38-2366941j),(-2081503.5+1136774.5j),(1977437.1+1230166.4j)
2024-11-14T08:04:20.000000,(218783.16-2419727.5j),(-2228456.5+1064638.9j),(2009673.4+1355088.5j)
2024-11-14T08:04:40.000000,(146266.28-2380779.2j),(-2146322.8+1135707.4j),(2000056.6+1245071.9j)
2024-11-14T08:04:50.000000,(110258.625-2385673.8j),(-2100915.8+1136576.5j),(1990657.1+1249097.4j)
2024-11-14T08:05:00.000000,(188895.39-2426628.5j),(-2185708+1073636.4j),(1996812.8+1352992.1j)
2024-11-14T09:00:00.000000,(99135.36-2393485.2j),(-2154139.5+1104092.5j),(2055004+1289392.6j)
2024-11-14T09:00:10.000000,(142929.23-2424339.8j),(-2242612.5+1055707.2j),(2099683.2+1368632.4j)
2024-11-14T09:00:20.000000,(74920.63-2388619j),(-2180973.8+1138217.4j),(2106053+1250401.5j)
2024-11-14T09:00:40.000000,(283582.72-2508438.5j),(-2356511.8+994910.25j),(2072928.9+1513528.2j)
2024-11-14T09:00:50.000000,(214619.67-2471661.2j),(-2300179.5+1038819.2j),(2085559.9+1432842j)
2024-11-14T09:01:00.000000,(145949.61-2414907.5j),(-2229272.8+1089447.2j),(2083323.1+1325460.2j)
2024-11-14T09:01:10.000000,(403069.5-2561314j),(-2486087.5+948431.7j),(2083018.1+1612882.4j)
2024-11-14T09:01:20.000000,(157734-2426549.2j),(-2263786.2+1045669.56j),(2106052.2+1380879.6j)
2024-11-14T09:01:30.000000,(224404.38-2494097.2j),(-2330019.8+1049766.5j),(2105615.5+1444330.6j)
2024-11-14T09:01:40.000000,(178926.27-2471851.8j),(-2272025.2+1059600.9j),(2093098.9+1412251j)
2024-11-14T09:01:50.000000,(191269.47-2455395.8j),(-2277546.5+1058798.5j),(2086277.1+1396597.1j)
2024-11-14T09:02:00.000000,(64594.152-2378909j),(-2167313.5+1100179.9j),(2102719.2+1278729.1j)
2024-11-14T09:02:10.000000,(217706.66-2456613.8j),(-2307485.5+1028385.7j),(2089778.8+1428228j)
2024-11-14T09:02:20.000000,(94258.125-2424765.5j),(-2166107+1102326.9j),(2071848.8+1322438.6j)
2024-11-14T09:02:30.000000,(69248.53-2377286.8j),(-2113886.2+1153610.8j),(2044637.6+1223676.1j)
2024-11-14T09:02:40.000000,(24960.848-2385332j),(-2083630.6+1150527.2j),(2058669.8+1234804.8j)
2024-11-14T09:02:50.000000,(208816.06-2446177.5j),(-2279796.5+1032145.1j),(2070980.5+1414032.2j)
2024-11-14T09:03:10.000000,(-71100.12-2311001.8j),(-2002602.4+1196366.4j),(2073702.5+1114635.4j)
2024-11-14T09:03:20.000000,(196437.73-2469166.5j),(-2270321.8+1071269.8j),(2073884+1397896.8j)
2024-11-14T09:03:30.000000,(109970.234-2386696.5j),(-2151370.5+1110490.4j),(2041400.2+1276206j)
2024-11-14T09:03:40.000000,(19957.387-2336686.2j),(-2062394.5+1140087.8j),(2042437.1+1196598.5j)
2024-11-14T09:03:50.000000,(157867.4-2399539.8j),(-2202775.8+1051136.2j),(2044908.4+1348403.4j)
2024-11-14T09:04:00.000000,(190143.69-2432837.5j),(-2266186+1015998.7j),(2076042.4+1416838.9j)
2024-11-14T09:04:10.000000,(94462.79-2394374.8j),(-2157553.2+1091851j),(2063090.5+1302523.8j)
2024-11-14T09:04:20.000000,(129598.27-2406752j),(-2204577.8+1079985.2j),(2074979.4+1326766.6j)
2024-11-14T09:04:30.000000,(153848.88-2425568.8j),(-2242325.5+1087194.9j),(2088476.8+1338373.9j)
2024-11-14T09:04:40.000000,(115286.91-2408181j),(-2188129.8+1097810.5j),(2072842.8+1310370.4j)
2024-11-14T09:04:50.000000,(138264.05-2394261.2j),(-2176696+1089443.5j),(2038432.1+1304817.8j)
2024-11-14T09:05:00.000000,(99245.67-2363634.8j),(-2152023.8+1108936.9j),(2052778+1254697.9j)
2024-11-14T10:00:00.000000,(163888.61-2381532.8j),(-2167200.5+1095685j),(2003311.9+1285847.8j)
2024-11-14T10:00:10.000000,(216507.84-2379391j),(-2185292+1028793.3j),(1968784+1350597.8j)
2024-11-14T10:00:20.000000,(146671.3-2348221.2j),(-2145676+1087163.4j),(1999004.6+1261057.9j)
2024-11-14T10:00:30.000000,(182082.5-2371750.5j),(-2179548.2+1076657.8j),(1997465.9+1295092.6j)
2024-11-14T10:00:50.000000,(187776.2-2414715j),(-2148143.2+1075851.5j),(1960367+1338863.4j)
2024-11-14T10:01:00.000000,(269580.6-2403068.5j),(-2233861.8+1063844.8j),(1964281.2+1339223.8j)
2024-11-14T10:01:10.000000,(246662.03-2384586j),(-2219050.2+1035337.1j),(1972388.2+1349248.9j)
2024-11-14T10:01:20.000000,(207483.42-2369033.5j),(-2213291.8+1064757.9j),(2005808.4+1304275.6j)
2024-11-14T10:01:30.000000,(317126.4-2500254.5j),(-2288058.2+1026801.94j),(1970931.9+1473452.6j)
2024-11-14T10:01:40.000000,(121997.414-2340678.2j),(-2141309.2+1093700.2j),(2019312+1246978j)
2024-11-14T10:01:50.000000,(229007.78-2445473.2j),(-2256674+1076930.2j),(2027666.2+1368543.1j)
2024-11-14T10:02:00.000000,(74160.22-2352881.5j),(-2070617.6+1142455j),(1996457.5+1210426.6j)
2024-11-14T10:02:10.000000,(-15080.702-2279352.5j),(-1966955.2+1205793j),(1982036+1073559.5j)
2024-11-14T10:02:20.000000,(116659.31-2385634.2j),(-2153793.2+1057537.2j),(2037134+1328097.1j)
2024-11-14T10:02:30.000000,(48752.47-2281245.2j),(-2066066.8+1155402.4j),(2017314.2+1125842.8j)
2024-11-14T10:02:40.000000,(279265.12-2399418.2j),(-2298060.5+1023589.8j),(2018795.4+1375828.6j)
2024-11-14T10:03:00.000000,(112322.19-2375580.8j),(-2158993.5+1043154.3j),(2046671.4+1332426.4j)
2024-11-14T10:03:10.000000,(186486.28-2419331.2j),(-2198597.8+1095178.5j),(2012111.4+1324152.8j)
2024-11-14T10:03:20.000000,(48874.066-2311372j),(-2091352.1+1174627.4j),(2042478.1+1136744.6j)
2024-11-14T10:03:40.000000,(144966.45-2373569j),(-2180943.5+1059848.6j),(2035977+1313720.2j)
2024-11-14T10:03:50.000000,(278549.03-2451695.2j),(-2305302.2+1034069.8j),(2026753.2+1417625.5j)
2024-11-14T10:04:00.000000,(293977.16-2470209.2j),(-2300426.5+1072519.8j),(2006449.2+1397689.5j)
2024-11-14T10:04:10.000000,(285043.84-2461663.8j),(-2323010.2+1032851.1j),(2037966.5+1428812.8j)
2024-11-14T10:04:30.000000,(100205.42-2346246.2j),(-2107401.8+1118419.2j),(2007196.4+1227827j)
2024-11-14T10:04:40.000000,(285595.34-2453665.5j),(-2334485.2+1010526.6j),(2048889.9+1443138.9j)
2024-11-14T10:04:50.000000,(281810.47-2475625.5j),(-2275242.5+997737.4j),(1993432+1477888.1j)
2024-11-14T10:05:00.000000,(155732.28-2375810j),(-2134077.2+1148755.8j),(1978344.9+1227054.1j)
2024-11-14T11:00:00.000000,(254341.16-2496908.8j),(-2337711+1043053.6j),(2083369.8+1453855.2j)
2024-11-14T11:00:10.000000,(121953.55-2441832.8j),(-2206968+1138268.5j),(2085014.4+1303564.2j)
2024-11-14T11:00:20.000000,(83375.125-2419493.8j),(-2158964.8+1150792.1j),(2075589.6+1268701.6j)
2024-11-14T11:00:30.000000,(86995.61-2409707.2j),(-2149965.5+1183545.5j),(2062970+1226161.9j)
2024-11-14T11:00:40.000000,(236887.55-2456513.8j),(-2331454.5+1055715.4j),(2094566.9+1400798.4j)
2024-11-14T11:00:50.000000,(40027.008-2351104.2j),(-2156775.2+1149687.1j),(2116748.2+1201417j)
2024-11-14T11:01:00.000000,(134660.53-2413068.8j),(-2239130.5+1125962j),(2104470+1287106.8j)
2024-11-14T11:01:10.000000,(134780.83-2392349j),(-2243956.5+1106034.4j),(2109175.8+1286314.6j)
2024-11-14T11:01:20.000000,(93461.15-2431863.8j),(-2200364.8+1102156.9j),(2106903.5+1329706.8j)
2024-11-14T11:01:30.000000,(69025.02-2397533j),(-2183238.5+1115372.8j),(2114213.5+1282160.2j)
2024-11-14T11:01:50.000000,(271236.6-2527476.8j),(-2340069.8+1015813.94j),(2068833.2+1511662.9j)
2024-11-14T11:02:00.000000,(283712.34-2483236.8j),(-2368176+1037237.06j),(2084463.6+1445999.5j)
2024-11-14T11:02:10.000000,(346857.25-2553325.5j),(-2436335.5+988968.94j),(2089478.2+1564356.4j)
2024-11-14T11:02:20.000000,(260129.77-2493414j),(-2323711.5+1080472.5j),(2063581.9+1412941.6j)
2024-11-14T11:02:30.000000,(166203.98-2461152j),(-2248673.2+1104691.4j),(2082469.1+1356460.5j)
2024-11-14T11:02:40.000000,(84329.44-2391555.5j),(-2207021.2+1126600.9j),(2122691.8+1264954.6j)
2024-11-14T11:02:50.000000,(177096.19-2442791.5j),(-2252370.2+1086120.2j),(2075274+1356671.2j)
2024-11-14T11:03:00.000000,(165082.38-2436703.2j),(-2212340+1125790.6j),(2047257.6+1310912.6j)
2024-11-14T11:03:10.000000,(63247.043-2411050.8j),(-2152650.8+1112706.2j),(2089403.6+1298344.5j)
2024-11-14T11:03:20.000000,(166883.73-2421130j),(-2224846.2+1109250j),(2057962.4+1311879.9j)
2024-11-14T11:03:30.000000,(14818.964-2364796.2j),(-2095024.8+1174978.9j),(2080205.8+1189817.2j)
2024-11-14T11:03:40.000000,(-39182.395-2360829j),(-2058520.9+1170749.5j),(2097703.2+1190079.6j)
2024-11-14T11:03:50.000000,(73953.18-2411372j),(-2131427+1157835.2j),(2057473.9+1253536.8j)
