t,a,b,c
2024-11-14T07:00:00.000000,(24.234353189328974+287.66519359748867j),(217.96768026740955-142.10495819036103j),(-238.6416844968409-138.55432086377073j)
2024-11-14T07:00:20.000000,(21.503351494678824+294.88755453733273j),(225.75142217700673-146.63733585469822j),(-243.02867317445873-141.264486434655j)
2024-11-14T07:00:30.000000,(21.212500203643845+295.10425971169553j),(224.55629243919768-147.65762740838244j),(-242.11220538152287-141.1860399870133j)
2024-11-14T07:00:50.000000,(20.13258619897764+297.1931846105514j),(222.13959233824662-148.7671379533538j),(-239.2646554914074-142.150151715621j)
2024-11-14T07:01:00.000000,(21.828322259511793+299.07618993939235j),(225.66296918616774-149.67582252724657j),(-243.56530104688085-142.85293254233767j)
2024-11-14T07:01:10.000000,(19.487964026779476+298.53655574811364j),(228.24778552049312-149.8967576922337j),(-244.10740630495084-142.48954662972594j)
2024-11-14T07:01:20.000000,(22.06734253645829+295.03115911541164j),(221.6601797547502-147.43924294977913j),(-240.133333121491-141.01042833487338j)
2024-11-14T07:01:40.000000,(25.641766973540587+294.2063470407758j),(217.41417835925313-145.63446674898756j),(-239.5099768121779-142.11879256819384j)
2024-11-14T07:01:50.000000,(21.49962515965256+296.2986256417979j),(225.98385409229522-146.56465677288057j),(-243.66583772720247-142.97602473904715j)
2024-11-14T07:02:10.000000,(23.848553650250857+294.7086924431742j),(222.31582453796938-145.71592305759037j),(-242.79257194165353-142.43937586812118j)
2024-11-14T07:02:20.000000,(22.542935093357066+293.90989160337153j),(220.90304156074583-144.44020253678823j),(-239.85727876966084-142.16493266431536j)
2024-11-14T07:02:30.000000,(24.452582472660698+294.19033147518314j),(219.90224569558612-146.18524836999455j),(-241.19734252878754-141.29514890304512j)
2024-11-14T07:02:50.000000,(22.238819847813367+297.63214300958373j),(228.20010284717563-148.6212846893014j),(-246.49181580621982-142.43647660046014j)
2024-11-14T07:03:00.000000,(23.221668894086463+295.5220149824019j),(223.09293241840678-146.7219059386024j),(-242.6065230338187-142.28895714012916j)
