t,a,b,c
2024-11-14T07:00:00.000000,(24.234352+287.6652j),(217.96768-142.10497j),(-238.64168-138.55432j)
2024-11-14T07:00:20.000000,(21.503351+294.88754j),(225.75142-146.63733j),(-243.02867-141.26448j)
2024-11-14T07:00:30.000000,(21.2125+295.10425j),(224.55629-147.65762j),(-242.11221-141.18604j)
2024-11-14T07:00:50.000000,(20.132586+297.19318j),(222.13959-148.76714j),(-239.26465-142.15015j)
2024-11-14T07:01:00.000000,(21.828321+299.0762j),(225.66296-149.67583j),(-243.5653-142.85294j)
2024-11-14T07:01:10.000000,(19.487963+298.53656j),(228.24779-149.89676j),(-244.1074-142.48955j)
2024-11-14T07:01:20.000000,(22.067343+295.03116j),(221.66019-147.43924j),(-240.13333-141.01042j)
2024-11-14T07:01:40.000000,(25.641766+294.20636j),(217.41418-145.63446j),(-239.50998-142.11879j)
2024-11-14T07:01:50.000000,(21.499624+296.2986j),(225.98386-146.56465j),(-243.66583-142.97603j)
2024-11-14T07:02:10.000000,(23.848553+294.70868j),(222.31583-145.71593j),(-242.79257-142.43938j)
2024-11-14T07:02:20.000000,(22.542934+293.90988j),(220.90305-144.4402j),(-239.85728-142.16493j)
2024-11-14T07:02:30.000000,(24.452581+294.19034j),(219.90225-146.18524j),(-241.19734-141.29515j)
2024-11-14T07:02:50.000000,(22.23882+297.63214j),(228.2001-148.62128j),(-246.49182-142.43648j)
2024-11-14T07:03:00.000000,(23.221668+295.522j),(223.09293-146.72191j),(-242.60652-142.28896j)
2024-11-14T07:03:10.000000,(24.428247+293.51932j),(221.06187-145.44392j),(-241.77931-141.21043j)
2024-11-14T07:03:20.000000,(23.074455+295.76447j),(223.26855-148.27089j),(-243.28-140.68674j)
2024-11-14T07:03:30.000000,(21.385403+296.97427j),(228.0181-146.62311j),(-245.91437-143.2643j)
2024-11-14T07:03:40.000000,(22.358541+299.02924j),(229.7816-147.6499j),(-248.5799-145.13194j)
2024-11-14T07:03:50.000000,(25.678593+298.53723j),(224.00735-146.47495j),(-246.13286-144.77946j)
2024-11-14T07:04:00.000000,(24.601309+297.57202j),(223.81651-146.91646j),(-245.17094-144.24348j)
2024-11-14T07:04:10.000000,(24.50712+295.90045j),(224.17618-145.69753j),(-245.1061-143.57916j)
2024-11-14T07:04:20.000000,(23.245338+295.9954j),(227.30028-147.57951j),(-247.02673-142.13963j)
2024-11-14T07:04:30.000000,(23.317219+299.05453j),(227.69905-148.54889j),(-247.7566-143.52332j)
2024-11-14T07:04:50.000000,(29.039158+302.58887j),(223.02982-153.87965j),(-248.23901-142.13936j)
2024-11-14T07:05:00.000000,(21.79878+304.29413j),(231.24666-151.88486j),(-249.59554-145.76009j)
2024-11-14T07:05:10.000000,(20.578625+297.35184j),(228.00423-148.52208j),(-245.0067-142.2169j)
2024-11-14T07:05:20.000000,(24.265522+298.89786j),(224.92451-150.47142j),(-245.67928-141.86108j)
2024-11-14T07:05:30.000000,(27.833847+297.57977j),(221.28633-148.68893j),(-245.78589-142.0208j)
2024-11-14T07:05:40.000000,(25.660297+294.8431j),(220.66528-146.42091j),(-242.9331-141.30383j)
2024-11-14T07:05:50.000000,(24.426064+295.24088j),(225.3734-148.23917j),(-245.86559-140.24577j)
2024-11-14T07:06:10.000000,(25.818363+293.76205j),(218.1626-145.98526j),(-240.85788-141.03284j)
2024-11-14T07:06:20.000000,(28.318283+295.38104j),(213.87912-146.85066j),(-238.67911-141.9994j)
2024-11-14T07:06:30.000000,(24.019121+294.81113j),(219.20488-147.67911j),(-239.46805-140.13821j)
2024-11-14T07:06:50.000000,(24.312258+294.99234j),(221.79533-149.09335j),(-242.87196-139.06387j)
2024-11-14T07:07:00.000000,(24.992714+294.5098j),(217.64548-147.94849j),(-239.56453-139.66768j)
2024-11-14T07:07:10.000000,(25.500055+296.42804j),(218.18755-148.4016j),(-239.83302-141.62225j)
2024-11-14T07:07:30.000000,(22.613865+294.3128j),(220.57428-148.56429j),(-239.2285-138.73587j)
2024-11-14T07:07:40.000000,(22.875542+293.10373j),(218.39069-149.25179j),(-237.81522-136.84407j)
2024-11-14T07:07:50.000000,(23.684277+292.8075j),(215.58533-147.82701j),(-235.8368-137.85732j)
2024-11-14T07:08:00.000000,(25.411913+297.4186j),(215.54703-151.47783j),(-237.50719-139.30089j)
2024-11-14T07:08:10.000000,(22.16113+295.05908j),(219.02205-149.4006j),(-237.12762-138.45518j)
2024-11-14T07:08:20.000000,(22.479109+292.20526j),(219.41635-149.0344j),(-238.26262-136.23698j)
2024-11-14T07:08:30.000000,(23.52801+291.20435j),(216.7009-147.2917j),(-236.94693-137.25827j)
2024-11-14T07:08:50.000000,(23.729544+293.22244j),(218.82083-149.26094j),(-239.13698-136.98314j)
2024-11-14T07:09:00.000000,(20.41744+296.02118j),(225.93295-149.77625j),(-242.6646-139.22891j)
2024-11-14T07:09:10.000000,(23.256601+292.3901j),(222.19778-148.43149j),(-241.86447-137.1361j)
2024-11-14T07:09:30.000000,(27.078426+291.24878j),(215.9257-147.86836j),(-239.3968-136.42766j)
2024-11-14T07:09:40.000000,(23.845417+291.07285j),(220.97592-146.39508j),(-241.13695-137.68062j)
2024-11-14T07:09:50.000000,(20.537626+294.22116j),(228.80359-148.91208j),(-245.6719-138.4971j)
2024-11-14T07:10:10.000000,(24.882654+289.32733j),(219.81654-146.63274j),(-241.34947-136.166j)
2024-11-14T07:10:20.000000,(24.611061+289.69598j),(218.97505-145.34511j),(-239.9651-137.28276j)
2024-11-14T07:10:30.000000,(22.032135+289.67365j),(225.13171-144.83455j),(-243.73299-138.0305j)
2024-11-14T07:10:40.000000,(21.544851+292.76437j),(229.74821-146.46103j),(-247.60033-139.5624j)
2024-11-14T07:10:50.000000,(22.954065+289.8154j),(225.12697-145.34535j),(-244.79388-138.62656j)
2024-11-14T07:11:10.000000,(26.922756+291.89874j),(221.2288-145.37224j),(-244.65724-139.70815j)
2024-11-14T07:11:20.000000,(24.354372+292.28333j),(227.4338-145.81113j),(-247.84647-139.91353j)
2024-11-14T07:11:30.000000,(23.614529+294.91895j),(229.09552-146.76503j),(-249.49469-141.47644j)
2024-11-14T07:11:50.000000,(27.73909+290.93365j),(218.69542-144.04207j),(-242.77809-140.1366j)
2024-11-14T07:12:00.000000,(29.356749+290.5127j),(220.15604-147.00136j),(-245.50447-136.85468j)
2024-11-14T07:12:10.000000,(26.976723+286.7403j),(221.78333-143.401j),(-244.92943-136.69336j)
2024-11-14T07:12:20.000000,(22.590494+291.58203j),(228.11388-143.98662j),(-246.99689-140.8707j)
2024-11-14T07:12:30.000000,(24.639818+291.0023j),(224.48067-145.56631j),(-244.86906-138.6842j)
2024-11-14T07:12:40.000000,(25.580956+288.32526j),(219.13754-144.42674j),(-241.22672-137.0324j)
2024-11-14T07:13:00.000000,(18.583706+288.09503j),(226.98074-144.90761j),(-241.88657-136.64587j)
2024-11-14T07:13:20.000000,(25.64126+290.81396j),(221.49126-144.2183j),(-243.6381-139.33946j)
2024-11-14T07:13:30.000000,(27.205402+287.54346j),(218.37845-144.01117j),(-241.85333-136.87587j)
2024-11-14T07:13:50.000000,(24.993162+286.7432j),(222.62808-141.565j),(-243.94383-138.17393j)
2024-11-14T07:14:00.000000,(26.176865+285.45166j),(220.311-141.77054j),(-243.42276-136.89099j)
