t,a,b,c
2024-11-14T07:00:00.000000,(137.95978521976213-241.5895094953898j),(-278.70506695414406+1.0470470789729203j),(140.69604031621682+240.51498195934116j)
2024-11-14T07:00:20.000000,(137.39623218415628-241.93992896829758j),(-278.6286538297242+1.7407124116033306j),(141.22448836815283+240.1853333833231j)
2024-11-14T07:00:30.000000,(136.89112394104365-242.2314596103545j),(-278.63333157167693+2.1791694254229412j),(141.20020645139522+240.25661416310953j)
2024-11-14T07:00:50.000000,(137.48720033929573-241.8811041213812j),(-278.607152484323+1.7961683438154958j),(140.82538925639642+240.55356835188408j)
2024-11-14T07:01:00.000000,(136.4991310861085-242.41489213718629j),(-278.56109414494915+2.463300040322412j),(141.60650093295638+239.92375194980175j)
2024-11-14T07:01:10.000000,(136.91046145642545-242.26387652367765j),(-278.6093804754113+2.1720260030435483j),(141.15667184500458+240.20495487446777j)
2024-11-14T07:01:20.000000,(137.1191333763147-242.13232623852252j),(-278.69114277642404+2.2417370308730784j),(141.1544013443768+240.32266632081257j)
2024-11-14T07:01:40.000000,(136.54833359216798-242.38763724569003j),(-278.63003171241417+2.5285811445027178j),(141.54019820905623+240.010310820254j)
2024-11-14T07:01:50.000000,(137.06889065344268-242.13743113817688j),(-278.59256285539686+2.1157531508613854j),(141.0185171102772+240.24588940924502j)
2024-11-14T07:02:10.000000,(137.39049325789873-242.10865684238524j),(-278.77332241701305+1.6902369600757317j),(140.86935443430747+240.5543713434437j)
2024-11-14T07:02:20.000000,(138.79671155785195-241.02015385562578j),(-278.5073141518511+0.3151964848027779j),(139.7013965606796+240.97335356099936j)
2024-11-14T07:02:30.000000,(137.4312035832722-242.13337849885812j),(-278.79254195227514+1.9659169489849802j),(141.01544880694576+240.55385157681798j)
2024-11-14T07:02:50.000000,(136.57681079398174-242.4661548359936j),(-278.63005808818696+2.586925682117969j),(141.56758564682207+240.02642127690098j)
2024-11-14T07:03:00.000000,(137.07925610994127-242.3345754105521j),(-278.7828995918517+2.0083386070771327j),(141.248233273262+240.36655366882914j)
2024-11-14T07:03:10.000000,(136.7271192183754-242.4884242165432j),(-278.7328860908677+2.5277686694827954j),(141.52290080095597+240.13739878529276j)
2024-11-14T07:03:20.000000,(136.28663884443705-242.6680927340942j),(-278.66497893592424+3.3542918655431397j),(142.10446328879493+239.71119633439088j)
2024-11-14T07:03:30.000000,(137.57289695723313-241.84232997470298j),(-278.5672457018943+1.5729551733759524j),(140.95899890882728+240.29643634960343j)
2024-11-14T07:03:40.000000,(137.50360310675032-241.93765239705343j),(-278.70414189198607+1.8522866336631763j),(140.76168010851956+240.47270052905654j)
2024-11-14T07:03:50.000000,(137.39357578109983-242.1304617946457j),(-278.84403466874926+1.8082529665561962j),(141.35960415764384+240.27985753636594j)
2024-11-14T07:04:00.000000,(136.97474958363873-242.28302526623406j),(-278.72702229757726+2.431844779784968j),(141.36278636994635+240.20586872570996j)
2024-11-14T07:04:10.000000,(136.9049724728374-242.435344182664j),(-278.8296433787695+2.26787816598402j),(141.45146337578097+240.23550095841912j)
2024-11-14T07:04:20.000000,(136.21426987880238-242.81712864880194j),(-278.7819057510763+3.329319779200978j),(142.09063788830366+239.8178287631778j)
2024-11-14T07:04:30.000000,(137.22444822593542-242.38208410534173j),(-278.97040813500763+2.3958225570773353j),(141.72090951198223+240.23939270629117j)
2024-11-14T07:04:50.000000,(135.3345838548104-243.31223049813963j),(-278.81201943357314+3.982172686779282j),(143.16548555551464+239.2001267040541j)
2024-11-14T07:05:00.000000,(138.2769108046081-241.69751767032656j),(-278.8437168234692+0.8611990524359451j),(140.06809134848697+241.0484347905584j)
2024-11-14T08:00:00.000000,(137.76326186927497-242.72865899851644j),(-279.5739620191753+1.4943609320832159j),(141.39855981859307+241.10443875528793j)
2024-11-14T08:00:10.000000,(137.3984968293439-242.8739398335599j),(-279.5493986705359+2.299910799330298j),(142.17916989710142+240.67089405513403j)
2024-11-14T08:00:20.000000,(137.9889577221993-242.44559747994396j),(-279.46056436343+1.6453446647035648j),(141.04559919710144+241.23015843468693j)
2024-11-14T08:00:30.000000,(137.91957685322103-242.54852330611772j),(-279.4947436722671+1.8628325720059404j),(141.1978162916421+241.14306117894736j)
2024-11-14T08:00:50.000000,(137.91511542902603-242.567430222326j),(-279.52289471335297+1.4019858107313947j),(141.01198756880282+241.35980746921175j)
2024-11-14T08:01:00.000000,(137.6462900277663-242.12656656717976j),(-278.95169770771673+1.5214639101329501j),(140.72601640279547+240.86661936801252j)
2024-11-14T08:01:20.000000,(138.1715690387285-242.47150763588172j),(-279.4669360752245+1.5238293245662344j),(141.36071192993987+241.01519889912134j)
2024-11-14T08:01:30.000000,(136.34088203562735-243.49312804234464j),(-279.4972956202392+3.324849007320489j),(142.57449455988157+240.36519341333252j)
2024-11-14T08:01:50.000000,(137.74806052785004-242.86223593565433j),(-279.6627541464401+1.8865304984911444j),(141.38222422831572+241.2215233591899j)
2024-11-14T08:02:00.000000,(137.47649712149843-243.10345017745863j),(-279.7056405728435+2.007367410374043j),(141.7847645876039+241.02580485974758j)
2024-11-14T08:02:10.000000,(138.68548904079867-242.53206934947022j),(-279.8449366324676+0.6982583098777813j),(140.81570310079698+241.73065105142558j)
2024-11-14T08:02:30.000000,(137.01628426923966-243.56818709637352j),(-279.95157426639486+2.6699684275711246j),(142.52180981322041+240.90237314794578j)
2024-11-14T08:02:40.000000,(138.3051454983381-243.0067237523226j),(-280.05825855900804+1.651608881634516j),(141.72053009823122+241.4437464424732j)
2024-11-14T08:02:50.000000,(138.75993438090075-242.67386800033466j),(-279.9866005081693+0.7932783504206107j),(140.91795281440986+241.80530054161355j)
2024-11-14T08:03:00.000000,(138.1868848938571-243.0874371846044j),(-280.0679872625235+1.9057775362286609j),(141.5168190485155+241.5315651077306j)
2024-11-14T08:03:30.000000,(135.86245909429866-242.42197114402163j),(-278.2553050776874+3.223281908043606j),(141.93444626779208+239.27604855589374j)
2024-11-14T08:03:40.000000,(135.86985622755478-242.48666248195875j),(-278.31118086568785+3.2244584339525395j),(141.96271643789174+239.3279106378327j)
2024-11-14T08:03:50.000000,(136.8810071620798-241.9026732115544j),(-278.361576458379+2.3263691169551692j),(141.43592564076755+239.6729793224871j)
2024-11-14T08:04:00.000000,(136.0195126587381-242.03435235063483j),(-278.1364123147447+3.1332462988204597j),(141.70384610312254+239.27683395330067j)
2024-11-14T08:04:10.000000,(136.34481524449032-241.7616540450224j),(-278.02546143139705+2.8662125402002454j),(141.50625599931362+239.23287612236484j)
2024-11-14T08:04:20.000000,(137.5174245035213-241.0934652520563j),(-278.0191847984158+1.1350064933769273j),(140.0762934801469+240.04408323110755j)
2024-11-14T08:04:40.000000,(136.6879382316014-241.25395373497832j),(-277.7580697534627+2.032941625264111j),(140.7075605120589+239.2747725003801j)
2024-11-14T08:04:50.000000,(136.98985357308368-241.10571734004685j),(-277.761221180301+1.9709288972897816j),(140.66321148261642+239.32878033610197j)
2024-11-14T08:05:00.000000,(136.40898903567492-241.22027610991947j),(-277.54022252348256+2.5000108798955534j),(140.780785772839+239.02299524382173j)
2024-11-14T09:00:00.000000,(136.45946267359162-241.18836213001254j),(-277.50839555983123+2.263190736217785j),(140.92806345574695+239.13798999750236j)
2024-11-14T09:00:10.000000,(135.7086926161694-241.55980553635752j),(-277.47557390643476+2.7487262392673824j),(141.39042389654543+238.86454095269488j)
2024-11-14T09:00:20.000000,(135.39375922725304-241.5661967188169j),(-277.37509022906875+3.079131549407712j),(141.77395941096714+238.4878752507309j)
2024-11-14T09:00:40.000000,(137.21873540303022-240.7795643999736j),(-277.5970994793573+1.3568745768230694j),(140.2668221148284+239.57490306914863j)
2024-11-14T09:00:50.000000,(137.07166494846345-240.828985725134j),(-277.6091128434695+1.181939205164717j),(140.17544082105914+239.66670423921062j)
2024-11-14T09:01:00.000000,(136.59628762855297-241.04431851571536j),(-277.4954176139633+1.6876332907790539j),(140.50173439253152+239.36106589737034j)
2024-11-14T09:01:10.000000,(137.60166738123766-240.4025305247483j),(-277.4483708911289+0.5515600892026702j),(139.36835064637526+239.94695403748702j)
2024-11-14T09:01:20.000000,(136.63714263200873-240.98086529554618j),(-277.43231006887186+1.6158603538634273j),(140.40735588384757+239.33568980123226j)
2024-11-14T09:01:30.000000,(136.00905477778653-241.46524291359097j),(-277.5352474197556+2.646706348189812j),(141.3460629282677+238.8777433180047j)
2024-11-14T09:01:40.000000,(136.74446422592345-240.72531364584327j),(-277.31563718285247+1.7814424960169761j),(140.35163518767928+239.22412323556085j)
2024-11-14T09:01:50.000000,(136.84000379676414-240.7341787332777j),(-277.37938515404335+1.6708641968842486j),(140.40824712905413+239.22942811557934j)
2024-11-14T09:02:00.000000,(135.57136286296048-241.22444633753037j),(-277.11800737474783+2.9984081660115938j),(141.25225105030202+238.47722968301258j)
2024-11-14T09:02:10.000000,(135.93306165712494-241.15562269382028j),(-277.2268752355685+2.591838871733366j),(141.1374957915285+238.64400248154195j)
2024-11-14T09:02:20.000000,(136.38237740762625-241.01154771513922j),(-277.2811522022631+2.204440787261251j),(140.8127470859739+238.91232514775191j)
2024-11-14T09:02:30.000000,(136.17727344491217-241.09129867042677j),(-277.43419324607373+2.1894650504365347j),(141.0625776964341+238.89335972625284j)
2024-11-14T09:02:40.000000,(135.9048441836436-241.1525711088397j),(-277.35083607046545+2.688810788171297j),(141.1744994642665+238.7267175546133j)
2024-11-14T09:02:50.000000,(136.34983245782016-241.04393045590822j),(-277.4302953204314+2.011276590061272j),(140.7162463087117+239.0824856327511j)
