t,a,b,c
2024-11-14T07:00:00.000000,(137.81163-241.59236j),(-278.54718+1.2818292j),(140.76546+240.36938j)
2024-11-14T07:00:20.000000,(137.18224-241.91281j),(-278.43945+1.9832088j),(141.29272+239.9883j)
2024-11-14T07:00:30.000000,(136.69366-242.23059j),(-278.15045+2.5369387j),(141.4875+239.74625j)
2024-11-14T07:00:50.000000,(137.21931-241.88818j),(-278.29343+2.0225322j),(141.09938+239.91838j)
2024-11-14T07:01:00.000000,(136.39336-242.40138j),(-278.1794+2.823716j),(141.81903+239.63268j)
2024-11-14T07:01:10.000000,(136.8309-242.26593j),(-278.20178+2.439928j),(141.40137+239.87767j)
2024-11-14T07:01:20.000000,(136.94969-242.15244j),(-278.41766+2.4505308j),(141.49817+239.7572j)
2024-11-14T07:01:40.000000,(136.3952-242.37985j),(-278.1832+2.863854j),(141.81778+239.57022j)
2024-11-14T07:01:50.000000,(136.9233-242.14882j),(-278.1984+2.396765j),(141.30716+239.80884j)
2024-11-14T07:02:10.000000,(137.24068-242.10625j),(-278.33945+2.0207958j),(141.1271+240.14052j)
2024-11-14T07:02:20.000000,(138.48137-241.04483j),(-278.3425+0.52431184j),(139.89128+240.5819j)
2024-11-14T07:02:30.000000,(137.23962-242.1809j),(-278.56165+2.16164j),(141.34854+240.07564j)
2024-11-14T07:02:50.000000,(136.56851-242.46739j),(-278.377+2.778631j),(141.84167+239.744j)
2024-11-14T07:03:00.000000,(137.00821-242.32893j),(-278.4517+2.3274028j),(141.47464+240.05624j)
2024-11-14T07:03:10.000000,(136.6231-242.49547j),(-278.41016+2.799761j),(141.81824+239.75339j)
2024-11-14T07:03:20.000000,(136.1043-242.69785j),(-278.44897+3.502683j),(142.3704+239.25235j)
2024-11-14T07:03:30.000000,(137.21945-241.8378j),(-278.25647+2.0112977j),(141.06633+239.88605j)
2024-11-14T07:03:40.000000,(137.2148-241.95967j),(-278.31958+2.1688714j),(141.13472+239.84329j)
2024-11-14T07:03:50.000000,(137.04892-242.10944j),(-278.46872+2.2423983j),(141.44966+239.92822j)
2024-11-14T07:04:00.000000,(136.85947-242.3058j),(-278.49234+2.6057153j),(141.66016+239.75395j)
2024-11-14T07:04:10.000000,(136.75562-242.42381j),(-278.43207+2.6287105j),(141.70651+239.85075j)
2024-11-14T07:04:20.000000,(136.02336-242.84038j),(-278.4973+3.6250334j),(142.5035+239.26807j)
2024-11-14T07:04:30.000000,(136.9155-242.3724j),(-278.72858+2.6490707j),(141.84045+239.782j)
2024-11-14T07:04:50.000000,(135.29285-243.30507j),(-278.58923+4.3025355j),(143.32855+239.05774j)
2024-11-14T07:05:00.000000,(138.07938-241.70177j),(-278.4248+1.2080518j),(140.37442+240.54959j)
2024-11-14T08:00:00.000000,(137.8905-242.70334j),(-279.44672+1.5196854j),(141.5258+241.12976j)
2024-11-14T08:00:10.000000,(137.3793-242.92639j),(-279.5686+2.2474606j),(142.15997+240.61844j)
2024-11-14T08:00:20.000000,(138.1205-242.60713j),(-279.329+1.4838136j),(141.17714+241.06863j)
2024-11-14T08:00:30.000000,(138.03604-242.71983j),(-279.3783+1.6915214j),(141.31429+240.97176j)
2024-11-14T08:00:50.000000,(138.10461-242.65048j),(-279.3334+1.318926j),(141.20148+241.27675j)
2024-11-14T08:01:00.000000,(137.8302-242.23238j),(-278.7678+1.4156545j),(140.90993+240.76082j)
2024-11-14T08:01:20.000000,(138.13942-242.513j),(-279.49908+1.48233j),(141.32855+240.9737j)
2024-11-14T08:01:30.000000,(136.52483-243.57661j),(-279.31335+3.2413557j),(142.75844+240.28171j)
2024-11-14T08:01:50.000000,(137.91566-242.96318j),(-279.49515+1.7855844j),(141.54984+241.12057j)
2024-11-14T08:02:00.000000,(137.6128-243.09906j),(-279.56934+2.0117583j),(141.92107+241.0302j)
2024-11-14T08:02:10.000000,(138.78908-242.51785j),(-279.74136+0.71247095j),(140.91928+241.74486j)
2024-11-14T08:02:30.000000,(137.14386-243.58868j),(-279.824+2.6494763j),(142.64938+240.88188j)
2024-11-14T08:02:40.000000,(138.30542-243.05618j),(-280.05798+1.6021422j),(141.72081+241.39429j)
2024-11-14T08:02:50.000000,(138.85231-242.66777j),(-279.89423+0.7993693j),(141.01033+241.81139j)
2024-11-14T08:03:00.000000,(138.29947-243.22186j),(-279.9554+1.7713553j),(141.6294+241.39714j)
2024-11-14T08:03:30.000000,(136.00461-242.46648j),(-278.11316+3.1787736j),(142.07658+239.23154j)
2024-11-14T08:03:40.000000,(136.01942-242.5267j),(-278.16162+3.1844192j),(142.11227+239.28787j)
2024-11-14T08:03:50.000000,(136.8867-241.95409j),(-278.3559+2.2749493j),(141.44162+239.62157j)
2024-11-14T08:04:00.000000,(136.14719-242.17831j),(-278.00876+2.989285j),(141.83151+239.13287j)
2024-11-14T08:04:10.000000,(136.3927-241.89392j),(-277.97757+2.7339482j),(141.55414+239.10062j)
2024-11-14T08:04:20.000000,(137.64856-241.1394j),(-277.88806+1.0890672j),(140.20743+239.99814j)
2024-11-14T08:04:40.000000,(136.7986-241.2903j),(-277.6474+1.9965903j),(140.81822+239.23842j)
2024-11-14T08:04:50.000000,(137.01614-241.19077j),(-277.73492+1.8858835j),(140.6895+239.24373j)
2024-11-14T08:05:00.000000,(136.51694-241.34001j),(-277.43228+2.3802776j),(140.88875+238.90326j)
2024-11-14T09:00:00.000000,(136.49522-241.27878j),(-277.47263+2.1727731j),(140.96382+239.04758j)
2024-11-14T09:00:10.000000,(135.8286-241.5963j),(-277.35565+2.7122395j),(141.51033+238.82805j)
2024-11-14T09:00:20.000000,(135.45729-241.5858j),(-277.31155+3.0595284j),(141.83748+238.46828j)
2024-11-14T09:00:40.000000,(137.25163-240.84914j),(-277.5642+1.2873079j),(140.29973+239.50534j)
2024-11-14T09:00:50.000000,(137.1879-240.85384j),(-277.4929+1.157081j),(140.29167+239.64185j)
2024-11-14T09:01:00.000000,(136.72343-241.06538j),(-277.36826+1.6665646j),(140.62888+239.34j)
2024-11-14T09:01:10.000000,(137.7565-240.45306j),(-277.29355+0.50103116j),(139.52318+239.89642j)
2024-11-14T09:01:20.000000,(136.76065-240.99j),(-277.3088+1.6067185j),(140.53087+239.32655j)
2024-11-14T09:01:30.000000,(136.06421-241.50371j),(-277.4801+2.6082351j),(141.40121+238.83928j)
2024-11-14T09:01:40.000000,(136.81305-240.83719j),(-277.24704+1.6695584j),(140.42021+239.11224j)
2024-11-14T09:01:50.000000,(136.87791-240.80875j),(-277.3415+1.5962917j),(140.44615+239.15486j)
2024-11-14T09:02:00.000000,(135.66524-241.32648j),(-277.02414+2.8963835j),(141.34613+238.3752j)
2024-11-14T09:02:10.000000,(135.97995-241.20087j),(-277.18+2.5465932j),(141.18439+238.59875j)
2024-11-14T09:02:20.000000,(136.4071-241.0663j),(-277.25644+2.1496825j),(140.83748+238.85757j)
2024-11-14T09:02:30.000000,(136.23654-241.10794j),(-277.37494+2.1728232j),(141.12184+238.87672j)
2024-11-14T09:02:40.000000,(135.99133-241.25934j),(-277.26434+2.5820446j),(141.26099+238.61995j)
2024-11-14T09:02:50.000000,(136.46568-241.07893j),(-277.31445+1.976275j),(140.83209+239.04749j)
2024-11-14T09:03:10.000000,(132.8036-243.02545j),(-277.3284+6.1388683j),(144.51004+236.83049j)
2024-11-14T09:03:20.000000,(135.29597-241.72073j),(-277.2959+3.3675323j),(141.98724+238.29503j)
2024-11-14T09:03:30.000000,(135.76985-241.36615j),(-277.25058+2.6592443j),(141.46362+238.65312j)
2024-11-14T09:03:40.000000,(135.66551-241.50671j),(-277.29938+3.0548594j),(141.62003+238.39507j)
2024-11-14T09:03:50.000000,(135.89056-241.2965j),(-277.20847+2.7276576j),(141.3006+238.5092j)
2024-11-14T09:04:00.000000,(136.7174-240.94678j),(-277.26587+1.6956834j),(140.53429+239.19475j)
2024-11-14T09:04:10.000000,(136.144-241.40732j),(-277.3993+2.490969j),(141.2433+238.86128j)
2024-11-14T09:04:20.000000,(136.3579-241.14609j),(-277.40656+2.1543136j),(141.03322+238.9305j)
2024-11-14T09:04:30.000000,(136.32855-241.11946j),(-277.34296+2.1679966j),(140.99355+238.89369j)
2024-11-14T09:04:40.000000,(136.1952-241.31554j),(-277.36102+2.5415163j),(141.15135+238.7168j)
2024-11-14T09:04:50.000000,(135.69714-241.37279j),(-277.28772+2.7128372j),(141.5742+238.59787j)
2024-11-14T09:05:00.000000,(136.3673-240.97684j),(-277.3007+1.9670424j),(140.91333+238.95267j)
2024-11-14T10:00:00.000000,(136.35034-241.76038j),(-277.71545+2.36471j),(141.34763+239.34003j)
2024-11-14T10:00:10.000000,(139.63995-239.91417j),(-277.69534-1.280354j),(138.04532+241.13997j)
2024-11-14T10:00:20.000000,(135.46358-242.15941j),(-277.71994+3.250156j),(142.24046+238.85425j)
2024-11-14T10:00:30.000000,(135.82489-242.02087j),(-277.69894+2.9121437j),(141.8553+239.05257j)
2024-11-14T10:00:50.000000,(137.1941-241.2277j),(-277.71924+1.6338801j),(140.51497+239.53491j)
2024-11-14T10:01:00.000000,(137.46112-240.8671j),(-277.77432+1.0078452j),(140.29688+239.80345j)
2024-11-14T10:01:10.000000,(136.98698-241.08667j),(-277.7236+1.5049051j),(140.7224+239.5252j)
2024-11-14T10:01:20.000000,(137.28596-241.06354j),(-277.7124+1.2194498j),(140.4069+239.78796j)
2024-11-14T10:01:30.000000,(137.00233-241.22482j),(-277.6268+1.7723676j),(140.60872+239.39484j)
2024-11-14T10:01:40.000000,(136.79944-241.41638j),(-277.49945+1.8344516j),(140.68765+239.52971j)
2024-11-14T10:01:50.000000,(136.74344-241.52603j),(-277.66443+1.8140479j),(140.90463+239.65442j)
2024-11-14T10:02:00.000000,(137.17043-241.22449j),(-277.81592+1.6180989j),(140.63141+239.54697j)
2024-11-14T10:02:10.000000,(137.10025-241.4556j),(-277.909+1.8335762j),(140.79459+239.56068j)
2024-11-14T10:02:20.000000,(136.86101-241.55911j),(-277.75528+2.0722299j),(140.8826+239.43129j)
2024-11-14T10:02:30.000000,(136.66653-241.69128j),(-277.81326+2.0359888j),(141.1314+239.60124j)
2024-11-14T10:02:40.000000,(137.8488-240.80927j),(-277.7713+0.5810912j),(139.90399+240.16832j)
2024-11-14T10:03:00.000000,(136.89034-241.4189j),(-277.573+1.8804741j),(140.66669+239.4859j)
2024-11-14T10:03:10.000000,(135.23994-242.37509j),(-277.8545+3.957572j),(142.60004+238.36166j)
2024-11-14T10:03:20.000000,(135.54837-242.30812j),(-277.78006+3.3254662j),(142.2148+238.92885j)
2024-11-14T10:03:40.000000,(137.43901-241.36378j),(-277.81058+1.4383177j),(140.35858+239.87042j)
2024-11-14T10:03:50.000000,(137.18233-241.49416j),(-277.73285+1.7275294j),(140.53467+239.7128j)
2024-11-14T10:04:00.000000,(136.8765-241.4632j),(-277.89612+1.8700533j),(141.00331+239.53688j)
2024-11-14T10:04:10.000000,(137.42236-241.429j),(-277.88593+1.501008j),(140.45091+239.87085j)
2024-11-14T10:04:30.000000,(138.25131-240.74344j),(-277.7045+0.34329173j),(139.43626+240.34346j)
2024-11-14T10:04:40.000000,(137.2661-241.41594j),(-277.85812+1.4721308j),(140.57393+239.88966j)
