t,a,b,c
2024-11-14T07:00:00.000000,(-75.70811302449145+392.6399617251832j),(363.5514280385042-102.67312808413108j),(-289.46961582304755-286.52711380300696j)
2024-11-14T07:00:20.000000,(-73.37240899815662+387.98251201649043j),(361.89894630113116-100.10537125174609j),(-289.82858143410573-283.4209223652498j)
2024-11-14T07:00:30.000000,(-72.4903236740895+392.9879906482141j),(364.86545174149114-104.51415399110039j),(-293.83454343149555-284.6893373170301j)
2024-11-14T07:00:50.000000,(-74.2696653352389+392.43984084772563j),(364.4511709975948-100.11844709684543j),(-292.37489005227485-288.1655481192889j)
2024-11-14T07:01:00.000000,(-72.63292265170676+384.43552625458705j),(362.0932307969097-96.37151184601005j),(-291.04146584026665-284.544531336825j)
2024-11-14T07:01:10.000000,(-74.36134977297705+386.0478263453921j),(364.0152189187844-98.04637598135903j),(-291.8470149095776-283.87452854411856j)
2024-11-14T07:01:20.000000,(-74.37287756473927+387.6183233847639j),(362.3349350440595-98.49387111266951j),(-290.5877486522139-285.35317826732773j)
2024-11-14T07:01:40.000000,(-71.22419801920604+384.61994617746285j),(362.35505244283183-101.41061037856583j),(-293.89571523018435-278.94611293414044j)
2024-11-14T07:01:50.000000,(-74.96702844541139+386.693550462075j),(364.1755210907731-103.10034777918135j),(-291.76064754224933-279.87366036258464j)
2024-11-14T07:02:10.000000,(-73.623899016171+385.31691847483523j),(364.5251553595663-99.72555768800491j),(-292.94248438340423-281.1455501297413j)
2024-11-14T07:02:20.000000,(-78.83603791525339+386.55927285587813j),(367.6448646126726-100.15055412905357j),(-291.41378477917686-282.51292959316504j)
2024-11-14T07:02:30.000000,(-74.66500341073319+386.7056542696793j),(362.99397757821333-102.13047339338323j),(-290.48272296136537-280.21569182305575j)
2024-11-14T07:02:50.000000,(-73.32548312482574+393.1037583483928j),(369.30683774589374-107.80291803350998j),(-298.21390563655-280.8355503262338j)
2024-11-14T07:03:00.000000,(-76.09779245406864+383.43593269412844j),(367.0377603380984-98.28943098459061j),(-293.40464482412165-281.0441197439208j)
2024-11-14T07:03:10.000000,(-76.33982464089351+383.1488197586775j),(365.48149706378433-100.12624097448648j),(-292.20725260060146-278.70659054468814j)
2024-11-14T07:03:20.000000,(-72.3341457162207+379.0584944986218j),(361.67251835884326-97.4483129687626j),(-291.79622317857104-277.37706223877836j)
2024-11-14T07:03:30.000000,(-73.29544593968299+381.6330421637691j),(361.3091736606999-98.05535494391145j),(-290.2160664276417-279.12688742264675j)
2024-11-14T07:03:40.000000,(-72.37921829494785+384.05974696641977j),(361.50888836052826-96.9833160715655j),(-291.3078707505637-282.869289845571j)
2024-11-14T07:03:50.000000,(-75.50910970173533+383.8586411766489j),(361.82677694693297-95.68648943728887j),(-288.42505697005754-284.0076834238049j)
2024-11-14T07:04:00.000000,(-73.30024413703217+386.48392848401704j),(363.4794563919943-97.40560468253892j),(-292.24464114740266-285.21619941512563j)
2024-11-14T07:04:10.000000,(-72.40340267069976+383.79860301778734j),(360.58726221469107-98.4342128777187j),(-290.685559175676-281.4105027038225j)
2024-11-14T07:04:20.000000,(-71.14095333927568+385.09608310972783j),(358.22291777014755-101.21359138544021j),(-289.45038750742793-280.2931981974091j)
2024-11-14T07:04:30.000000,(-71.9888090345449+382.4414160214786j),(358.5977781748995-97.30165551599218j),(-289.1208328872938-281.18991174908666j)
2024-11-14T07:04:50.000000,(-73.78079015022632+380.72012092702306j),(360.73237071081365-100.67513106611588j),(-289.2418812101714-275.56212450437823j)
2024-11-14T07:05:00.000000,(-74.41782827070095+381.8488453540547j),(363.21875678439636-100.41059095323348j),(-291.1531437688533-276.66549209754396j)
2024-11-14T08:00:00.000000,(-78.05427923895695+369.98926841293996j),(359.61967071016153-101.18250040177125j),(-285.5804602919579-264.0979549327026j)
2024-11-14T08:00:10.000000,(-75.61975715674119+369.99489566902014j),(357.80673107510756-102.0628065143883j),(-285.70699058126445-263.74862096248074j)
2024-11-14T08:00:20.000000,(-81.05338105884002+368.7277345614427j),(362.28919968753877-100.25737276206497j),(-285.0903238590539-264.0183634844016j)
2024-11-14T08:00:30.000000,(-80.68812468188398+368.1684510440662j),(364.0789150505253-100.42194657038786j),(-287.05626332388965-263.42688395965257j)
2024-11-14T08:00:50.000000,(-81.51806945734475+368.39355710670344j),(362.1589410409787-101.0817010750477j),(-284.4184221990313-262.99613201166966j)
2024-11-14T08:01:00.000000,(-81.54603449562327+369.5089799118671j),(364.7864617117214-103.44926430587462j),(-286.3795279442519-261.43433490389623j)
2024-11-14T08:01:20.000000,(-82.78936750037322+365.1719531385015j),(364.01351702747536-104.42873541341547j),(-285.4092685408681-255.80268753768698j)
2024-11-14T08:01:30.000000,(-81.30816297706555+367.8994051914476j),(362.3980553869313-107.97544624098246j),(-285.00907286767574-255.64288895714097j)
2024-11-14T08:01:50.000000,(-80.00717152197309+367.9390898638603j),(362.63872483517525-103.79025932524297j),(-286.0802771952368-259.94212849196333j)
2024-11-14T08:02:00.000000,(-79.28261866638036+367.3309556374573j),(361.60995796803985-100.96566301442182j),(-285.79801656508175-261.3685847556624j)
2024-11-14T08:02:10.000000,(-78.78683913808374+367.00605759345115j),(361.6177164494552-100.07344375331694j),(-286.94855688917124-262.1439913078298j)
2024-11-14T08:02:30.000000,(-78.1195600818664+366.9721692975336j),(361.33211757431127-100.5059138452608j),(-287.0558199298575-261.98185629534095j)
2024-11-14T08:02:40.000000,(-79.27637539109722+361.35339710450205j),(360.6592743382592-98.56818086960008j),(-285.48671102149785-257.7937721647101j)
2024-11-14T08:02:50.000000,(-81.24665163184595+366.0804904545601j),(363.27342562296593-98.13269777007021j),(-286.12390209595327-263.12081076144227j)
2024-11-14T08:03:00.000000,(-80.90729080745903+363.6992398955098j),(363.64233374761386-101.16108359803167j),(-286.9197458076708-257.8995674392279j)
2024-11-14T08:03:30.000000,(-77.57175495824508+372.32265070875997j),(366.16665796339754-105.97815945615059j),(-292.73303211000666-261.8392040223756j)
2024-11-14T08:03:40.000000,(-81.53939705216719+375.62216743437534j),(366.43115284158233-108.22731586018986j),(-288.6767755107002-263.3847204953338j)
2024-11-14T08:03:50.000000,(-79.94062286292056+371.29459976475573j),(363.72549363223465-104.7290787499166j),(-287.7900607638564-262.12297003789513j)
2024-11-14T08:04:00.000000,(-78.64710320058352+373.6209582329837j),(360.8441919678866-106.64165139714218j),(-286.15293897492796-262.70637023608765j)
2024-11-14T08:04:10.000000,(-79.23850745905354+366.9991835901523j),(356.8585190859676-101.66990485325346j),(-281.339535564199-261.61813484905133j)
2024-11-14T08:04:20.000000,(-81.75299850126707+366.7230601994637j),(359.42810117633-101.60602974871856j),(-281.5057365178099-261.09266214743496j)
2024-11-14T08:04:40.000000,(-82.8665134752365+367.6774318827863j),(364.10065057223295-102.01616536616758j),(-285.44479131968353-261.8582885498299j)
2024-11-14T08:04:50.000000,(-83.1637854860598+368.0136597012462j),(363.6901704084613-102.29569928772223j),(-284.4053618151641-261.60315496565096j)
2024-11-14T08:05:00.000000,(-81.88359139328199+368.36166010747456j),(364.2593244265444-103.70632222012367j),(-286.3671280112846-260.57088239355807j)
2024-11-14T09:00:00.000000,(-77.98214414095591+386.9801709027593j),(363.5228413286852-98.7667021402269j),(-290.3667053939741-284.21641450157074j)
2024-11-14T09:00:10.000000,(-76.65003733279696+391.3391144449172j),(362.854849401333-101.65658013536704j),(-290.90175490153666-285.6391964406139j)
2024-11-14T09:00:20.000000,(-71.4146032463353+398.2692992276644j),(366.4829209241251-107.19470008080663j),(-300.0958145638172-287.52645825345587j)
2024-11-14T09:00:40.000000,(-74.90753467645645+389.858402437344j),(361.50222539530137-99.82086101663174j),(-291.3854953534659-286.1695549334821j)
