t,a,b,c
2024-11-14T07:00:00.000000,(127.19009994502076-238.02902319724072j),(-270.594526399722+8.79694656157453j),(143.04923857154765+229.6536833716239j)
2024-11-14T07:00:20.000000,(126.8373413253356-238.27150878609558j),(-270.5961933796995+8.738220746467205j),(143.31464539037478+229.4271579870988j)
2024-11-14T07:00:30.000000,(126.19850229479499-238.57011725745627j),(-270.5224962547956+9.500308731228309j),(143.68068804725783+229.1888564401651j)
2024-11-14T07:00:50.000000,(128.17830973659147-237.53806134855873j),(-270.6415903963887+7.778625738824374j),(142.31086530476938+230.1005269238496j)
2024-11-14T07:01:00.000000,(126.49291324614848-238.4688549019917j),(-270.6549384694384+9.51053236516008j),(143.52072128606486+229.29262613241167j)
2024-11-14T07:01:10.000000,(126.44001462705218-238.63267153279966j),(-270.672575537509+9.368614953021686j),(143.81074964265378+229.14222006113096j)
2024-11-14T07:01:20.000000,(126.77591974759983-238.4692134280512j),(-270.71068956931583+9.54716000789621j),(143.70763617153403+229.32081784463807j)
2024-11-14T07:01:40.000000,(125.43206169097924-239.1639404623852j),(-270.62146285125704+11.152506651337104j),(145.02863219689027+228.38632556216916j)
2024-11-14T07:01:50.000000,(125.96311012374431-238.86751895533652j),(-270.55100092784386+10.102585711396648j),(143.96806063689058+228.9727121234375j)
2024-11-14T07:02:10.000000,(126.52622440287485-238.71669828324906j),(-270.76710229551657+9.371751891965594j),(143.81368118711882+229.26393210814038j)
2024-11-14T07:02:20.000000,(127.72077890589736-237.8808189130486j),(-270.5709336743289+8.027909439802958j),(142.21852549910614+230.05311097184736j)
2024-11-14T07:02:30.000000,(126.43194362104475-238.75357843319415j),(-270.70987316713297+9.381905589569977j),(143.82323819128774+229.30439901159582j)
2024-11-14T07:02:50.000000,(126.11877785056902-238.76563496042385j),(-270.53563142541475+9.794931667198794j),(144.141526727551+228.89593585728102j)
2024-11-14T07:03:00.000000,(126.88957516930277-238.6121627219325j),(-270.79924193241334+9.182002095869121j),(143.3046887440695+229.61169641762962j)
2024-11-14T07:03:10.000000,(126.60159896590234-238.71901646078638j),(-270.7028838686606+9.836112925389571j),(143.93883619285808+229.15667441958018j)
2024-11-14T07:03:20.000000,(126.11992629790163-238.8882720028821j),(-270.7156887440825+9.959726559977238j),(143.97169283862013+228.99239489113117j)
2024-11-14T07:03:30.000000,(126.3479626915829-238.72753349873463j),(-270.6491536467068+9.562363535489624j),(143.89230165869213+229.07262329661503j)
2024-11-14T07:03:40.000000,(126.695295956744-238.57636330495106j),(-270.7618610945736+9.176625754574403j),(143.58714020093896+229.34910139124713j)
2024-11-14T07:03:50.000000,(128.14057916037746-237.89997937807073j),(-270.9226152792643+7.547249215301273j),(142.30016107058466+230.2456317624684j)
2024-11-14T07:04:00.000000,(126.53292870238164-238.6446351744262j),(-270.7755539924311+9.381417208286017j),(143.6374948597239+229.3691054578491j)
2024-11-14T07:04:10.000000,(126.47914699039404-238.73689891806708j),(-270.83750769361205+9.969485922224509j),(144.05330023702535+229.1955726792523j)
2024-11-14T07:04:20.000000,(125.49939164543953-239.27502240132358j),(-270.815729675388+10.940978422544328j),(144.7989196393922+228.72235188453453j)
2024-11-14T07:04:30.000000,(126.87699225917964-238.71433254631089j),(-271.0125475540361+9.565929475284419j),(143.81304534626545+229.534941373168j)
2024-11-14T07:04:50.000000,(125.70833569590499-239.31619307845995j),(-270.85529157120885+10.419627475477178j),(144.71909984933103+228.82020092884258j)
2024-11-14T07:05:00.000000,(126.98640939956489-238.65121627427538j),(-270.88815834051815+9.052949040155594j),(143.5523348671499+229.50089205450317j)
2024-11-14T08:00:00.000000,(127.06849465010201-239.42997777461142j),(-271.50874517245626+9.859454009326537j),(144.33178359124207+229.83947505184256j)
2024-11-14T08:00:10.000000,(126.1706509234831-239.96172706408868j),(-271.552910833041+10.864294629667842j),(144.99105754282783+229.50171156316503j)
2024-11-14T08:00:20.000000,(127.59805493237953-239.10605052702465j),(-271.4564945149876+9.371742083260132j),(143.6217955706186+230.1621645678846j)
2024-11-14T08:00:30.000000,(127.51485564843343-239.13602269936345j),(-271.4355420075857+9.42705180074831j),(143.54229426810264+230.14387427686253j)
2024-11-14T08:00:50.000000,(127.79572326576509-238.98719746440727j),(-271.42769692489856+9.109353857841416j),(143.3502803778748+230.32362493835967j)
2024-11-14T08:01:00.000000,(126.57479915822096-239.05905361280938j),(-270.8179959741232+9.511224758850869j),(143.6597424322418+229.46226462138165j)
2024-11-14T08:01:20.000000,(127.19755092635673-239.4287582087969j),(-271.36986591181875+9.718284091706192j),(144.12473677200782+229.7587514062604j)
2024-11-14T08:01:30.000000,(125.91254302112286-240.1140154075225j),(-271.3224141217031+11.163342902584468j),(144.9290296080272+229.3394549889354j)
2024-11-14T08:01:50.000000,(126.8067120248923-239.7377074825662j),(-271.5541873095669+10.105150695223893j),(144.1740214825603+229.93475471562303j)
2024-11-14T08:02:00.000000,(127.36615931908322-239.47024758478932j),(-271.65459531618194+9.256226738833407j),(144.07424785191589+230.06345591381657j)
2024-11-14T08:02:10.000000,(127.78298000898194-239.35947851771957j),(-271.85074185463026+9.333253993268228j),(143.93925818045662+230.32151431635768j)
2024-11-14T08:02:30.000000,(127.39836732327838-239.68210421318875j),(-271.9509989888707+9.78575927122257j),(144.23412267559902+230.2442777202081j)
2024-11-14T08:02:40.000000,(128.0278355543888-239.54084889671304j),(-272.0265151409198+9.109768746070898j),(143.8695794744842+230.54294167423407j)
2024-11-14T08:02:50.000000,(128.97443420437997-238.91200237724058j),(-271.9857011730217+8.094210072492343j),(142.85013428942176+231.08488003972178j)
2024-11-14T08:03:00.000000,(127.66575157792876-239.7388325822615j),(-271.98911028609814+9.699236496546003j),(144.1281023766461+230.34898610912447j)
2024-11-14T08:03:30.000000,(124.82930390711681-239.24291616666855j),(-270.1070994074452+11.832364276489397j),(145.14089150694102+227.73569056061697j)
2024-11-14T08:03:40.000000,(125.73629942264456-238.85407665479084j),(-270.1664782415375+10.58941206246133j),(143.9427599675763+228.5699431025968j)
2024-11-14T08:03:50.000000,(126.39728997977947-238.56120777109268j),(-270.25691978516204+10.07505368480199j),(143.6147490654341+228.77600976659184j)
2024-11-14T08:04:00.000000,(125.84918350360668-238.44669867961363j),(-269.97238246401565+10.411196586471522j),(143.8870486313142+228.35625080736946j)
2024-11-14T08:04:10.000000,(126.12922231922809-238.32191327381537j),(-269.9798686843292+9.855812537199734j),(143.36378457183764+228.62469324460588j)
2024-11-14T08:04:20.000000,(126.87118202660915-237.84966185057058j),(-269.91130139668786+9.053989776902064j),(142.69896355884242+228.94019233967884j)
2024-11-14T08:04:40.000000,(126.48870351100567-237.77869495890783j),(-269.6506772231391+9.497292742247426j),(142.77222137664802+228.50328985505735j)
2024-11-14T08:04:50.000000,(126.71789924828533-237.6795388430925j),(-269.7070915848213+9.049709411711238j),(142.67578078683286+228.59051845290034j)
2024-11-14T08:05:00.000000,(125.7060394871907-238.03013924196415j),(-269.48277892104227+10.058552544908217j),(143.367617252377+227.93474005452188j)
2024-11-14T09:00:00.000000,(125.86513015703835-237.69616691130867j),(-269.55323634475127+9.424821230215743j),(143.17721407127752+228.34140457809576j)
2024-11-14T09:00:10.000000,(124.90991503160058-238.11653513091542j),(-269.4572332035963+10.382281375892354j),(144.20512263335607+227.69008872518003j)
2024-11-14T09:00:20.000000,(124.94542606914771-237.83168091679246j),(-269.28864302530553+10.482450571567014j),(143.96648077753835+227.60852974002233j)
2024-11-14T09:00:40.000000,(125.50986182834819-237.82322697698703j),(-269.6002151415035+9.812242666807803j),(143.57039066618236+228.15299379600424j)
