t,a,b,c
2024-11-14T07:00:00.000000,(1206.6224-711.54144j),(-1221.526-690.0995j),(14.90357+1401.6409j)
2024-11-14T07:00:20.000000,(1204.7496-714.77637j),(-1223.0323-686.93036j),(18.282724+1401.7068j)
2024-11-14T07:00:30.000000,(1202.483-717.3222j),(-1222.7091-684.6065j),(20.226103+1401.9287j)
2024-11-14T07:00:50.000000,(1204.3807-714.92633j),(-1221.8738-686.5849j),(17.493057+1401.5112j)
2024-11-14T07:01:00.000000,(1201.7115-718.7884j),(-1223.8118-683.4423j),(22.100264+1402.2307j)
2024-11-14T07:01:10.000000,(1203.1587-717.28174j),(-1222.7466-685.2432j),(19.5879+1402.5249j)
2024-11-14T07:01:20.000000,(1203.9023-716.84j),(-1223.393-684.8886j),(19.490587+1401.7286j)
2024-11-14T07:01:40.000000,(1201.4352-718.6259j),(-1223.5208-683.2264j),(22.085499+1401.8523j)
2024-11-14T07:01:50.000000,(1203.3119-716.68396j),(-1222.3992-685.2618j),(19.087315+1401.9458j)
2024-11-14T07:02:10.000000,(1204.4895-715.41656j),(-1222.1765-687.31213j),(17.687078+1402.7288j)
2024-11-14T07:02:20.000000,(1208.0771-707.98224j),(-1218.5123-692.9306j),(10.435181+1400.9128j)
2024-11-14T07:02:30.000000,(1205.0546-716.0374j),(-1223.3599-686.67914j),(18.30535+1402.7166j)
2024-11-14T07:02:50.000000,(1202.8392-718.78815j),(-1224.5802-683.9093j),(21.740953+1402.6975j)
2024-11-14T07:03:00.000000,(1204.1764-716.98865j),(-1223.5181-686.15576j),(19.341711+1403.1444j)
2024-11-14T07:03:10.000000,(1202.8662-718.75336j),(-1224.3207-683.9227j),(21.454487+1402.6761j)
2024-11-14T07:03:20.000000,(1201.567-721.4898j),(-1226.1167-680.36597j),(24.5497+1401.8557j)
2024-11-14T07:03:30.000000,(1204.3866-714.69116j),(-1221.9755-686.60297j),(17.588924+1401.2942j)
2024-11-14T07:03:40.000000,(1204.5746-715.57263j),(-1222.4626-686.0451j),(17.888033+1401.6177j)
2024-11-14T07:03:50.000000,(1204.3057-716.17676j),(-1223.6029-686.09796j),(19.2972+1402.2747j)
2024-11-14T07:04:00.000000,(1203.8485-717.77966j),(-1224.2507-684.5224j),(20.40232+1402.302j)
2024-11-14T07:04:10.000000,(1203.3857-718.11664j),(-1224.2178-684.7489j),(20.832048+1402.8656j)
2024-11-14T07:04:20.000000,(1201.5665-722.2432j),(-1226.8291-680.1101j),(25.26256+1402.3534j)
2024-11-14T07:04:30.000000,(1204.8174-718.17267j),(-1225.61-684.4211j),(20.79262+1402.5938j)
