t,a,b,c
2024-11-14T07:00:00.000000,(-7.924277361849582-40.09945261301768j),(-32.65884060703696+26.92488136920572j),(37.460462282275195+15.516556400118883j)
2024-11-14T07:00:20.000000,(-7.931457197679485-40.07836412275228j),(-29.51605610097829+26.919220953036294j),(43.692815599724064+14.818048310397142j)
2024-11-14T07:00:30.000000,(-11.056651067432334-40.058209900196694j),(-29.506889526306153+26.90865954029248j),(37.440892709548656+14.515704408839106j)
2024-11-14T07:00:50.000000,(-7.930683091309656-40.07612056270455j),(-32.64169675828549+26.912665107131026j),(37.449732085676466+14.919942170876762j)
2024-11-14T07:01:00.000000,(-11.060210323101478-40.04899949735706j),(-32.61999325355412+26.909045523954894j),(43.680202828884255+14.310940980928354j)
2024-11-14T07:01:10.000000,(-11.059120496102986-40.061400691883j),(-29.50960355036802+26.91132479370529j),(37.44606846194166+14.321067794681468j)
2024-11-14T07:01:20.000000,(-7.937400097990443-40.06646959886386j),(-29.505476478390445+26.9128373669648j),(37.44287662658675+14.129461268699515j)
2024-11-14T07:01:40.000000,(-7.93574599678394-40.04839048323638j),(-29.497513032313663+26.90689780875613j),(37.433259922097584+13.824581282400509j)
2024-11-14T07:01:50.000000,(-7.934385047803964-40.06443275301497j),(-29.511047496477993+26.909836751826347j),(43.690734593814554+14.325584245078964j)
2024-11-14T07:02:10.000000,(-7.933311258195871-46.319988899656806j),(-29.521124860914753+26.916875621960198j),(43.699738484096066+14.719133557118676j)
2024-11-14T07:02:20.000000,(-11.036651380394904-40.119934996189535j),(-32.6833625890432+26.92245052669676j),(43.720013783643616+14.807599486073606j)
2024-11-14T07:02:30.000000,(-7.938313860929616-40.074791398634886j),(-29.513644575167273+26.91970483485851j),(37.45195757516578+14.52123802262133j)
2024-11-14T07:02:50.000000,(-7.941977129926538-40.05406096630775j),(-32.619075969826866+26.91432767545509j),(43.683708322682634+15.38413740212696j)
2024-11-14T07:03:00.000000,(-7.939143040962922-40.0671197237859j),(-32.63332726585389+26.91836375299713j),(43.69511689521923+15.197988938929768j)
