t,a,b,c
2024-11-14T07:00:00.000000,(22.370157450232-49.625518121025536j),(-52.72455113008323+0.40992055355127377j),(30.354393679849636+49.215597567474106j)
2024-11-14T07:00:20.000000,(23.5846290763443-50.98290465504558j),(-54.130065465885764+0.6202088691820791j),(30.545436389541464+50.36269578586371j)
2024-11-14T07:00:30.000000,(23.480145645545235-51.125662639749464j),(-53.88612152976475+0.7471023273797073j),(30.405975884219288+50.3785603123697j)
2024-11-14T07:00:50.000000,(23.325687607810778-51.49507831865206j),(-53.2783948810461+0.7639564765399882j),(29.952707273233955+50.73112184211186j)
2024-11-14T07:01:00.000000,(23.53684869686458-51.81750106258247j),(-54.18156886817246+0.7876592760535459j),(30.64472017130879+51.02984178652832j)
2024-11-14T07:01:10.000000,(24.105345595588005-51.780479303369795j),(-54.54281783957026+0.8553412838969052j),(30.437472243982256+50.9251380194728j)
2024-11-14T07:01:20.000000,(23.046855202243933-51.09203683781207j),(-53.32329746677806+0.742443225756233j),(30.27644226453299+50.349593612056196j)
2024-11-14T07:01:40.000000,(22.143903192129528-50.78844510467284j),(-52.761116154514866+0.4058630689069105j),(30.617212962385338+50.38258203576606j)
2024-11-14T07:01:50.000000,(23.611430688359633-51.13774698265581j),(-54.2301806374046+0.41432145216185745j),(30.618749949044513+50.723425530494296j)
2024-11-14T07:02:10.000000,(22.91734659078702-50.85604628910352j),(-53.70623630049295+0.3783965886700571j),(30.78888970970661+50.47764970043363j)
2024-11-14T07:02:20.000000,(22.90443723630733-50.61636850007902j),(-53.20398323919426+0.2629545217014311j),(30.299546002886473+50.353413978377375j)
2024-11-14T07:02:30.000000,(22.568262011679508-50.85015677870088j),(-53.24293275291075+0.5647375080297934j),(30.67467074123033+50.2854192706709j)
2024-11-14T07:02:50.000000,(23.78269283325426-51.52905684595061j),(-54.8129905023161+0.7140841116201955j),(31.030297669062747+50.81497273433024j)
2024-11-14T07:03:00.000000,(23.07899568446237-51.06620301773631j),(-53.774224710414956+0.5119659950300957j),(30.69522902595304+50.554237022706275j)
2024-11-14T07:03:10.000000,(22.70507401871828-50.68717181347841j),(-53.44395616231213+0.4887293698575377j),(30.738882143594537+50.198442443620934j)
2024-11-14T07:03:20.000000,(23.11636364793685-51.272729254602744j),(-53.8723535194797+0.8755525447090804j),(30.75598987154217+50.397176709893756j)
2024-11-14T07:03:30.000000,(23.859730768623194-51.22223617897022j),(-54.72508171052641+0.38807476825559206j),(30.865350941904353+50.83416141071393j)
2024-11-14T07:03:40.000000,(23.951285386446216-51.578054541519265j),(-55.236680513119154+0.2906754708324115j),(31.28539512667271+51.28737907068671j)
2024-11-14T07:03:50.000000,(22.901455415814326-51.38561542786208j),(-54.28742015355601+0.19585497152320386j),(31.385964737742142+51.18976045633872j)
2024-11-14T07:04:00.000000,(23.003508928762585-51.32487426752246j),(-54.154114172945356+0.3085895483618515j),(31.150605244181634+51.016284719161376j)
2024-11-14T07:04:10.000000,(23.056068709664487-50.9914480184505j),(-54.18833633610984+0.24440863898735188j),(31.132267626445355+50.74703937946333j)
2024-11-14T07:04:20.000000,(23.562043731194535-51.219639298905484j),(-54.77049319651246+0.6280542157164746j),(31.20844946531838+50.591585083188875j)
2024-11-14T07:04:30.000000,(23.599540100853574-51.684687093555574j),(-54.90059509890261+0.580249872440163j),(31.30105499804972+51.104437221115404j)
2024-11-14T07:04:50.000000,(22.399996316398756-52.70852236436943j),(-54.41733376557022+1.3556840186570298j),(32.01733744917169+51.35283834571146j)
2024-11-14T07:05:00.000000,(24.185249577547438-52.67519790479447j),(-55.52298508847298+0.707244092808196j),(31.337735510925995+51.96795381198581j)
2024-11-14T08:00:00.000000,(-21.601562941164502+50.58316413621634j),(52.73246163707336-0.7285482254387716j),(-31.130898695908172-49.85461591077819j)
2024-11-14T08:00:10.000000,(-21.89808213399101+51.96298289592835j),(53.787639841206556-1.1032004372750635j),(-31.88955770721691-50.85978245865317j)
2024-11-14T08:00:20.000000,(-22.07007657865006+52.027569758960794j),(53.91246028553087-0.7444734931764287j),(-31.84238370688172-51.283096265784934j)
2024-11-14T08:00:30.000000,(-22.18719292714013+51.818424980869466j),(54.10628811796096-0.9949084111249249j),(-31.91909519082128-50.8235165697447j)
2024-11-14T08:00:50.000000,(-21.225216621231993+50.779066146371235j),(52.236129418093014-0.6409169539051618j),(-31.01091279686034-50.138149192466244j)
2024-11-14T08:01:00.000000,(-21.748280697651353+50.42028779956868j),(52.592011055269495-0.6136903315859854j),(-30.843730357617687-49.806597467982556j)
2024-11-14T08:01:20.000000,(-22.574818990084168+50.68638215738147j),(53.59951815886643-0.7661221286184627j),(-31.024699168783172-49.92026002876264j)
2024-11-14T08:01:30.000000,(-21.383232748364662+50.65957231316825j),(52.99219918658741-0.8761623430459622j),(-31.60896643822275-49.78340997012219j)
2024-11-14T08:01:50.000000,(-21.59710929129733+50.2670334639694j),(52.498059671286-0.6469619374202011j),(-30.900950379988444-49.620071526549054j)
2024-11-14T08:02:00.000000,(-22.50426532395477+50.23038316517584j),(53.42295036519408-0.8119509545631445j),(-30.918685041239087-49.41843221061208j)
2024-11-14T08:02:10.000000,(-22.57009851258408+50.1918682890701j),(53.27687121743156-0.678257962331827j),(-30.7067727048468-49.51361032673731j)
2024-11-14T08:02:30.000000,(-21.379807150700344+50.68233779671512j),(52.48660944082053-1.1526977674539012j),(-31.106802290120413-49.52964002926046j)
2024-11-14T08:02:40.000000,(-22.000357383152732+50.26553373201098j),(52.928459993899196-0.9261625424092017j),(-30.928102610745555-49.339371189601934j)
2024-11-14T08:02:50.000000,(-22.505095231013+50.35204586284414j),(53.350801961838215-0.6892313313819614j),(-30.84570673082385-49.66281453146212j)
2024-11-14T08:03:00.000000,(-21.98174171105302+50.12584677688335j),(53.07915422430074-0.8570735938933467j),(-31.09741251324749-49.26877318298966j)
2024-11-14T08:03:30.000000,(-21.955773136153766+49.70669534845213j),(52.58063768557281-0.7628947393282033j),(-30.624864549419954-48.94380060912454j)
2024-11-14T08:03:40.000000,(-22.30471422399569+50.097961917809066j),(53.30129606436799-0.6482741664422065j),(-30.996581840371846-49.44968775136704j)
2024-11-14T08:03:50.000000,(-21.778574251794907+49.81477968113671j),(52.57409776072586-0.5406552189028844j),(-30.795523508931183-49.274124462233885j)
2024-11-14T08:04:00.000000,(-21.693595770380853+50.04486002336866j),(52.893040285342295-0.40062553752250096j),(-31.199444514961897-49.64423448584603j)
2024-11-14T08:04:10.000000,(-21.867555932867617+49.95467598590904j),(52.94307326555031-0.25478608478533715j),(-31.07551733268292-49.69988990112324j)
2024-11-14T08:04:20.000000,(-22.6894041707792+49.37230385568438j),(53.17841134144737+0.10199889087243719j),(-30.48900717066863-49.47430274655653j)
2024-11-14T08:04:40.000000,(-22.664798253515528+49.60199500438337j),(53.14703574434475+0.050331400756931544j),(-30.482237490830357-49.65232640514023j)
2024-11-14T08:04:50.000000,(-22.274055699997916+49.64772662680414j),(52.7544251456452+0.11315290799711875j),(-30.48036944564774-49.760879534801006j)
2024-11-14T08:05:00.000000,(-22.77819107870937+50.37444855359463j),(53.567518974688255+0.02622615819245766j),(-30.78932789597866-50.40067471178736j)
2024-11-14T09:00:00.000000,(-23.35446121093628+50.77301077031517j),(53.427703804733255-0.12895143699915934j),(-30.073242593796294-50.644059333315j)
2024-11-14T09:00:10.000000,(-22.649161565450868+50.63774483992123j),(52.80272815644025-0.24280334510103785j),(-30.153566590989385-50.394941494820614j)
2024-11-14T09:00:20.000000,(-23.13047982515218+51.21087081468384j),(53.87079060025462-0.09611453508750856j),(-30.74031077510108-51.11475627959635j)
2024-11-14T09:00:40.000000,(-23.343760670415577+50.372400984902214j),(53.55212236528769+0.04435067058147979j),(-30.20836169487211-50.41675165548395j)
2024-11-14T09:00:50.000000,(-22.07121454135222+50.00259343335658j),(52.20950895397323+0.08091440095495273j),(-30.138294412620553-50.08350783431115j)
2024-11-14T09:01:00.000000,(-22.027463996223105+50.08781607681711j),(52.11018828637043-0.05514431870506087j),(-30.082724290146643-50.032671758111974j)
