t,a,b,c
2024-11-14T07:00:00.000000,(-23.478324103452906+462.56707995012766j),(404.81196582154007-199.80122821232993j),(-382.69028938687006-252.37702497225837j)
2024-11-14T07:00:20.000000,(-25.106633522829725+464.32379534952634j),(408.9437558194368-203.8141811241728j),(-385.48773845152755-250.59959496713418j)
2024-11-14T07:00:30.000000,(-21.976340977747896+464.84420631097237j),(406.6283500868085-204.3273731845048j),(-385.5693935226973-250.79342155758786j)
2024-11-14T07:00:50.000000,(-23.303756721106765+462.4279373808786j),(405.3820304949222-203.66518226004138j),(-383.61062674465757-249.50194266753897j)
2024-11-14T07:01:00.000000,(-24.091064255679157+460.7224167885797j),(403.2136503411384-201.24490053080558j),(-380.3339389852317-249.38298795376977j)
2024-11-14T07:01:10.000000,(-24.30151867451059+461.0381591548721j),(403.487590510882-201.55007819638087j),(-380.36363525497836-250.35224998844933j)
2024-11-14T07:01:20.000000,(-22.866835068782166+461.93312171240177j),(405.24144184673423-202.8059927907487j),(-384.29384930813467-249.40049679284857j)
2024-11-14T07:01:40.000000,(-20.896606173084365+461.7533349325022j),(402.2558611550521-205.03037181112916j),(-383.4727870288516-247.2505572412956j)
2024-11-14T07:01:50.000000,(-23.321504927700516+463.3871081659054j),(405.2126192048636-202.40395536938473j),(-383.0585408514198-251.09503070597566j)
2024-11-14T07:02:10.000000,(-22.513793210848235+461.00912271295965j),(403.0660049301514-202.32192641399345j),(-382.5001753084762-248.54897925173645j)
2024-11-14T07:02:20.000000,(-22.53702881898971+467.82719237843776j),(408.01097552121064-203.8001995912697j),(-386.9235154442067-253.88899352370208j)
2024-11-14T07:02:30.000000,(-22.793092545634863+464.38804015143614j),(407.47943968555046-203.53980197717468j),(-386.3825790944102-251.64730965691706j)
2024-11-14T07:02:50.000000,(-22.791511926567182+464.54316215070867j),(407.1131204517842-204.99693130349584j),(-385.63770881660093-249.89101859442235j)
2024-11-14T07:03:00.000000,(-23.120733100275174+468.13392816432315j),(409.70185584683713-206.3810278493155j),(-387.7265861580636-251.94463227174856j)
2024-11-14T07:03:10.000000,(-22.60382256034245+465.14779950332377j),(407.98313184861036-205.0684846499318j),(-387.1769096862554-250.47333493057886j)
2024-11-14T07:03:20.000000,(-22.02237970339229+465.49456502643443j),(407.07453670883115-206.20121637156518j),(-386.2753362236199-249.40432903123292j)
2024-11-14T07:03:30.000000,(-22.27865876441865+466.7251034794499j),(407.5783186503104-206.4515968751403j),(-386.4586390898603-250.62822001161476j)
2024-11-14T07:03:40.000000,(-22.493497043335083+464.6097797196235j),(407.0373493564912-205.57530710041578j),(-386.2434632157674-249.54465723691828j)
2024-11-14T07:03:50.000000,(-23.51728205739164+466.0207495495015j),(408.23176953031-205.43890824217968j),(-386.76888792776117-250.71977407452505j)
2024-11-14T07:04:00.000000,(-22.486641849085572+462.82658445594643j),(406.5264515895833-205.04203578129577j),(-385.8103785535568-248.29487848153803j)
2024-11-14T07:04:10.000000,(-23.451731068020308+462.72415402933257j),(406.5183505705172-204.3037895980477j),(-384.85577253019255-248.67274586691565j)
2024-11-14T07:04:20.000000,(-22.749167008441873+461.3835729995626j),(405.5048003619413-203.722194403353j),(-384.4079389824783-248.44603675330654j)
2024-11-14T07:04:30.000000,(-22.720808724845483+463.29287477287653j),(407.30741539758674-204.8684348566262j),(-386.125717539815-248.53371761953895j)
2024-11-14T07:04:50.000000,(-20.791961928969613+461.0950466496506j),(405.30119640655903-203.85310850874617j),(-386.51801913286-247.18822119462493j)
