AWG,MCM,Strands,Diameter (in),GMR (ft),Al Resistance DC 20C (Ohm/1000 ft),Al Resistance DC 60C (Ohm/1000 ft),Al Resistance AC 60Hz 20C (Ohm/1000 ft),Al Resistance AC 60Hz 60C (Ohm/1000 ft),Cu Resistance DC 20C (Ohm/1000 ft),Cu Resistance DC 60C (Ohm/1000 ft),Cu Resistance AC 60Hz 20C (Ohm/1000 ft),Cu Resistance AC 60Hz 60C (Ohm/1000 ft)
50,0.0009801,1,0.00099,0.000064251,,,,,,,,
40,0.00989,1,0.00315,0.000204435,,,,,1070,1250,,
39,0.0125,1,0.00353,0.000229097,,,,,848,,,
38,0.0157,1,0.00397,0.000257653,,,,,673,750.7,,
37,0.0198,1,0.00445,0.000288805,,,,,533,,,
36,0.025,1,0.005,0.0003245,,,,,423,480.1,,
35,0.0315,1,0.00562,0.000364738,,,,,335,,,
34,0.0398,1,0.00631,0.000409519,,,,,266,302,,
33,0.0501,1,0.00708,0.000459492,,,,,211,,,
32,0.0632,1,0.00795,0.000515955,,,,,167,189.9,,
31,0.0797,1,0.00893,0.000579557,,,,,133,,,
30,0.101,1,0.01,0.000649,,,,,105,119.4,,
29,0.127,1,0.0113,0.00073337,,,,,83.4,,,
28,0.16,1,0.0126,0.00081774,,,,,66.2,75.1,,
27,0.202,1,0.0142,0.00092158,,,,,52.5,,,
26,0.254,1,0.0159,0.00103191,,,,,41.6,47.2,,
25,0.32,1,0.0179,0.00116171,,,,,33,,,
24,0.404,1,0.0201,0.00130449,,,,,26.2,30.2,,
23,0.51,1,0.0226,0.00146674,,,,,20.8,,,
22,0.642,1,0.0253,0.00164197,,,,,16.5,19,,
21,0.81,1,0.0285,0.00184965,,,,,13.1,,,
20,1.022,1,0.032,0.0020768,,,,,10.4,11.9,,
19,1.289,1,0.0359,0.00232991,,,,,8.21,,,
18,1.624,1,0.043,0.0027907,,,,,6.51,7.57,,
17,2.048,1,0.0453,0.00293997,,,,,5.16,,,
16,2.583,1,0.0508,0.00329692,,,,,4.09,4.75,,
15,3.257,1,0.0571,0.00370579,,,,,3.25,,,
14,4.107,1,0.0641,0.00416009,,,,,2.58,2.98,,2.98
13,5.178,1,0.072,0.0046728,,,,,2.04,,,
12,6.53,1,0.0808,0.00524392,,,,,1.62,1.88,,1.88
11,8.234,1,0.0907,0.00588643,,,,,1.28,,,
